source,date,apiURL,url,sku,name,brand,price,stock,previousPrice,onSale,saleText,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
harrods,2025-11-05,https://www.harrods.com/api/rpc/getProductsByReferenceKeys?000000000007731381,https://www.harrods.com/en-gb/p/calvin-klein-logo-thong-000000000007731381,000000000007731381,Logo Thong,Calvin Klein,20.0,Y,,,,SQL BUFF PINK,XL,,,Storefront,Clothing,Briefs & Thongs,,,,,https://hrd-live.cdn.scayle.cloud/images/80e3b8548c8a2a662d45d47888839475.jpg,https://hrd-live.cdn.scayle.cloud/images/06ddda5508ed799b3aa38c788b999ecf.jpg,https://hrd-live.cdn.scayle.cloud/images/c042b0c6525f73f7f357dacaea3b16ad.jpg,https://hrd-live.cdn.scayle.cloud/images/408f48ed8b14a30e73300a65eb75a421.jpg,https://hrd-live.cdn.scayle.cloud/images/57929208187f9dbc9c498aca1e51557a.jpg,"A signature style from Calvin Klein's Modern Cotton range, this thong combines a sporty aesthetic with ultimate comfort. Spun from a sumptuous cotton and modal blend with a hint of stretch, the mid-rise silhouette coordinates perfectly with the matching bralette for laid-back days.",This logo needs no introduction.,,,,,,,,£20.0,20.0,specification,harrodsColour,Pink,specification,brand,Calvin Klein,specification,sAPBrand,CALVIN KLEIN,specification,sizeGuideActivated,true,specification,groupingType,C,specification,name,Logo Thong,specification,sizeGuideType,Clothing > Lingerie,specification,category,"Storefront, Storefront|Clothing, Storefront|Clothing|Briefs & Thongs",specification,careInstructions,"Tumble dry, Machine wash",specification,gender,Female,specification,nonReturnable,true,specification,modelSize,"Model is 178cm, a UK 8 and wears a size S",specification,vendorColour,SQL BUFF PINK,,,,,,,,,,,,,,,,,,,,,
harrods,2025-11-05,https://www.harrods.com/api/rpc/getProductsByReferenceKeys?000000000007506668,https://www.harrods.com/en-gb/p/joseph-joseph-easystore-luxe-toothbrush-holder-000000000007506668,000000000007506668,EasyStore Luxe Toothbrush Holder,Joseph Joseph,25.95,Y,,,,STAINLESS STEEL,OS,,,Storefront,Furniture,Furniture,,,,,https://hrd-live.cdn.scayle.cloud/images/012161764e7d2dfb0fe7ce4e3d60f6a2.jpg,https://hrd-live.cdn.scayle.cloud/images/04baef506becb2d79170db4f6d73d0ce.jpg,https://hrd-live.cdn.scayle.cloud/images/bd81b5b097d9e133c9c58ecb350684ad.jpg,https://hrd-live.cdn.scayle.cloud/images/01ecd895a5eb7212ececc25be222f503.jpg,,"Organising and protecting your bathroom essentials is just as important as your go-to kitchen utensils, which is why Joseph Joseph designed the EasyStore Luxe toothbrush holder. Sleek in its look, the accessory is crafted from stainless steel due to its durability, resistance and hygienic properties. Whenever you need to clean it, detach its divider and use a soft cloth with gentle soap.",Joseph Joseph’s mission to keep your home organised makes its way from the kitchen to the bathroom.,,,,,,,,£25.95,25.95,specification,name,EasyStore Luxe Toothbrush Holder,specification,vendorColour,STAINLESS STEEL,specification,category,"Storefront, Storefront|Furniture, Storefront|Furniture|Furniture",specification,gender,No Gender,specification,harrodsColour,Metallic,specification,sAPBrand,JOSEPH JOSEPH,specification,brand,Joseph Joseph,specification,careInstructions,Wipe clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harrods,2025-11-05,https://www.harrods.com/api/rpc/getProductsByReferenceKeys?000000000007795774,https://www.harrods.com/en-gb/p/jimmy-choo-meena-suede-shearling-boots-000000000007795774,000000000007795774,Meena Suede Shearling Boots,Jimmy Choo,1095.0,Y,,,,TOFFEE/TOFFEE,41 IT,,,Storefront,Shoes,Boots,,,,,https://hrd-live.cdn.scayle.cloud/images/7cd8d2802bc6dd11b005f6dfdd61bc8a.jpg,https://hrd-live.cdn.scayle.cloud/images/a6b92127bfd27ad21ff770495065628d.jpg,https://hrd-live.cdn.scayle.cloud/images/4ee0f7edfb9d8ae16f14458a30bb048f.jpg,https://hrd-live.cdn.scayle.cloud/images/b17eea5d9297046c0597994a93a60f93.jpg,https://hrd-live.cdn.scayle.cloud/images/e0bccda5ca7dddc573bc9d61722bad8b.jpg,"No matter the season, you can rely on Jimmy Choo to keep your footwear collection well-fitted, an assurance expressed with the Meena boots. Crafted from velvety suede, the crisscross straps of this pair are trimmed with shearling for a touch of added softness, while the treaded soles ensure that these boots are indeed made for walking. <br><br><i>Due to the delicate nature of Jimmy Choo soles, shoes should be tried on a clean surface away from any moisture (e.g. a carpeted surface). All Jimmy Choo items must be returned in an unmarked, unused condition, including all original packaging, dust bag(s) and authenticity cards.</i>","Soft as it may be, this pair offers bold wearability. ",,,,,,,,£1095.0,1095.0,specification,harrodsColour,Beige,specification,vendorColour,TOFFEE/TOFFEE,specification,heelType,Block heel,specification,sizeGuideType,Shoes,specification,gender,Female,specification,sAPBrand,JIMMY CHOO,specification,category,"Storefront, Storefront|Shoes, Storefront|Shoes|Boots",specification,brand,Jimmy Choo,specification,fasteningType,Zip fastening,specification,name,Meena Suede Shearling Boots,specification,sizeGuideActivated,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
harrods,2025-11-05,https://www.harrods.com/api/rpc/getProductsByReferenceKeys?000000000007795774,https://www.harrods.com/en-gb/p/jimmy-choo-meena-suede-shearling-boots-000000000007795774,000000000007795774,Meena Suede Shearling Boots,Jimmy Choo,1095.0,Y,,,,TOFFEE/TOFFEE,39.5 IT,,,Storefront,Shoes,Boots,,,,,https://hrd-live.cdn.scayle.cloud/images/7cd8d2802bc6dd11b005f6dfdd61bc8a.jpg,https://hrd-live.cdn.scayle.cloud/images/a6b92127bfd27ad21ff770495065628d.jpg,https://hrd-live.cdn.scayle.cloud/images/4ee0f7edfb9d8ae16f14458a30bb048f.jpg,https://hrd-live.cdn.scayle.cloud/images/b17eea5d9297046c0597994a93a60f93.jpg,https://hrd-live.cdn.scayle.cloud/images/e0bccda5ca7dddc573bc9d61722bad8b.jpg,"No matter the season, you can rely on Jimmy Choo to keep your footwear collection well-fitted, an assurance expressed with the Meena boots. Crafted from velvety suede, the crisscross straps of this pair are trimmed with shearling for a touch of added softness, while the treaded soles ensure that these boots are indeed made for walking. <br><br><i>Due to the delicate nature of Jimmy Choo soles, shoes should be tried on a clean surface away from any moisture (e.g. a carpeted surface). All Jimmy Choo items must be returned in an unmarked, unused condition, including all original packaging, dust bag(s) and authenticity cards.</i>","Soft as it may be, this pair offers bold wearability. ",,,,,,,,£1095.0,1095.0,specification,harrodsColour,Beige,specification,vendorColour,TOFFEE/TOFFEE,specification,heelType,Block heel,specification,sizeGuideType,Shoes,specification,gender,Female,specification,sAPBrand,JIMMY CHOO,specification,category,"Storefront, Storefront|Shoes, Storefront|Shoes|Boots",specification,brand,Jimmy Choo,specification,fasteningType,Zip fastening,specification,name,Meena Suede Shearling Boots,specification,sizeGuideActivated,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
harrods,2025-11-05,https://www.harrods.com/api/rpc/getProductsByReferenceKeys?000000000007795774,https://www.harrods.com/en-gb/p/jimmy-choo-meena-suede-shearling-boots-000000000007795774,000000000007795774,Meena Suede Shearling Boots,Jimmy Choo,1095.0,Y,,,,TOFFEE/TOFFEE,39 IT,,,Storefront,Shoes,Boots,,,,,https://hrd-live.cdn.scayle.cloud/images/7cd8d2802bc6dd11b005f6dfdd61bc8a.jpg,https://hrd-live.cdn.scayle.cloud/images/a6b92127bfd27ad21ff770495065628d.jpg,https://hrd-live.cdn.scayle.cloud/images/4ee0f7edfb9d8ae16f14458a30bb048f.jpg,https://hrd-live.cdn.scayle.cloud/images/b17eea5d9297046c0597994a93a60f93.jpg,https://hrd-live.cdn.scayle.cloud/images/e0bccda5ca7dddc573bc9d61722bad8b.jpg,"No matter the season, you can rely on Jimmy Choo to keep your footwear collection well-fitted, an assurance expressed with the Meena boots. Crafted from velvety suede, the crisscross straps of this pair are trimmed with shearling for a touch of added softness, while the treaded soles ensure that these boots are indeed made for walking. <br><br><i>Due to the delicate nature of Jimmy Choo soles, shoes should be tried on a clean surface away from any moisture (e.g. a carpeted surface). All Jimmy Choo items must be returned in an unmarked, unused condition, including all original packaging, dust bag(s) and authenticity cards.</i>","Soft as it may be, this pair offers bold wearability. ",,,,,,,,£1095.0,1095.0,specification,harrodsColour,Beige,specification,vendorColour,TOFFEE/TOFFEE,specification,heelType,Block heel,specification,sizeGuideType,Shoes,specification,gender,Female,specification,sAPBrand,JIMMY CHOO,specification,category,"Storefront, Storefront|Shoes, Storefront|Shoes|Boots",specification,brand,Jimmy Choo,specification,fasteningType,Zip fastening,specification,name,Meena Suede Shearling Boots,specification,sizeGuideActivated,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
harrods,2025-11-05,https://www.harrods.com/api/rpc/getProductsByReferenceKeys?000000000007795774,https://www.harrods.com/en-gb/p/jimmy-choo-meena-suede-shearling-boots-000000000007795774,000000000007795774,Meena Suede Shearling Boots,Jimmy Choo,1095.0,Y,,,,TOFFEE/TOFFEE,38.5 IT,,,Storefront,Shoes,Boots,,,,,https://hrd-live.cdn.scayle.cloud/images/7cd8d2802bc6dd11b005f6dfdd61bc8a.jpg,https://hrd-live.cdn.scayle.cloud/images/a6b92127bfd27ad21ff770495065628d.jpg,https://hrd-live.cdn.scayle.cloud/images/4ee0f7edfb9d8ae16f14458a30bb048f.jpg,https://hrd-live.cdn.scayle.cloud/images/b17eea5d9297046c0597994a93a60f93.jpg,https://hrd-live.cdn.scayle.cloud/images/e0bccda5ca7dddc573bc9d61722bad8b.jpg,"No matter the season, you can rely on Jimmy Choo to keep your footwear collection well-fitted, an assurance expressed with the Meena boots. Crafted from velvety suede, the crisscross straps of this pair are trimmed with shearling for a touch of added softness, while the treaded soles ensure that these boots are indeed made for walking. <br><br><i>Due to the delicate nature of Jimmy Choo soles, shoes should be tried on a clean surface away from any moisture (e.g. a carpeted surface). All Jimmy Choo items must be returned in an unmarked, unused condition, including all original packaging, dust bag(s) and authenticity cards.</i>","Soft as it may be, this pair offers bold wearability. ",,,,,,,,£1095.0,1095.0,specification,harrodsColour,Beige,specification,vendorColour,TOFFEE/TOFFEE,specification,heelType,Block heel,specification,sizeGuideType,Shoes,specification,gender,Female,specification,sAPBrand,JIMMY CHOO,specification,category,"Storefront, Storefront|Shoes, Storefront|Shoes|Boots",specification,brand,Jimmy Choo,specification,fasteningType,Zip fastening,specification,name,Meena Suede Shearling Boots,specification,sizeGuideActivated,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
harrods,2025-11-05,https://www.harrods.com/api/rpc/getProductsByReferenceKeys?000000000007795774,https://www.harrods.com/en-gb/p/jimmy-choo-meena-suede-shearling-boots-000000000007795774,000000000007795774,Meena Suede Shearling Boots,Jimmy Choo,1095.0,Y,,,,TOFFEE/TOFFEE,38 IT,,,Storefront,Shoes,Boots,,,,,https://hrd-live.cdn.scayle.cloud/images/7cd8d2802bc6dd11b005f6dfdd61bc8a.jpg,https://hrd-live.cdn.scayle.cloud/images/a6b92127bfd27ad21ff770495065628d.jpg,https://hrd-live.cdn.scayle.cloud/images/4ee0f7edfb9d8ae16f14458a30bb048f.jpg,https://hrd-live.cdn.scayle.cloud/images/b17eea5d9297046c0597994a93a60f93.jpg,https://hrd-live.cdn.scayle.cloud/images/e0bccda5ca7dddc573bc9d61722bad8b.jpg,"No matter the season, you can rely on Jimmy Choo to keep your footwear collection well-fitted, an assurance expressed with the Meena boots. Crafted from velvety suede, the crisscross straps of this pair are trimmed with shearling for a touch of added softness, while the treaded soles ensure that these boots are indeed made for walking. <br><br><i>Due to the delicate nature of Jimmy Choo soles, shoes should be tried on a clean surface away from any moisture (e.g. a carpeted surface). All Jimmy Choo items must be returned in an unmarked, unused condition, including all original packaging, dust bag(s) and authenticity cards.</i>","Soft as it may be, this pair offers bold wearability. ",,,,,,,,£1095.0,1095.0,specification,harrodsColour,Beige,specification,vendorColour,TOFFEE/TOFFEE,specification,heelType,Block heel,specification,sizeGuideType,Shoes,specification,gender,Female,specification,sAPBrand,JIMMY CHOO,specification,category,"Storefront, Storefront|Shoes, Storefront|Shoes|Boots",specification,brand,Jimmy Choo,specification,fasteningType,Zip fastening,specification,name,Meena Suede Shearling Boots,specification,sizeGuideActivated,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
harrods,2025-11-05,https://www.harrods.com/api/rpc/getProductsByReferenceKeys?000000000007795774,https://www.harrods.com/en-gb/p/jimmy-choo-meena-suede-shearling-boots-000000000007795774,000000000007795774,Meena Suede Shearling Boots,Jimmy Choo,1095.0,Y,,,,TOFFEE/TOFFEE,37.5 IT,,,Storefront,Shoes,Boots,,,,,https://hrd-live.cdn.scayle.cloud/images/7cd8d2802bc6dd11b005f6dfdd61bc8a.jpg,https://hrd-live.cdn.scayle.cloud/images/a6b92127bfd27ad21ff770495065628d.jpg,https://hrd-live.cdn.scayle.cloud/images/4ee0f7edfb9d8ae16f14458a30bb048f.jpg,https://hrd-live.cdn.scayle.cloud/images/b17eea5d9297046c0597994a93a60f93.jpg,https://hrd-live.cdn.scayle.cloud/images/e0bccda5ca7dddc573bc9d61722bad8b.jpg,"No matter the season, you can rely on Jimmy Choo to keep your footwear collection well-fitted, an assurance expressed with the Meena boots. Crafted from velvety suede, the crisscross straps of this pair are trimmed with shearling for a touch of added softness, while the treaded soles ensure that these boots are indeed made for walking. <br><br><i>Due to the delicate nature of Jimmy Choo soles, shoes should be tried on a clean surface away from any moisture (e.g. a carpeted surface). All Jimmy Choo items must be returned in an unmarked, unused condition, including all original packaging, dust bag(s) and authenticity cards.</i>","Soft as it may be, this pair offers bold wearability. ",,,,,,,,£1095.0,1095.0,specification,harrodsColour,Beige,specification,vendorColour,TOFFEE/TOFFEE,specification,heelType,Block heel,specification,sizeGuideType,Shoes,specification,gender,Female,specification,sAPBrand,JIMMY CHOO,specification,category,"Storefront, Storefront|Shoes, Storefront|Shoes|Boots",specification,brand,Jimmy Choo,specification,fasteningType,Zip fastening,specification,name,Meena Suede Shearling Boots,specification,sizeGuideActivated,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
harrods,2025-11-05,https://www.harrods.com/api/rpc/getProductsByReferenceKeys?000000000007795774,https://www.harrods.com/en-gb/p/jimmy-choo-meena-suede-shearling-boots-000000000007795774,000000000007795774,Meena Suede Shearling Boots,Jimmy Choo,1095.0,Y,,,,TOFFEE/TOFFEE,37 IT,,,Storefront,Shoes,Boots,,,,,https://hrd-live.cdn.scayle.cloud/images/7cd8d2802bc6dd11b005f6dfdd61bc8a.jpg,https://hrd-live.cdn.scayle.cloud/images/a6b92127bfd27ad21ff770495065628d.jpg,https://hrd-live.cdn.scayle.cloud/images/4ee0f7edfb9d8ae16f14458a30bb048f.jpg,https://hrd-live.cdn.scayle.cloud/images/b17eea5d9297046c0597994a93a60f93.jpg,https://hrd-live.cdn.scayle.cloud/images/e0bccda5ca7dddc573bc9d61722bad8b.jpg,"No matter the season, you can rely on Jimmy Choo to keep your footwear collection well-fitted, an assurance expressed with the Meena boots. Crafted from velvety suede, the crisscross straps of this pair are trimmed with shearling for a touch of added softness, while the treaded soles ensure that these boots are indeed made for walking. <br><br><i>Due to the delicate nature of Jimmy Choo soles, shoes should be tried on a clean surface away from any moisture (e.g. a carpeted surface). All Jimmy Choo items must be returned in an unmarked, unused condition, including all original packaging, dust bag(s) and authenticity cards.</i>","Soft as it may be, this pair offers bold wearability. ",,,,,,,,£1095.0,1095.0,specification,harrodsColour,Beige,specification,vendorColour,TOFFEE/TOFFEE,specification,heelType,Block heel,specification,sizeGuideType,Shoes,specification,gender,Female,specification,sAPBrand,JIMMY CHOO,specification,category,"Storefront, Storefront|Shoes, Storefront|Shoes|Boots",specification,brand,Jimmy Choo,specification,fasteningType,Zip fastening,specification,name,Meena Suede Shearling Boots,specification,sizeGuideActivated,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
harrods,2025-11-05,https://www.harrods.com/api/rpc/getProductsByReferenceKeys?000000000007795774,https://www.harrods.com/en-gb/p/jimmy-choo-meena-suede-shearling-boots-000000000007795774,000000000007795774,Meena Suede Shearling Boots,Jimmy Choo,1095.0,Y,,,,TOFFEE/TOFFEE,36.5 IT,,,Storefront,Shoes,Boots,,,,,https://hrd-live.cdn.scayle.cloud/images/7cd8d2802bc6dd11b005f6dfdd61bc8a.jpg,https://hrd-live.cdn.scayle.cloud/images/a6b92127bfd27ad21ff770495065628d.jpg,https://hrd-live.cdn.scayle.cloud/images/4ee0f7edfb9d8ae16f14458a30bb048f.jpg,https://hrd-live.cdn.scayle.cloud/images/b17eea5d9297046c0597994a93a60f93.jpg,https://hrd-live.cdn.scayle.cloud/images/e0bccda5ca7dddc573bc9d61722bad8b.jpg,"No matter the season, you can rely on Jimmy Choo to keep your footwear collection well-fitted, an assurance expressed with the Meena boots. Crafted from velvety suede, the crisscross straps of this pair are trimmed with shearling for a touch of added softness, while the treaded soles ensure that these boots are indeed made for walking. <br><br><i>Due to the delicate nature of Jimmy Choo soles, shoes should be tried on a clean surface away from any moisture (e.g. a carpeted surface). All Jimmy Choo items must be returned in an unmarked, unused condition, including all original packaging, dust bag(s) and authenticity cards.</i>","Soft as it may be, this pair offers bold wearability. ",,,,,,,,£1095.0,1095.0,specification,harrodsColour,Beige,specification,vendorColour,TOFFEE/TOFFEE,specification,heelType,Block heel,specification,sizeGuideType,Shoes,specification,gender,Female,specification,sAPBrand,JIMMY CHOO,specification,category,"Storefront, Storefront|Shoes, Storefront|Shoes|Boots",specification,brand,Jimmy Choo,specification,fasteningType,Zip fastening,specification,name,Meena Suede Shearling Boots,specification,sizeGuideActivated,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
