source,date,apiURL,url,sku,name,brand,price,stock,previousPrice,onSale,saleText,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
HP,2025-10-30,api_url,https://www.hp.com/gb-en/shop/product.aspx?id=UJ0B2E&opt=&sel=CPK,UJ0B2E,HP 5y Onsite w/Predictive Detection Alerts/Preferred Access/Peripherals Desktop,HP,133.19,Y,,,,,,,,Home,Care Packs,HP 5y Onsite w/Predictive Detection Alerts/Preferred Access/Peripherals Desktop,,,,,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0B2E_1750x1285.jpg,,,,,"Avoid disruption with our fastest support, including AI-powered, predictive issue alerts, preferred access to expert remote support and onsite repair.[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP,2025-10-30,api_url,https://www.hp.com/gb-en/shop/product.aspx?id=UJ0B3E&opt=&sel=CPK,UJ0B3E,HP 3y Onsite w/Predictive Detection Alerts/Preferred Access/DMR/Peripherals Desktop,HP,91.19,Y,,,,,,,,Home,Care Packs,HP 3y Onsite w/Predictive Detection Alerts/Preferred Access/DMR/Peripherals Desktop,,,,,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0B3E_1750x1285.jpg,,,,,"Avoid disruption with our fastest support, including AI-powered, predictive issue alerts, preferred access to expert remote support and onsite repair.[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP,2025-10-30,api_url,https://www.hp.com/gb-en/shop/product.aspx?id=UJ0B4E&opt=&sel=CPK,UJ0B4E,HP 4y Onsite w/Predictive Detection Alerts/Preferred Access/DMR/Peripherals Desktop,HP,121.19,Y,,,,,,,,Home,Care Packs,HP 4y Onsite w/Predictive Detection Alerts/Preferred Access/DMR/Peripherals Desktop,,,,,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0B4E_1750x1285.jpg,,,,,"Avoid disruption with our fastest support, including AI-powered, predictive issue alerts, preferred access to expert remote support and onsite repair.[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP,2025-10-30,api_url,https://www.hp.com/gb-en/shop/product.aspx?id=UJ0B5E&opt=&sel=CPK,UJ0B5E,HP 5y Onsite w/Predictive Detection Alerts/Preferred Access/DMR/Peripherals Desktop,HP,151.19,Y,,,,,,,,Home,Care Packs,HP 5y Onsite w/Predictive Detection Alerts/Preferred Access/DMR/Peripherals Desktop,,,,,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0B5E_1750x1285.jpg,,,,,"Avoid disruption with our fastest support, including AI-powered, predictive issue alerts, preferred access to expert remote support and onsite repair.[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP,2025-10-30,api_url,https://www.hp.com/gb-en/shop/product.aspx?id=UJ0F1E&opt=&sel=CPK,UJ0F1E,HP 3y Onsite Desktop HW Support,HP,28.79,Y,,,,,,,,Home,Care Packs,HP 3y Onsite Desktop HW Support,,,,,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F1E_1750x1285.jpg,,,,,Depend on HP to troubleshoot PC issues with remote support and convenient onsite repairs. Optional device insights help HP quickly remediate issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP,2025-10-30,api_url,https://www.hp.com/gb-en/shop/product.aspx?id=UJ0F2E&opt=&sel=CPK,UJ0F2E,HP 4y Onsite Desktop Support,HP,38.39,Y,,,,,,,,Home,Care Packs,HP 4y Onsite Desktop Support,,,,,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F2E_1_1750x1285.jpg,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F2E_3_1750x1285.jpg,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F2E_4_1750x1285.jpg,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F2E_2_1750x1285.jpg,,Depend on HP to troubleshoot PC issues with remote support and convenient onsite repairs. Optional device insights help HP quickly remediate issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP,2025-10-30,api_url,https://www.hp.com/gb-en/shop/product.aspx?id=UJ0F3E&opt=&sel=CPK,UJ0F3E,HP 5y Onsite Desktop Support,HP,47.99,Y,,,,,,,,Home,Care Packs,HP 5y Onsite Desktop Support,,,,,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F3E_1_1750x1285.jpg,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F3E_3_1750x1285.jpg,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F3E_4_1750x1285.jpg,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F3E_2_1750x1285.jpg,,Depend on HP to troubleshoot PC issues with remote support and convenient onsite repairs. Optional device insights help HP quickly remediate issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP,2025-10-30,api_url,https://www.hp.com/gb-en/shop/product.aspx?id=UJ0F4E&opt=&sel=CPK,UJ0F4E,HP 3y Onsite w/DMR Desktop Support,HP,39.59,Y,,,,,,,,Home,Care Packs,HP 3y Onsite w/DMR Desktop Support,,,,,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F4E_1_1750x1285.jpg,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F4E_3_1750x1285.jpg,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F4E_4_1750x1285.jpg,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F4E_2_1750x1285.jpg,,Depend on HP to troubleshoot PC issues with remote support and convenient onsite repairs. Optional device insights help HP quickly remediate issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP,2025-10-30,api_url,https://www.hp.com/gb-en/shop/product.aspx?id=UJ0F5E&opt=&sel=CPK,UJ0F5E,HP 4y Onsite w/DMR Desktop Support,HP,52.79,Y,,,,,,,,Home,Care Packs,HP 4y Onsite w/DMR Desktop Support,,,,,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F5E_1_1750x1285.jpg,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F5E_3_1750x1285.jpg,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F5E_4_1750x1285.jpg,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F5E_2_1750x1285.jpg,,Depend on HP to troubleshoot PC issues with remote support and convenient onsite repairs. Optional device insights help HP quickly remediate issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP,2025-10-30,api_url,https://www.hp.com/gb-en/shop/product.aspx?id=UJ0F6E&opt=&sel=CPK,UJ0F6E,HP 5y Onsite w/DMR Desktop Support,HP,65.99,Y,,,,,,,,Home,Care Packs,HP 5y Onsite w/DMR Desktop Support,,,,,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F6E_1_1750x1285.jpg,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F6E_3_1750x1285.jpg,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F6E_4_1750x1285.jpg,https://www.hp.com/gb-en/shop/Html/Merch/Images/UJ0F6E_2_1750x1285.jpg,,Depend on HP to troubleshoot PC issues with remote support and convenient onsite repairs. Optional device insights help HP quickly remediate issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
