source,date,apiURL,url,sku,name,brand,price,previousPrice,onSale,saleText,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
ao.com,2025-09-18,,https://ao.com/product/aoteddy-ao-bear-teddy-bear-green-82636-475.aspx,AOTeddy,"Bear, The AO Teddy",AO,15.00,,,,Green,,,,Home,Accessories,Teddy Bear,AO AOTeddy,,,,https://assets.products-live.ao.com/Images/e8054274-e310-473b-b748-20c2dd553264/1280x1280/Bear-003.jpg,https://assets.products-live.ao.com/Images/5deeba61-20df-485d-b202-afb4191e4a7d/1280x1280/Bear-001.jpg,https://assets.products-live.ao.com/Images/5a23a591-ae05-4391-8e4a-c4fc0302ebdc/1280x1280/Bear-002.jpg,,,"Ready to welcome a new teddy to the family? Say hello to Bear, affectionately known as AOs Chief Smile-maker and the ultimate cuddle buddy, hes looking for his fur-ever home. Bear is very well-behaved, great with kids, and, best of all, he doesnt shed - as much as we all love his green fluff, you wont find it all over your carpets or sofa. With a friendly AO smile embroidered on his tummy, hes the perfect sidekick for all your little ones adventures. And if he gets mucky from building sandcastles on the beach, all hell need is a quick wipe to be ready to storm the next pillow fort at home.Want to learn more about Bear? Head over to his channel for games, activities, competitions, and more to enjoy with the whole family.",,22,4.7,,,,,,£15.00,15.00,specification,Product Description,#AOTeddy,specification,Brand,AO,specification,Category,Teddy Bear,specification,Colour,Green,specification,Country Of Origin,China,specification,Dimensions,(H)23.0 x (W)22.0 x (D)17.0,specification,SKU,AOTeddy,specification,Manufacturer Warranty,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ao.com,2025-09-18,,https://ao.com/product/kit1tr6n-smeg-victoria-splashback-black-105714-54.aspx,KIT1TR6N_BK,Smeg Victoria KIT1TR6N 60 cm Metal Splashback - Black,Smeg,259.00,,,,Black,,,,Home,Accessories,Splashbacks,Smeg KIT1TR6N,,,,https://assets.products-live.ao.com/Images/74c2cc82-a3a6-445d-9c7a-edcb1700a443/1280x1280/KIT1TR6N_BK_Smeg_Splashback_01.jpg,https://assets.products-live.ao.com/Images/7aaf159b-dafc-4a66-84a5-f550fcb39c91/1280x1280/KIT1TR6N_BK_Smeg_Splashback_02.jpg,,,,"This Smeg splashback is a great finishing touch for your kitchen. It fits right in with Smeg Victoria TR60 range cookers, and thanks to its metal design, itll have no trouble withstanding high temperatures while youre rustling up your latest creation. When the hard work of cookings done, the special coating makes it really easy to clean, so itll be back to its best in no time. And to keep this model in place, youll just need to make sure its installed using compatible fixings.",,0,,,,,,,£259.00,259.00,specification,Material,Metal,specification,Pack Size,1,specification,Suitable For,Victoria TR60's,specification,Easy Clean Finish,Yes,specification,Installation Method,Installation with fixings,specification,Brand,Smeg,specification,Category,Splashbacks,specification,Colour,Black,specification,Country Of Origin,Italy,specification,Dimensions,(H)75.0 x (W)59.6 x (D)4.3,specification,SKU,KIT1TR6N_BK,specification,Utensil Rail,No,specification,Manufacturer Warranty,2 Year,,,,,,,,,,,,,,,,,,,,,
ao.com,2025-09-18,,https://ao.com/product/kit1tr9n-smeg-victoria-splashback-black-105716-54.aspx,KIT1TR9N_BK,Smeg Victoria KIT1TR9N 90 cm Metal Splashback - Black,Smeg,309.00,,,,Black,,,,Home,Accessories,Splashbacks,Smeg KIT1TR9N,,,,https://assets.products-live.ao.com/Images/b2d50136-0385-40c4-90af-22d2c7b26d14/1280x1280/KIT1TR9N_BK_Smeg_Splashback_01.jpg,https://assets.products-live.ao.com/Images/8ea2fe64-a056-4bf6-984b-16659b99d9d7/1280x1280/KIT1TR9N_BK_Smeg_Splashback_02.jpg,,,,"This Smeg splashback is a great finishing touch for your kitchen. It fits right in with Smeg Victoria TR9 range cookers, and thanks to its metal design, itll have no trouble withstanding high temperatures while youre rustling up your latest creation. When the hard work of cookings done, the special coating makes it really easy to clean, so itll be back to its best in no time. And to keep this model in place, youll just need to make sure its installed using compatible fixings.",,1,5.0,,,,,,£309.00,309.00,specification,Material,Metal,specification,Pack Size,1,specification,Suitable For,Victoria TR9's,specification,Easy Clean Finish,Yes,specification,Installation Method,Installation with fixings,specification,Brand,Smeg,specification,Category,Splashbacks,specification,Colour,Black,specification,Country Of Origin,Italy,specification,Dimensions,(H)75.0 x (W)89.5 x (D)4.0,specification,SKU,KIT1TR9N_BK,specification,Utensil Rail,No,specification,Manufacturer Warranty,2 Year,,,,,,,,,,,,,,,,,,,,,
ao.com,2025-09-18,,https://ao.com/product/dhz7551-bosch-splashback-stainless-steel-98625-54.aspx,DHZ7551_BS,Bosch DHZ7551 70 cm Metal Splashback - Brushed Steel,Bosch,179.00,,,,Brushed Steel,,,,Home,Accessories,Splashbacks,Bosch DHZ7551,,,,https://assets.products-live.ao.com/Images/9dd21481-c561-4eed-850e-8c9bf881015f/1280x1280/DHZ7551_BS_Bosch_Hood_01.jpg,https://assets.products-live.ao.com/Images/7a236116-806f-4bd5-9afd-d2b79087fb30/1280x1280/MCZ_010692_DHZ7551_en-GB_1.jpg,,,,"Protect those kitchen walls from splattered Bolognese with this Bosch splashback, suitable for wide hobs and cookers. Because its got a metal finish, it can withstand high temperatures without getting damaged - even if you spend all day at the stove. Itll stay shiny too, as the Easy Clean finish makes wiping away oil and grease a doddle. This splashback also screws into the wall, keeping everything nice and secure.",,0,,,,,,,£179.00,179.00,specification,Integrated Appliance,Yes,specification,Material,Metal,specification,Suitable For,70cm Wide Hobs & Cookers,specification,Easy Clean Finish,Yes,specification,Installation Method,Installation with fixings,specification,Brand,Bosch,specification,Category,Splashbacks,specification,Colour,Brushed_Steel,specification,Country Of Origin,Germany,specification,Dimensions,(H)73.0 x (W)70.0 x (D)3.0,specification,SKU,DHZ7551_BS,specification,Manufacturer Warranty,2 Year,,,,,,,,,,,,,,,,,,,,,,,,
ao.com,2025-09-18,,https://ao.com/product/sbk90-nonbranded-splashback-black-53766-54.aspx,SBK 90_BKG,Non-Branded SBK 90 90 cm Coloured Glass Splashback - Black Glass,Non-Branded,169.00,,,,,,,,Home,Accessories,Splashbacks,Non-Branded SBK 90,,,,https://assets.products-live.ao.com/Images/4da66518-af3e-4afd-b0cf-40c470e63afd/1280x1280/sbk-90_bkg_nonbranded_splashback_01.jpg,,,,,,,6,4.7,,,Y,,,£169.00,169.00,specification,Integrated Appliance,Yes,specification,Material,Coloured Glass,specification,Suitable For,90cm Wide Hobs & Range Cookers,specification,Easy Clean Finish,Yes,specification,Installation Method,Installation with clear/neutral silicone adhesive,specification,Category,Splashbacks,specification,Colour,Black_Glass,specification,Country Of Origin,United Kingdom,specification,Dimensions,(H)75.0 x (W)90.0 x (D)0.6,specification,Dimensions With Packaging,(H)83.5 x (W)75.5 x (D)2.5 cm,specification,SKU,SBK 90_BKG,specification,Utensil Rail,No,specification,Manufacturer Warranty,1 Year,specification,Manufacturer Warranty Domestic Use Only,Yes,,,,,,,,,,,,,,,,,,
ao.com,2025-09-18,,https://ao.com/product/kit1tr41n-smeg-victoria-splashback-black-105713-54.aspx,KIT1TR41N_BK,Smeg Victoria KIT1TR41N 110 cm Metal Splashback - Black,Smeg,389.00,,,,,,,,Home,Accessories,Splashbacks,Smeg KIT1TR41N,,,,https://assets.products-live.ao.com/Images/95b0661b-637b-4ea9-8702-f73301a28e9b/1280x1280/KIT1TR41N_BK_Smeg_Splashback_01.jpg,https://assets.products-live.ao.com/Images/09ba758a-0c85-44f6-9ee5-1d3e83a388e2/1280x1280/KIT1TR41N_BK_Smeg_Splashback_02.jpg,,,,"This Smeg splashback is a great finishing touch for your kitchen. It fits right in with Smeg Victoria TR4110 range cookers, and thanks to its metal design, itll have no trouble withstanding high temperatures while youre rustling up your latest creation. When the hard work of cookings done, the special coating makes it really easy to clean, so itll be back to its best in no time. And to keep this model in place, youll just need to make sure its installed using compatible fixings.",,0,,,,Y,,,£389.00,389.00,specification,Material,Metal,specification,Pack Size,1,specification,Suitable For,Victoria TR4110's,specification,Easy Clean Finish,Yes,specification,Installation Method,Installation with fixings,specification,Brand,Smeg,specification,Category,Splashbacks,specification,Colour,Black,specification,Country Of Origin,Italy,specification,Dimensions,(H)75.0 x (W)109.5 x (D)4.0,specification,SKU,KIT1TR41N_BK,specification,Utensil Rail,No,specification,Manufacturer Warranty,2 Year,,,,,,,,,,,,,,,,,,,,,
ao.com,2025-09-18,,https://ao.com/product/kit1tr103-smeg-victoria-splashback-black-105712-54.aspx,KIT1TR103_BK,Smeg Victoria KIT1TR103 99 cm Metal Splashback - Black,Smeg,389.00,,,,,,,,Home,Accessories,Splashbacks,Smeg KIT1TR103,,,,https://assets.products-live.ao.com/Images/30896f1c-b558-471d-b522-67a440f40ba1/1280x1280/KIT1TR103_Smeg_Splashback_01.jpg,https://assets.products-live.ao.com/Images/0e772d66-c565-4d37-afb5-56bceb696d3a/1280x1280/KIT1TR103_Smeg_Splashback_02.jpg,,,,"This Smeg splashback is a great finishing touch for your kitchen. It fits right in with Smeg Victoria TR103 range cookers, and thanks to its metal design, itll have no trouble withstanding high temperatures while youre rustling up your latest creation. When the hard work of cookings done, the special coating makes it really easy to clean, so itll be back to its best in no time. And to keep this model in place, youll just need to make sure its installed using compatible fixings.",,0,,,,Y,,,£389.00,389.00,specification,Material,Metal,specification,Pack Size,1,specification,Suitable For,Victoria TR103's,specification,Easy Clean Finish,Yes,specification,Installation Method,Installation with fixings,specification,Brand,Smeg,specification,Category,Splashbacks,specification,Colour,Black,specification,Country Of Origin,Italy,specification,Dimensions,(H)75.0 x (W)99.3 x (D)3.9,specification,SKU,KIT1TR103_BK,specification,Utensil Rail,No,specification,Manufacturer Warranty,2 Year,,,,,,,,,,,,,,,,,,,,,
ao.com,2025-09-18,,https://ao.com/product/nbdvr522gw-nextbase-522gw-dash-camera-silver-89159-627.aspx,NBDVR522GW,Nextbase 522GW Quad HD Dash Cam - Silver,Nextbase,149.00,,,,Silver,3,,,Home,Cameras,Dash Cameras,Nextbase NBDVR522GW,,,,https://assets.products-live.ao.com/Images/7bd52625-02ae-4824-b394-975ebad8d19b/1280x1280/77948701_8427459252_1.jpg,https://assets.products-live.ao.com/Images/a328de20-6f78-4869-bea8-cad2434ae50b/1280x1280/77948701_6085918108_9.jpg,https://assets.products-live.ao.com/Images/4a7756ff-6c9e-4d6e-9313-14d38cd62650/1280x1280/77948701_7255235841_5.jpg,https://assets.products-live.ao.com/Images/104e15ff-c151-4bbb-a806-4678aefcce77/1280x1280/77948701_3415218809_7.jpg,https://assets.products-live.ao.com/Images/4211a3e6-2efe-4617-bf77-4dd1bf6972ce/1280x1280/77948701_0919540697_6.jpg,"Capture every single detail of your journey with this Nextbase dash cam. Its got a Quad HD resolution thatll pick up bumps, number plates, road signs  you name it, itll see it. So, if anything happens, youll have all the proof you need. Especially since its wide-angle lens shows the entire road ahead, including any parked cars. Not sure how to get started? The touchscreen makes it easy. Just tap the option you want and away you go. Itll even record in the same high-quality after sunset thanks to night vision mode. Plus, youll be in safe hands with the Emergency SOS system. It connects to your phone, and sends an alert to emergency services if it detects a crash.",,8,4.9,,,,,,£149.00,149.00,specification,Auto Start,Yes,specification,Cable Length,4 m,specification,Display,Yes,specification,Display Type,IPS,specification,Microphone Mute,Yes,specification,Night Vision,Yes,specification,Viewing Angle,140 Degrees,specification,Mac,Yes,specification,Windows,Yes,specification,Amazon Alexa Built-in,Yes,specification,Built-in Battery,Yes,specification,G Sensor,Yes,specification,Night Mode,Yes,specification,Parking Mode,Yes,specification,Emergency SOS via satellite,Yes,specification,Battery Type,Lithium Polymer (LiPo),specification,Brand,Nextbase,specification,Category,Dash Cameras,specification,Colour,Silver,specification,Country Of Origin,China
ao.com,2025-09-18,,https://ao.com/product/nbdvr322gw-nextbase-322gw-dash-camera-silver-89157-627.aspx,NBDVR322GW,Nextbase 322GW HD Dash Cam - Silver,Nextbase,99.00,,,,Silver,2.5,,,Home,Cameras,Dash Cameras,Nextbase NBDVR322GW,,,,https://assets.products-live.ao.com/Images/60a0dcf3-6780-46e3-95bb-ae12f8fd55a3/1280x1280/77948698_9995487527_3.jpg,https://assets.products-live.ao.com/Images/dd2804ac-d749-45bb-9466-94bc08324e4f/1280x1280/77948698_0805107988_2.jpg,https://assets.products-live.ao.com/Images/021efe64-fa6e-428d-9c1e-e1d639c56311/1280x1280/77948698_2622190068_7.jpg,https://assets.products-live.ao.com/Images/b01c1fc4-4ee9-4933-a2b4-4e9886e12db8/1280x1280/77948698_0742882351_4.jpg,https://assets.products-live.ao.com/Images/d0c2d13d-6e81-4c77-a0e5-9173a14f6cf0/1280x1280/77948698_7421051518_9.jpg,"Keep an extra eye on the road with this Nextbase dash cam. It captures footage in smooth HD, so youll always have a reliable record of your journey. And the wide viewing angle makes sure you see the entire road  you wont miss any details. Dont want the hassle of fiddling with tricky menus? Well, its touchscreen means you wont be sat on the driveway setting it up for ages. Plus, if you do have a bump while on the road, itll automatically save any footage. Thats one less thing to worry about.",,7,4.4,,,,,,£99.00,99.00,specification,Auto Start,Yes,specification,Cable Length,4 m,specification,Display,Yes,specification,Display Type,IPS,specification,Microphone Mute,Yes,specification,Night Vision,Yes,specification,Viewing Angle,140 Degrees,specification,Mac,Yes,specification,Windows,Yes,specification,Built-in Battery,Yes,specification,G Sensor,Yes,specification,Motion Sensor,Yes,specification,Night Mode,Yes,specification,Parking Mode,Yes,specification,Emergency SOS via satellite,Yes,specification,Battery Type,Lithium Polymer (LiPo),specification,Brand,Nextbase,specification,Category,Dash Cameras,specification,Colour,Silver,specification,Country Of Origin,China
ao.com,2025-09-18,,https://ao.com/product/nbdvr622gw-nextbase-622gw-dash-camera-silver-89161-627.aspx,NBDVR622GW,Nextbase 622GW 4K Ultra HD Dash Cam - Silver,Nextbase,270.00,,,,Silver,3,,,Home,Cameras,Dash Cameras,Nextbase NBDVR622GW,,,,https://assets.products-live.ao.com/Images/294ead25-de77-48bd-961d-fd3517e74789/1280x1280/87051606_9223447958_2.jpg,https://assets.products-live.ao.com/Images/09441ab6-4531-4d31-bb39-d40f7b90a459/1280x1280/87051606_7089314344_3.jpg,https://assets.products-live.ao.com/Images/f22d6d94-df61-47a7-b4c6-01e976fc1ed8/1280x1280/87051606_9871380170_1.jpg,https://assets.products-live.ao.com/Images/6f48cfdf-52f7-4c40-9e3f-10acabd0149c/1280x1280/87051606_4366356359_4.jpg,https://assets.products-live.ao.com/Images/0a0dd989-069e-4a2f-b438-0aa8a3a1074a/1280x1280/87051606_2760116192_6.jpg,"Leave your worries at home with this Nextbase dash cam. Itll catch everything going on around you thanks to the wide-viewing angle and an amazing 4K resolution. So, you can drive with complete confidence, knowing that all those important little details  like number plates and road signs  are being recorded as clearly as possible. And night-time wont be a problem either. Youll still get the same high-quality when the suns gone down. The touchscreen makes it really easy to set up too  all youve got to do is tap the option you need. Easy-peasy. Plus, the ClickGo PRO mount uses magnets to fix it in place, meaning installation is a doddle.",,8,5.0,,,,,,£270.00,270.00,specification,Auto Start,Yes,specification,Cable Length,4 m,specification,Display,Yes,specification,Display Type,IPS,specification,Night Vision,Yes,specification,Operated By Remote Control,No,specification,Viewing Angle,140 Degrees,specification,Windows,Yes,specification,Amazon Alexa Built-in,Yes,specification,Built-in Battery,Yes,specification,G Sensor,Yes,specification,Night Mode,Yes,specification,Parking Mode,Yes,specification,what3words,Yes,specification,Emergency SOS via satellite,Yes,specification,Brand,Nextbase,specification,Category,Dash Cameras,specification,Colour,Silver,specification,Country Of Origin,China,specification,Dimensions,(H)5.3 x (W)9.4 x (D)4.5
