source,date,apiURL,url,sku,name,brand,price,previousPrice,onSale,saleText,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
backmarket,2025-09-28,https://www.backmarket.co.uk/product-page/products/00e60dbb-24fc-4061-9d6f-228410f5a22e/pickers?premium_grade=true,https://www.backmarket.co.uk/en-gb/p/macbook-air-2020-13-inch-m1-8-core-and-7-core-gpu-8gb-ram-ssd-128gb-qwerty/00e60dbb-24fc-4061-9d6f-228410f5a22e?l=12,00e60dbb-24fc-4061-9d6f-228410f5a22e,Fair | MacBook Air 13-inch (2020) - Apple M1 8-core and 7-core GPU - 8GB RAM - SSD 128GB - QWERTY - English,Apple,371.0,1199.0,Y,save £828,Space Gray,128 GB,,,Home,Laptops,MacBook,MacBook Air 13-inch (2020) - Apple M1 8-core and 7-core GPU - 8GB RAM - SSD 128GB - QWERTY - English,,,,https://d2e6ccujb3mkqf.cloudfront.net/00e60dbb-24fc-4061-9d6f-228410f5a22e-1_914fb782-39f0-4745-91e8-2e668b888aa8.jpg,https://d2e6ccujb3mkqf.cloudfront.net/00e60dbb-24fc-4061-9d6f-228410f5a22e-2_bf32e1a0-b676-4f7e-a998-5e1cbbae078d.jpg,https://d2e6ccujb3mkqf.cloudfront.net/00e60dbb-24fc-4061-9d6f-228410f5a22e-3_87f21f99-6b18-4129-8fa0-7485119170e4.jpg,https://d2e6ccujb3mkqf.cloudfront.net/00e60dbb-24fc-4061-9d6f-228410f5a22e-4_5b1669be-df8d-4da0-8e93-7d13e80c788e.jpg,,"Refurbished MacBook M1 Apple MacBook Air (13"", 2020, M1 series) • QWERTY - English ✌ Up to 70% cheaper than new! ✅ Fast, free delivery ✅ Cheap MacBook Air ✅ 12 month warranty ✅ 30-day returns",,1099,4.44,,,,Y,,£371.00,371.00,specification,Colour,Space Gray,specification,Storage,128 GB,specification,Memory,8 GB,specification,Model,MacBook Air,specification,Graphics card,7-core GPU,specification,OS,macOS,specification,macbook_parent_title,"(13"", 2020, Apple M1)",specification,Title (GMC),MacBook Air Apple M1 13-inch 8 GB (2020) Space Gray - Apple Laptop Refurbished,specification,macbook_processor_series,M1 series,specification,Retina,Yes,specification,Storage type,SSD,specification,Product ranking,1,specification,Processor,Apple M1 8-core,specification,IPS,Yes,specification,Touch ID,Yes,specification,Accessory Matching Key,No,specification,Processor series,M1 series,specification,HDMI output,No,specification,Jack plug,Yes,specification,Screen brightness,400 nits brightness
backmarket,2025-09-28,https://www.backmarket.co.uk/product-page/products/00e60dbb-24fc-4061-9d6f-228410f5a22e/pickers?premium_grade=true,https://www.backmarket.co.uk/en-gb/p/macbook-air-2020-13-inch-m1-8-core-and-7-core-gpu-8gb-ram-ssd-128gb-qwerty/00e60dbb-24fc-4061-9d6f-228410f5a22e?l=11,00e60dbb-24fc-4061-9d6f-228410f5a22e,Good | MacBook Air 13-inch (2020) - Apple M1 8-core and 7-core GPU - 8GB RAM - SSD 128GB - QWERTY - English,Apple,406.0,1199.0,Y,save £793,Space Gray,128 GB,,,Home,Laptops,MacBook,MacBook Air 13-inch (2020) - Apple M1 8-core and 7-core GPU - 8GB RAM - SSD 128GB - QWERTY - English,,,,https://d2e6ccujb3mkqf.cloudfront.net/00e60dbb-24fc-4061-9d6f-228410f5a22e-1_914fb782-39f0-4745-91e8-2e668b888aa8.jpg,https://d2e6ccujb3mkqf.cloudfront.net/00e60dbb-24fc-4061-9d6f-228410f5a22e-2_bf32e1a0-b676-4f7e-a998-5e1cbbae078d.jpg,https://d2e6ccujb3mkqf.cloudfront.net/00e60dbb-24fc-4061-9d6f-228410f5a22e-3_87f21f99-6b18-4129-8fa0-7485119170e4.jpg,https://d2e6ccujb3mkqf.cloudfront.net/00e60dbb-24fc-4061-9d6f-228410f5a22e-4_5b1669be-df8d-4da0-8e93-7d13e80c788e.jpg,,"Refurbished MacBook M1 Apple MacBook Air (13"", 2020, M1 series) • QWERTY - English ✌ Up to 70% cheaper than new! ✅ Fast, free delivery ✅ Cheap MacBook Air ✅ 12 month warranty ✅ 30-day returns",,1099,4.44,,,,Y,,£406.00,406.00,specification,Colour,Space Gray,specification,Storage,128 GB,specification,Memory,8 GB,specification,Model,MacBook Air,specification,Graphics card,7-core GPU,specification,OS,macOS,specification,macbook_parent_title,"(13"", 2020, Apple M1)",specification,Title (GMC),MacBook Air Apple M1 13-inch 8 GB (2020) Space Gray - Apple Laptop Refurbished,specification,macbook_processor_series,M1 series,specification,Retina,Yes,specification,Storage type,SSD,specification,Product ranking,1,specification,Processor,Apple M1 8-core,specification,IPS,Yes,specification,Touch ID,Yes,specification,Accessory Matching Key,No,specification,Processor series,M1 series,specification,HDMI output,No,specification,Jack plug,Yes,specification,Screen brightness,400 nits brightness
backmarket,2025-09-28,https://www.backmarket.co.uk/product-page/products/00e60dbb-24fc-4061-9d6f-228410f5a22e/pickers?premium_grade=true,https://www.backmarket.co.uk/en-gb/p/macbook-air-2020-13-inch-m1-8-core-and-7-core-gpu-8gb-ram-ssd-128gb-qwerty/00e60dbb-24fc-4061-9d6f-228410f5a22e?l=10,00e60dbb-24fc-4061-9d6f-228410f5a22e,Excellent | MacBook Air 13-inch (2020) - Apple M1 8-core and 7-core GPU - 8GB RAM - SSD 128GB - QWERTY - English,Apple,431.0,1199.0,Y,save £768,Space Gray,128 GB,,,Home,Laptops,MacBook,MacBook Air 13-inch (2020) - Apple M1 8-core and 7-core GPU - 8GB RAM - SSD 128GB - QWERTY - English,,,,https://d2e6ccujb3mkqf.cloudfront.net/00e60dbb-24fc-4061-9d6f-228410f5a22e-1_914fb782-39f0-4745-91e8-2e668b888aa8.jpg,https://d2e6ccujb3mkqf.cloudfront.net/00e60dbb-24fc-4061-9d6f-228410f5a22e-2_bf32e1a0-b676-4f7e-a998-5e1cbbae078d.jpg,https://d2e6ccujb3mkqf.cloudfront.net/00e60dbb-24fc-4061-9d6f-228410f5a22e-3_87f21f99-6b18-4129-8fa0-7485119170e4.jpg,https://d2e6ccujb3mkqf.cloudfront.net/00e60dbb-24fc-4061-9d6f-228410f5a22e-4_5b1669be-df8d-4da0-8e93-7d13e80c788e.jpg,,"Refurbished MacBook M1 Apple MacBook Air (13"", 2020, M1 series) • QWERTY - English ✌ Up to 70% cheaper than new! ✅ Fast, free delivery ✅ Cheap MacBook Air ✅ 12 month warranty ✅ 30-day returns",,1099,4.44,,,,Y,,£431.00,431.00,specification,Colour,Space Gray,specification,Storage,128 GB,specification,Memory,8 GB,specification,Model,MacBook Air,specification,Graphics card,7-core GPU,specification,OS,macOS,specification,macbook_parent_title,"(13"", 2020, Apple M1)",specification,Title (GMC),MacBook Air Apple M1 13-inch 8 GB (2020) Space Gray - Apple Laptop Refurbished,specification,macbook_processor_series,M1 series,specification,Retina,Yes,specification,Storage type,SSD,specification,Product ranking,1,specification,Processor,Apple M1 8-core,specification,IPS,Yes,specification,Touch ID,Yes,specification,Accessory Matching Key,No,specification,Processor series,M1 series,specification,HDMI output,No,specification,Jack plug,Yes,specification,Screen brightness,400 nits brightness
backmarket,2025-09-28,https://www.backmarket.co.uk/product-page/products/8948b82c-f746-4be0-a8b0-0758b1dc4acc/pickers?premium_grade=true,https://www.backmarket.co.uk/en-gb/p/macbook-pro-2020-13-inch-with-m1-8-core-and-8-core-gpu-8gb-ram-ssd-2tb-qwerty-english-uk/8948b82c-f746-4be0-a8b0-0758b1dc4acc?l=12,8948b82c-f746-4be0-a8b0-0758b1dc4acc,Fair | MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,Apple,456.0,1299.0,Y,save £843,Space Gray,256 GB,,,Home,Laptops,MacBook,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,,,,https://d2e6ccujb3mkqf.cloudfront.net/8948b82c-f746-4be0-a8b0-0758b1dc4acc-1_2f66e396-643a-463e-9245-e9064d08e30c.jpg,https://d2e6ccujb3mkqf.cloudfront.net/8948b82c-f746-4be0-a8b0-0758b1dc4acc-2_1bdeb866-f5ad-4a8c-8e88-a148324403ec.jpg,https://d2e6ccujb3mkqf.cloudfront.net/8948b82c-f746-4be0-a8b0-0758b1dc4acc-3_4a92a1f0-8d38-4c59-9c3b-c26edf5e2835.jpg,https://d2e6ccujb3mkqf.cloudfront.net/8948b82c-f746-4be0-a8b0-0758b1dc4acc-4_874f78dd-f9ae-45be-972d-51c972858ede.jpg,https://d2e6ccujb3mkqf.cloudfront.net/8948b82c-f746-4be0-a8b0-0758b1dc4acc-5_12af8078-64b4-4a43-9387-04c783c150d5.jpg,"Refurbished MacBook M1 Apple MacBook Pro (13"", 2020, M1 series) • QWERTY - English ✌ Up to 70% cheaper than new! ✅ Fast, free delivery ✅ Cheap MacBook Pro ✅ 12 month warranty ✅ 30-day returns",,652,4.39,,,,Y,,£456.00,456.00,specification,Colour,Space Gray,specification,Storage,256 GB,specification,Memory,8 GB,specification,Model,MacBook Pro,specification,Graphics card,8-core GPU,specification,OS,macOS,specification,macbook_parent_title,"(13"", 2020, Apple M1)",specification,Title (GMC),MacBook Pro Apple M1 13-inch 8 GB (2020) Space Gray - Apple Laptop Refurbished,specification,macbook_processor_series,M1 series,specification,Retina,Yes,specification,Storage type,SSD,specification,Product ranking,2,specification,Processor,Apple M1 8-core,specification,IPS,Yes,specification,Touch ID,Yes,specification,Accessory Matching Key,No,specification,Processor series,M1 series,specification,HDMI output,No,specification,Jack plug,Yes,specification,Screen brightness,400 nits brightness
backmarket,2025-09-28,https://www.backmarket.co.uk/product-page/products/8948b82c-f746-4be0-a8b0-0758b1dc4acc/pickers?premium_grade=true,https://www.backmarket.co.uk/en-gb/p/macbook-pro-2020-13-inch-with-m1-8-core-and-8-core-gpu-8gb-ram-ssd-2tb-qwerty-english-uk/8948b82c-f746-4be0-a8b0-0758b1dc4acc?l=11,8948b82c-f746-4be0-a8b0-0758b1dc4acc,Good | MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,Apple,504.0,1299.0,Y,save £795,Space Gray,256 GB,,,Home,Laptops,MacBook,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,,,,https://d2e6ccujb3mkqf.cloudfront.net/8948b82c-f746-4be0-a8b0-0758b1dc4acc-1_2f66e396-643a-463e-9245-e9064d08e30c.jpg,https://d2e6ccujb3mkqf.cloudfront.net/8948b82c-f746-4be0-a8b0-0758b1dc4acc-2_1bdeb866-f5ad-4a8c-8e88-a148324403ec.jpg,https://d2e6ccujb3mkqf.cloudfront.net/8948b82c-f746-4be0-a8b0-0758b1dc4acc-3_4a92a1f0-8d38-4c59-9c3b-c26edf5e2835.jpg,https://d2e6ccujb3mkqf.cloudfront.net/8948b82c-f746-4be0-a8b0-0758b1dc4acc-4_874f78dd-f9ae-45be-972d-51c972858ede.jpg,https://d2e6ccujb3mkqf.cloudfront.net/8948b82c-f746-4be0-a8b0-0758b1dc4acc-5_12af8078-64b4-4a43-9387-04c783c150d5.jpg,"Refurbished MacBook M1 Apple MacBook Pro (13"", 2020, M1 series) • QWERTY - English ✌ Up to 70% cheaper than new! ✅ Fast, free delivery ✅ Cheap MacBook Pro ✅ 12 month warranty ✅ 30-day returns",,652,4.39,,,,Y,,£504.00,504.00,specification,Colour,Space Gray,specification,Storage,256 GB,specification,Memory,8 GB,specification,Model,MacBook Pro,specification,Graphics card,8-core GPU,specification,OS,macOS,specification,macbook_parent_title,"(13"", 2020, Apple M1)",specification,Title (GMC),MacBook Pro Apple M1 13-inch 8 GB (2020) Space Gray - Apple Laptop Refurbished,specification,macbook_processor_series,M1 series,specification,Retina,Yes,specification,Storage type,SSD,specification,Product ranking,2,specification,Processor,Apple M1 8-core,specification,IPS,Yes,specification,Touch ID,Yes,specification,Accessory Matching Key,No,specification,Processor series,M1 series,specification,HDMI output,No,specification,Jack plug,Yes,specification,Screen brightness,400 nits brightness
backmarket,2025-09-28,https://www.backmarket.co.uk/product-page/products/8948b82c-f746-4be0-a8b0-0758b1dc4acc/pickers?premium_grade=true,https://www.backmarket.co.uk/en-gb/p/macbook-pro-2020-13-inch-with-m1-8-core-and-8-core-gpu-8gb-ram-ssd-2tb-qwerty-english-uk/8948b82c-f746-4be0-a8b0-0758b1dc4acc?l=10,8948b82c-f746-4be0-a8b0-0758b1dc4acc,Excellent | MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,Apple,549.0,1299.0,Y,save £750,Space Gray,256 GB,,,Home,Laptops,MacBook,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,,,,https://d2e6ccujb3mkqf.cloudfront.net/8948b82c-f746-4be0-a8b0-0758b1dc4acc-1_2f66e396-643a-463e-9245-e9064d08e30c.jpg,https://d2e6ccujb3mkqf.cloudfront.net/8948b82c-f746-4be0-a8b0-0758b1dc4acc-2_1bdeb866-f5ad-4a8c-8e88-a148324403ec.jpg,https://d2e6ccujb3mkqf.cloudfront.net/8948b82c-f746-4be0-a8b0-0758b1dc4acc-3_4a92a1f0-8d38-4c59-9c3b-c26edf5e2835.jpg,https://d2e6ccujb3mkqf.cloudfront.net/8948b82c-f746-4be0-a8b0-0758b1dc4acc-4_874f78dd-f9ae-45be-972d-51c972858ede.jpg,https://d2e6ccujb3mkqf.cloudfront.net/8948b82c-f746-4be0-a8b0-0758b1dc4acc-5_12af8078-64b4-4a43-9387-04c783c150d5.jpg,"Refurbished MacBook M1 Apple MacBook Pro (13"", 2020, M1 series) • QWERTY - English ✌ Up to 70% cheaper than new! ✅ Fast, free delivery ✅ Cheap MacBook Pro ✅ 12 month warranty ✅ 30-day returns",,652,4.39,,,,Y,,£549.00,549.00,specification,Colour,Space Gray,specification,Storage,256 GB,specification,Memory,8 GB,specification,Model,MacBook Pro,specification,Graphics card,8-core GPU,specification,OS,macOS,specification,macbook_parent_title,"(13"", 2020, Apple M1)",specification,Title (GMC),MacBook Pro Apple M1 13-inch 8 GB (2020) Space Gray - Apple Laptop Refurbished,specification,macbook_processor_series,M1 series,specification,Retina,Yes,specification,Storage type,SSD,specification,Product ranking,2,specification,Processor,Apple M1 8-core,specification,IPS,Yes,specification,Touch ID,Yes,specification,Accessory Matching Key,No,specification,Processor series,M1 series,specification,HDMI output,No,specification,Jack plug,Yes,specification,Screen brightness,400 nits brightness
backmarket,2025-09-28,https://www.backmarket.co.uk/product-page/products/ef20e8dd-bcbf-4d94-8933-15f59560b9b9/pickers?premium_grade=true,https://www.backmarket.co.uk/en-gb/p/macbook-pro-13-inch-2022-m2-8-core-and-10-core-gpu-8gb-ram-ssd-256gb-qwerty/ef20e8dd-bcbf-4d94-8933-15f59560b9b9?l=12,ef20e8dd-bcbf-4d94-8933-15f59560b9b9,Fair | MacBook Pro 13-inch (2022) - Apple M2 8-core and 10-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,Apple,595.08,1349.0,Y,save £754,Space Gray,256 GB,,,Home,Laptops,MacBook,MacBook Pro 13-inch (2022) - Apple M2 8-core and 10-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,,,,https://d2e6ccujb3mkqf.cloudfront.net/ef20e8dd-bcbf-4d94-8933-15f59560b9b9-1_44ec3544-ed37-419c-8569-7c924cfda3d6.jpg,https://d2e6ccujb3mkqf.cloudfront.net/ef20e8dd-bcbf-4d94-8933-15f59560b9b9-2_43151760-15c3-42c1-adf4-9c3c8f2813c0.jpg,https://d2e6ccujb3mkqf.cloudfront.net/ef20e8dd-bcbf-4d94-8933-15f59560b9b9-3_530da025-2e62-4d7d-a8b2-210f05110b74.jpg,https://d2e6ccujb3mkqf.cloudfront.net/ef20e8dd-bcbf-4d94-8933-15f59560b9b9-4_be371222-e372-4373-a84d-238571f3c790.jpg,https://d2e6ccujb3mkqf.cloudfront.net/ef20e8dd-bcbf-4d94-8933-15f59560b9b9-5_4d2e5b6b-b648-41b3-adde-b6eee5f7472c.jpg,"Refurbished MacBook M1 Apple MacBook Pro (13"", 2022, M2 series) • QWERTY - English ✌ Up to 70% cheaper than new! ✅ Fast, free delivery ✅ Cheap MacBook Pro ✅ 12 month warranty ✅ 30-day returns",,123,4.33,,,,Y,,£595.08,595.08,specification,Colour,Space Gray,specification,Storage,256 GB,specification,Memory,8 GB,specification,Model,MacBook Pro,specification,Graphics card,10-core GPU,specification,OS,macOS,specification,macbook_parent_title,"(13"", 2022, Apple M2)",specification,Title (GMC),MacBook Pro Apple M2 13-inch 8 GB (2022) Space Gray - Apple Laptop Refurbished,specification,macbook_processor_series,M2 series,specification,Retina,Yes,specification,Storage type,SSD,specification,Product ranking,2,specification,Processor,Apple M2 8-core,specification,IPS,Yes,specification,Touch ID,Yes,specification,Accessory Matching Key,No,specification,Processor series,M2 series,specification,HDMI output,No,specification,Jack plug,Yes,specification,Screen brightness,500 nits brightness
backmarket,2025-09-28,https://www.backmarket.co.uk/product-page/products/ef20e8dd-bcbf-4d94-8933-15f59560b9b9/pickers?premium_grade=true,https://www.backmarket.co.uk/en-gb/p/macbook-pro-13-inch-2022-m2-8-core-and-10-core-gpu-8gb-ram-ssd-256gb-qwerty/ef20e8dd-bcbf-4d94-8933-15f59560b9b9?l=11,ef20e8dd-bcbf-4d94-8933-15f59560b9b9,Good | MacBook Pro 13-inch (2022) - Apple M2 8-core and 10-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,Apple,669.0,1349.0,Y,save £680,Space Gray,256 GB,,,Home,Laptops,MacBook,MacBook Pro 13-inch (2022) - Apple M2 8-core and 10-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,,,,https://d2e6ccujb3mkqf.cloudfront.net/ef20e8dd-bcbf-4d94-8933-15f59560b9b9-1_44ec3544-ed37-419c-8569-7c924cfda3d6.jpg,https://d2e6ccujb3mkqf.cloudfront.net/ef20e8dd-bcbf-4d94-8933-15f59560b9b9-2_43151760-15c3-42c1-adf4-9c3c8f2813c0.jpg,https://d2e6ccujb3mkqf.cloudfront.net/ef20e8dd-bcbf-4d94-8933-15f59560b9b9-3_530da025-2e62-4d7d-a8b2-210f05110b74.jpg,https://d2e6ccujb3mkqf.cloudfront.net/ef20e8dd-bcbf-4d94-8933-15f59560b9b9-4_be371222-e372-4373-a84d-238571f3c790.jpg,https://d2e6ccujb3mkqf.cloudfront.net/ef20e8dd-bcbf-4d94-8933-15f59560b9b9-5_4d2e5b6b-b648-41b3-adde-b6eee5f7472c.jpg,"Refurbished MacBook M1 Apple MacBook Pro (13"", 2022, M2 series) • QWERTY - English ✌ Up to 70% cheaper than new! ✅ Fast, free delivery ✅ Cheap MacBook Pro ✅ 12 month warranty ✅ 30-day returns",,123,4.33,,,,Y,,£669.00,669.00,specification,Colour,Space Gray,specification,Storage,256 GB,specification,Memory,8 GB,specification,Model,MacBook Pro,specification,Graphics card,10-core GPU,specification,OS,macOS,specification,macbook_parent_title,"(13"", 2022, Apple M2)",specification,Title (GMC),MacBook Pro Apple M2 13-inch 8 GB (2022) Space Gray - Apple Laptop Refurbished,specification,macbook_processor_series,M2 series,specification,Retina,Yes,specification,Storage type,SSD,specification,Product ranking,2,specification,Processor,Apple M2 8-core,specification,IPS,Yes,specification,Touch ID,Yes,specification,Accessory Matching Key,No,specification,Processor series,M2 series,specification,HDMI output,No,specification,Jack plug,Yes,specification,Screen brightness,500 nits brightness
backmarket,2025-09-28,https://www.backmarket.co.uk/product-page/products/ef20e8dd-bcbf-4d94-8933-15f59560b9b9/pickers?premium_grade=true,https://www.backmarket.co.uk/en-gb/p/macbook-pro-13-inch-2022-m2-8-core-and-10-core-gpu-8gb-ram-ssd-256gb-qwerty/ef20e8dd-bcbf-4d94-8933-15f59560b9b9?l=10,ef20e8dd-bcbf-4d94-8933-15f59560b9b9,Excellent | MacBook Pro 13-inch (2022) - Apple M2 8-core and 10-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,Apple,631.0,1349.0,Y,save £718,Space Gray,256 GB,,,Home,Laptops,MacBook,MacBook Pro 13-inch (2022) - Apple M2 8-core and 10-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,,,,https://d2e6ccujb3mkqf.cloudfront.net/ef20e8dd-bcbf-4d94-8933-15f59560b9b9-1_44ec3544-ed37-419c-8569-7c924cfda3d6.jpg,https://d2e6ccujb3mkqf.cloudfront.net/ef20e8dd-bcbf-4d94-8933-15f59560b9b9-2_43151760-15c3-42c1-adf4-9c3c8f2813c0.jpg,https://d2e6ccujb3mkqf.cloudfront.net/ef20e8dd-bcbf-4d94-8933-15f59560b9b9-3_530da025-2e62-4d7d-a8b2-210f05110b74.jpg,https://d2e6ccujb3mkqf.cloudfront.net/ef20e8dd-bcbf-4d94-8933-15f59560b9b9-4_be371222-e372-4373-a84d-238571f3c790.jpg,https://d2e6ccujb3mkqf.cloudfront.net/ef20e8dd-bcbf-4d94-8933-15f59560b9b9-5_4d2e5b6b-b648-41b3-adde-b6eee5f7472c.jpg,"Refurbished MacBook M1 Apple MacBook Pro (13"", 2022, M2 series) • QWERTY - English ✌ Up to 70% cheaper than new! ✅ Fast, free delivery ✅ Cheap MacBook Pro ✅ 12 month warranty ✅ 30-day returns",,123,4.33,,,,Y,,£631.00,631.00,specification,Colour,Space Gray,specification,Storage,256 GB,specification,Memory,8 GB,specification,Model,MacBook Pro,specification,Graphics card,10-core GPU,specification,OS,macOS,specification,macbook_parent_title,"(13"", 2022, Apple M2)",specification,Title (GMC),MacBook Pro Apple M2 13-inch 8 GB (2022) Space Gray - Apple Laptop Refurbished,specification,macbook_processor_series,M2 series,specification,Retina,Yes,specification,Storage type,SSD,specification,Product ranking,2,specification,Processor,Apple M2 8-core,specification,IPS,Yes,specification,Touch ID,Yes,specification,Accessory Matching Key,No,specification,Processor series,M2 series,specification,HDMI output,No,specification,Jack plug,Yes,specification,Screen brightness,500 nits brightness
backmarket,2025-09-28,https://www.backmarket.co.uk/product-page/products/cea79c0e-61f7-4d42-bfd1-6ed7f0199e3b/pickers?premium_grade=true,https://www.backmarket.co.uk/en-gb/p/macbook-air-13-inch-2022-m2-8-core-and-8-core-gpu-8gb-ram-ssd-256gb-qwerty/cea79c0e-61f7-4d42-bfd1-6ed7f0199e3b?l=12,cea79c0e-61f7-4d42-bfd1-6ed7f0199e3b,Fair | MacBook Air 13-inch (2022) - Apple M2 8-core and 8-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,Apple,584.0,1249.0,Y,save £665,Space Gray,256 GB,,,Home,Laptops,MacBook,MacBook Air 13-inch (2022) - Apple M2 8-core and 8-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,,,,https://d2e6ccujb3mkqf.cloudfront.net/bc9e910a-2d03-462d-b84b-82e3d88df430-1_a9b7ef01-55e6-467d-8357-262509ee82e8.jpg,https://d2e6ccujb3mkqf.cloudfront.net/bc9e910a-2d03-462d-b84b-82e3d88df430-2_222818fe-7d88-46fb-a157-0a20bad40382.jpg,https://d2e6ccujb3mkqf.cloudfront.net/bc9e910a-2d03-462d-b84b-82e3d88df430-3_09e4e372-aac3-4833-8997-05de82462208.jpg,https://d2e6ccujb3mkqf.cloudfront.net/bc9e910a-2d03-462d-b84b-82e3d88df430-4_e6f73474-5c4a-4cde-b682-452604c1e8d6.jpg,https://d2e6ccujb3mkqf.cloudfront.net/bc9e910a-2d03-462d-b84b-82e3d88df430-5_639cb29a-4700-4923-9133-b1e12a55718c.jpg,"Refurbished MacBook M1 Apple MacBook Air (13"", 2022, M2 series) • QWERTY - English ✌ Up to 70% cheaper than new! ✅ Fast, free delivery ✅ Cheap MacBook Air ✅ 12 month warranty ✅ 30-day returns",,285,4.52,,,,Y,,£584.00,584.00,specification,Colour,Space Gray,specification,Storage,256 GB,specification,Memory,8 GB,specification,Model,MacBook Air,specification,Graphics card,8-core GPU,specification,OS,macOS,specification,macbook_parent_title,"(13"", 2022, Apple M2)",specification,Title (GMC),MacBook Air Apple M2 13-inch 8 GB (2022) Space Gray - Apple Laptop Refurbished,specification,macbook_processor_series,M2 series,specification,Retina,Yes,specification,Storage type,SSD,specification,Product ranking,2,specification,Processor,Apple M2 8-core,specification,IPS,Yes,specification,Touch ID,Yes,specification,Accessory Matching Key,No,specification,Processor series,M2 series,specification,HDMI output,No,specification,Jack plug,Yes,specification,Screen brightness,500 nits brightness
