source,date,apiURL,url,sku,name,brand,price,previousPrice,onSale,saleText,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
huawei,2025-09-25,https://itrinity-de.c.huawei.com/convert/queryProductDetailInfo?sbomCodes=80440111010018802&siteCode=uk&groupFlag=false,https://consumer.huawei.com/uk/accessories/fit-3-strap/buy/?productId=18044929690347&skuCode=80440111010018802,80440111010018802,HUAWEI WATCH FIT 3 Strap Vibrant Black,HUAWEI,39.99,,,,Vibrant Black,,,,Home,Accessories,HUAWEI WATCH Fit 3 Fluoroelastromer Strap,buy,,,,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202406/gbom/6942103120893/3C26F38D22B931E8CF9C4F4DE0E08D2Emp.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202406/gbom/6942103120893/group/04921ACFE5CBC4EB419B9F6D42CB0AAA.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202406/gbom/6942103120893/group/90E2B84F7854F71B43123A0282783E9F.png,,,HUAWEI WATCH FIT 3 Strap Vibrant Black Fluoroelastomer Strap,,,,,,,,,£39.99,39.99,specification,Colour,Vibrant Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,2025-09-25,https://itrinity-de.c.huawei.com/convert/queryProductDetailInfo?sbomCodes=80440111010018803&siteCode=uk&groupFlag=false,https://consumer.huawei.com/uk/accessories/fit-3-strap/buy/?productId=18044929690347&skuCode=80440111010018803,80440111010018803,HUAWEI WATCH FIT 3 Strap Vibrant White,HUAWEI,39.99,,,,Vibrant White,,,,Home,Accessories,HUAWEI WATCH Fit 3 Fluoroelastromer Strap,buy,,,,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202406/gbom/6942103120916/C93386B221AE85E4B9D484525FD14312mp.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202406/gbom/6942103120916/group/14BF46113BF38116AC4B57F2487C7401.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202406/gbom/6942103120916/group/D99BCD5138630EA90D1CE1253037CE1A.png,,,HUAWEI WATCH FIT 3 Strap Vibrant White Fluoroelastomer Strap,,,,,,,,,£39.99,39.99,specification,Colour,Vibrant White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,2025-09-25,https://itrinity-de.c.huawei.com/convert/queryProductDetailInfo?sbomCodes=80440111010018804&siteCode=uk&groupFlag=false,https://consumer.huawei.com/uk/accessories/fit-3-strap/buy/?productId=18044929690347&skuCode=80440111010018804,80440111010018804,HUAWEI WATCH FIT 3 Strap Pink Strap,HUAWEI,29.99,,,,Pink,,,,Home,Accessories,HUAWEI WATCH Fit 3 Fluoroelastromer Strap,buy,,,,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202406/gbom/6942103120817/DB755D7EC74AE7EDDA705522889F969Emp.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202406/gbom/6942103120817/group/57FA41DC9050632554C74A1A8A32440A.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202406/gbom/6942103120817/group/AD459C3E6A5E3A7D9C909749326D2B08.png,,,HUAWEI WATCH FIT 3 Strap Pink Fluoroelastomer Strap,,,,,,,,,£29.99,29.99,specification,Colour,Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,2025-09-25,https://itrinity-de.c.huawei.com/convert/queryProductDetailInfo?sbomCodes=80440111010018805&siteCode=uk&groupFlag=false,https://consumer.huawei.com/uk/accessories/fit-3-strap/buy/?productId=18044929690347&skuCode=80440111010018805,80440111010018805,HUAWEI WATCH FIT 3 Strap Black Fluoroelastomer,HUAWEI,29.99,,,,Black,,,,Home,Accessories,HUAWEI WATCH Fit 3 Fluoroelastromer Strap,buy,,,,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202407/gbom/6942103120794/EBC7F873427ED85577A03C9C4B0A3D2Dmp.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202407/gbom/6942103120794/group/28F0A75AB1E5C3005DDDA029CD3D28DF.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202407/gbom/6942103120794/group/52AAA84F6FEBC6FE9A0DA12ED8E189BE.png,,,HUAWEI WATCH FIT 3 Strap Black Fluoroelastomer Strap,,,,,,,,,£29.99,29.99,specification,Colour,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,2025-09-25,https://itrinity-de.c.huawei.com/convert/queryProductDetailInfo?sbomCodes=80440111010019607&siteCode=uk&groupFlag=false,https://consumer.huawei.com/uk/accessories/fit-3-strap/buy/?productId=18044929690347&skuCode=80440111010019607,80440111010019607,HUAWEI WATCH FIT 3 Strap Green Strap,HUAWEI,29.99,,,, Green,,,,Home,Accessories,HUAWEI WATCH Fit 3 Fluoroelastromer Strap,buy,,,,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202407/gbom/6942103120831/8672B38BD5916D09DC46AEF6CA2A5C5Dmp.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202407/gbom/6942103120831/group/ECE00CDA2F89F46AAAA7275BBBF3F731.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202407/gbom/6942103120831/group/0EB667AAB41DFCC0A09BC3F3EA54D2E9.png,,,HUAWEI WATCH FIT 3 Strap Green Fluoroelastomer Strap,,,,,,,,,£29.99,29.99,specification,Colour, Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,2025-09-25,https://itrinity-de.c.huawei.com/convert/queryProductDetailInfo?sbomCodes=80440111010018806&siteCode=uk&groupFlag=false,https://consumer.huawei.com/uk/accessories/fit-3-strap/buy/?productId=18044929690347&skuCode=80440111010018806,80440111010018806,HUAWEI WATCH FIT 3 Strap Grey Nylon Strap,HUAWEI,29.99,,,,Grey,,,,Home,Accessories,HUAWEI WATCH Fit 3 Fluoroelastromer Strap,buy,,,,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202406/gbom/6942103120879/6F1B89FE45A9391C50AFA35BA29F0A52mp.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202406/gbom/6942103120879/group/F72CB307CD34E445B68B0C667216DB91.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202406/gbom/6942103120879/group/1F4D909B668B143BF43C5BF622266F6E.png,,,HUAWEI WATCH FIT 3 Strap Grey Nylon Strap (2),,,,,,,,,£29.99,29.99,specification,Colour,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,2025-09-25,https://itrinity-de.c.huawei.com/convert/queryProductDetailInfo?sbomCodes=80440111010018807&siteCode=uk&groupFlag=false,https://consumer.huawei.com/uk/accessories/fit-3-strap/buy/?productId=18044929690347&skuCode=80440111010018807,80440111010018807,HUAWEI WATCH FIT 3 Strap Brown  Nylon Strap,HUAWEI,29.99,,,, Brown,,,,Home,Accessories,HUAWEI WATCH Fit 3 Fluoroelastromer Strap,buy,,,,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202408/gbom/6942103128349/A39713B664D0908931E16C806663FBF1mp.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202408/gbom/6942103128349/group/EBB4B06679CD0BCF7A9891EF4B0F3FC6.png,,,,HUAWEI WATCH FIT 3 Strap Brown  Nylon Strap (2),,,,,,,,,£29.99,29.99,specification,Colour, Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,2025-09-25,https://itrinity-de.c.huawei.com/convert/queryProductDetailInfo?sbomCodes=80440111010018808&siteCode=uk&groupFlag=false,https://consumer.huawei.com/uk/accessories/fit-3-strap/buy/?productId=18044929690347&skuCode=80440111010018808,80440111010018808,HUAWEI WATCH FIT 3 Strap Blue  Nylon Strap,HUAWEI,29.99,,,, Blue,,,,Home,Accessories,HUAWEI WATCH Fit 3 Fluoroelastromer Strap,buy,,,,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202408/gbom/6942103128400/3093343951ECDD843418ED5621CB4A5Bmp.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202408/gbom/6942103128400/group/DD2F4A86161358086F642E76A105FE33.png,,,,HUAWEI WATCH FIT 3 Strap Blue  Nylon Strap (2),,,,,,,,,£29.99,29.99,specification,Colour, Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,2025-09-25,https://itrinity-de.c.huawei.com/convert/queryProductDetailInfo?sbomCodes=80440111010019101&siteCode=uk&groupFlag=false,https://consumer.huawei.com/uk/accessories/folio-cover-compatible-with-matepad-11-5-s/buy/?productId=18044766295199&skuCode=80440111010019101,80440111010019101,HUAWEI MatePad 11.5”S Cover,HUAWEI,59.99,,,,Grey,,,,Home,Accessories,"HUAWEI MatePad Folio Cover (compatible with MatePad 11.5""S)",buy,,,,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202405/gbom/6942103122507/FB5451B552A92A6FA54A9F4B1B149C1Cmp.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202405/gbom/6942103122507/group/E3D4A8B86E6EA36E881D837C73E01075.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202405/gbom/6942103122507/group/4110A3577EA874C9727AC836EF391999.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202405/gbom/6942103122507/group/1E3A529E79FA326772A2B0EEC9710341.png,,HUAWEI MatePad 11.5”S Cover,,,,,,,,,£59.99,59.99,specification,Colour,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huawei,2025-09-25,https://itrinity-de.c.huawei.com/convert/queryProductDetailInfo?sbomCodes=80440111010019201&siteCode=uk&groupFlag=false,https://consumer.huawei.com/uk/accessories/m-pen-lite/buy/?productId=18044129665762&skuCode=80440111010019201,80440111010019201,HUAWEI M-Pen Lite,HUAWEI,34.99,,,,Grey,,,,Home,Accessories,HUAWEI M-Pen Lite,buy,,,,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202501/gbom/6942103115820/AB529DC4DA546B39C57ABEAB24BCF4DCmp.png,https://img01.huaweifile.com/eu/uk/huawei/pms/uomcdn/GBHW/pms/202501/gbom/6942103115820/group/F7C61115568E412B38C433A16B310FC3.png,,,,"HUAWEI M-Pen Lite (AF63-R 2024), for gift only, not sold separately",,,,,,,,,£34.99,34.99,specification,Compatible product,"MatePad SE 11""",specification,Colour,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
