source,date,apiURL,url,sku,name,brand,price,previousPrice,onSale,saleText,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
HONOR,2025-09-25,https://selfservice-de.hihonor.com/ccpcmd/services/dispatch/secured/CCPC/EN/eCommerce/querySkuDetailDispInfo/1000?skuCodes=82440110012030000101&siteCode=uk&groupFlag=false,https://www.honor.com/uk/audio/honor-earbuds-open/buy/?productId=18244923354098&skuCode=82440110012030000101,82440110012030000101,HONOR Earbuds Open Polar Gold,HONOR,149.99,,,,Polar Gold,,,6936520860845,audio,honor-earbuds-open,buy,,,,,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520860845/group/800_800_90Percent_39467928F6023D7EE1D34649499FFEB1DF63E01AF8CC3840mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520860845/group/800_800_90Percent_317FDC4B8C6CBA74B04262FB21CEF479B65AC94EED52CBEEmp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520860845/group/800_800_90Percent_9FD47855FCE4E0B7A50DDBF6CFFEA83642FB98B81EAA9425mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520860845/group/800_800_90Percent_F688135468ECE67789244DD595118E8DC261ACF133BA4036mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520860845/group/800_800_90Percent_75BABFC7D0E6F2376F30577268928EB2904FA74BC9DAFFDFmp.webp,,,32,5.0,,,,,,£149.99,149.99,variant,Colour,Polar Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONOR,2025-09-25,https://selfservice-de.hihonor.com/ccpcmd/services/dispatch/secured/CCPC/EN/eCommerce/querySkuDetailDispInfo/1000?skuCodes=82440110012030000102&siteCode=uk&groupFlag=false,https://www.honor.com/uk/audio/honor-earbuds-open/buy/?productId=18244923354098&skuCode=82440110012030000102,82440110012030000102,HONOR Earbuds Open Polar Black,HONOR,149.99,,,,Polar Black,,,6936520860852,audio,honor-earbuds-open,buy,,,,,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520860852/group/800_800_90Percent_2FADDC0016BA1F8309F28829EC12BB2D3C5A1505131F94BDmp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520860852/group/800_800_90Percent_962E1D117C20CA66977082DC3C5D90F4D061943FCCCF6DBFmp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520860852/group/800_800_90Percent_22DFE436CC2A0347D0A3091F679E29F2E64D71B38A6C5F1Amp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520860852/group/800_800_90Percent_3983C981BF09F84320F4EF78A230268230F6BAA1F20C6C68mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520860852/group/800_800_90Percent_AE847D3C7099BB484EB2729DE5DCC526B5B5A0435D5292E0mp.webp,,,32,5.0,,,,,,£149.99,149.99,variant,Colour,Polar Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONOR,2025-09-25,https://selfservice-de.hihonor.com/ccpcmd/services/dispatch/secured/CCPC/EN/eCommerce/querySkuDetailDispInfo/1000?skuCodes=82440110012020000101&siteCode=uk&groupFlag=false,https://www.honor.com/uk/audio/honor-earbuds-x6/buy/?productId=18244488172540&skuCode=82440110012020000101,82440110012020000101,HONOR Earbuds X6 White,HONOR,39.99,,,,White,,,6936520838097,audio,honor-earbuds-x6,buy,,,,,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520838097/group/800_800_90Percent_99A683FCF5982759C0AAE463736ED2E0C0AE57AAA0863875mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520838097/group/800_800_90Percent_B8747D9FB20C938F9C7EAA6D878B1B1B377029067F4AA490mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520838097/group/800_800_90Percent_27AEE668711A9C01D3F4A5D3EF62BF1B0BCEE91BF6ECE9AEmp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520838097/group/800_800_90Percent_AAE7E0F882FDC79C3C6D8B7795CBB8533D64E790E5906209mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520838097/group/800_800_90Percent_61493C9512AD91607B877C9792C20028FCF5E4084BE4237Fmp.webp,,,96,4.9,,,,,,£39.99,39.99,variant,Colour,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONOR,2025-09-25,https://selfservice-de.hihonor.com/ccpcmd/services/dispatch/secured/CCPC/EN/eCommerce/querySkuDetailDispInfo/1000?skuCodes=82440111010205101&siteCode=uk&groupFlag=false,https://www.honor.com/uk/audio/honor-earbuds-x5/buy/?productId=18244595149498&skuCode=82440111010205101,82440111010205101,HONOR Earbuds X5,HONOR,39.99,,,,White,,,6936520821440,audio,honor-earbuds-x5,buy,,,,,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520821440/group/800_800_90Percent_529745AEB980A7F3028592C163738AC011CCEF42B396912D.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520821440/group/800_800_90Percent_7C01128C38E66122A1CC7553DB781B1C938B5DDD6277E08B.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520821440/group/800_800_90Percent_C1FF3D00F704F9BC3BB411B9418A97B70F70449D5DC1F9E0.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520821440/group/800_800_90Percent_B1872F930737A79FAE615A6376BBED865EDDCE5B706683B1.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520821440/group/800_800_90Percent_AFE37CF5F25A28E9647299016E0E9AB5963F6837D4CB7B4B.webp,,,79,4.7,,,,,,£39.99,39.99,variant,Colour,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONOR,2025-09-25,https://selfservice-de.hihonor.com/ccpcmd/services/dispatch/secured/CCPC/EN/eCommerce/querySkuDetailDispInfo/1000?skuCodes=82440111010203401&siteCode=uk&groupFlag=false,https://www.honor.com/uk/audio/honor-earbuds-3-pro/buy/?productId=18244759877577&skuCode=82440111010203401,82440111010203401,HONOR Earbuds 3 Pro White,HONOR,169.99,,,,White,,,6936520808106,audio,honor-earbuds-3-pro,buy,,,,,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520808106/group/800_800_90Percent_9E5AB9BBDC1F0196FF5BADB5F848FD161055D12056DF57F8.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520808106/group/800_800_90Percent_8129333671ACF13C46D3774F38C28A2FDB1B609D132197A7.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520808106/group/800_800_90Percent_C561A7FA09C7894CCECB0254DD231FA7D57244C1D815A453.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520808106/group/800_800_90Percent_97F80D20DA8CCC05C04C2470FBEED5452EFD44B515048599.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520808106/group/800_800_90Percent_4682EAF1BBB768DF2A6A06C58A0517A3081EF1091A9F6166.webp,"Buy the New HONOR Earbuds 3 Pro with advanced health monitor, fast charging & 14-day battery and make calls on watch. Purchase with Free Delivery and Free Returns at HONOR UK.",New Buy HONOR Earbuds 3 Pro | Price & Offer | HONOR UK,7,4.2,,,,,,£169.99,169.99,variant,Colour,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONOR,2025-09-25,https://selfservice-de.hihonor.com/ccpcmd/services/dispatch/secured/CCPC/EN/eCommerce/querySkuDetailDispInfo/1000?skuCodes=82440111010203402&siteCode=uk&groupFlag=false,https://www.honor.com/uk/audio/honor-earbuds-3-pro/buy/?productId=18244759877577&skuCode=82440111010203402,82440111010203402,HONOR Earbuds 3 Pro Grey,HONOR,169.99,,,,Grey,,,6936520808113,audio,honor-earbuds-3-pro,buy,,,,,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520808113/group/800_800_90Percent_FCF9E2D11AFF185B0F605AC649D9DB50022C42CB37394163.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520808113/group/800_800_90Percent_CBF8C9EDB448797A304005F3FCB80D85F969FB1C307BBC70.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520808113/group/800_800_90Percent_CE174D994C9C7E21555D8F6E59FDC826852EC6357F575344.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520808113/group/800_800_90Percent_EFB56F9001021ACB057D82F696864A091328549A97D0ED86.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520808113/group/800_800_90Percent_EDD80FC24C25ECEAA7E1036AB65DC3E2B0CDD15770B3AEB8.webp,"Buy the New HONOR Earbuds 3 Pro with advanced health monitor, fast charging & 14-day battery and make calls on watch. Purchase with Free Delivery and Free Returns at HONOR UK.",New Buy HONOR Earbuds 3 Pro | Price & Offer | HONOR UK,7,4.2,,,,,,£169.99,169.99,variant,Colour,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONOR,2025-09-25,https://selfservice-de.hihonor.com/ccpcmd/services/dispatch/secured/CCPC/EN/eCommerce/querySkuDetailDispInfo/1000?skuCodes=82440111010202601&siteCode=uk&groupFlag=false,https://www.honor.com/uk/audio/honor-earbuds-2-lite/buy/?productId=18244593482129&skuCode=82440111010202601,82440111010202601,HONOR Earbuds 2 Lite Glacier White,HONOR,69.99,,,,Glacier White,,,6973316855227,audio,honor-earbuds-2-lite,buy,,,,,,,,,,"Buy the New HONOR Earbuds 2 Lite comes with a 32 Hours Battery, Active Noise Cancelling, and Awareness Mode to help you hear without taking off your earbuds. Purchase with Free Delivery and Free Returns at HONOR UK store.",Buy HONOR Earbuds 2 Lite | Price & Offer | HONOR UK,9,4.0,,,,,,£69.99,69.99,variant,Colour,Glacier White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONOR,2025-09-25,https://selfservice-de.hihonor.com/ccpcmd/services/dispatch/secured/CCPC/EN/eCommerce/querySkuDetailDispInfo/1000?skuCodes=82440110003070000101&siteCode=uk&groupFlag=false,https://www.honor.com/uk/laptops/honor-magicbook-art-14-2025/buy/?productId=18244081163824&skuCode=82440110003070000101,82440110003070000101,HONOR MagicBook Art 14 2025 14.6 inch ARL Ultra7 UMA 32GB SSD 1TB Emerald Green WIN11 HOME,HONOR,1099.99,1499.99,Y,,Emerald Green,,,6936520876327,laptops,honor-magicbook-art-14-2025,buy,,,,,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520876327/group/800_800_90Percent_4AA1CA7182B4E0ADA72345DFB14360E74E4BB469E7448340mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520876327/group/800_800_90Percent_3DDEDEAD601D320B4345E83A88A846100D5DAABF32D5BCDAmp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520876327/group/800_800_90Percent_0953A89AEE0D9ADCE89B762E2D55623DF61B6661F83D3595mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520876327/group/800_800_90Percent_D21965759177046941B27D077DE925E5D022D2875EF537B8mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520876327/group/800_800_90Percent_C6B2CEF60E1B11EAF6AAF216FBE77C656BBD7EBD7AB4CB58mp.webp,,,1,5.0,,,,,,£1099.99,1099.99,variant,Colour,Emerald Green,specification,Operating System,Windows 11 Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONOR,2025-09-25,https://selfservice-de.hihonor.com/ccpcmd/services/dispatch/secured/CCPC/EN/eCommerce/querySkuDetailDispInfo/1000?skuCodes=82440110003080000101&siteCode=uk&groupFlag=false,https://www.honor.com/uk/laptops/honor-magicbook-pro-14/buy/?productId=18244727811437&skuCode=82440110003080000101,82440110003080000101,HONOR MagicBook Pro 14 2025 14.55 inch ARL Ultra9 UMA 32GB SSD 1TB Grey Windows 11,HONOR,949.99,1299.99,Y,,Grey,32GB,,6936520867905,laptops,honor-magicbook-pro-14,buy,,,,,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520867905/group/800_800_90Percent_1F3C8CE60A8E53E798CF67126D41D934799E8B0EEBBCBAF0mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520867905/group/800_800_90Percent_1F5256519C931CD10F3B24B143DEB0C8AAE10C568618672Amp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520867905/group/800_800_90Percent_FACE096289F2CEBE71D112FC682937385730F81D43AF9BD4mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520867905/group/800_800_90Percent_1C82307A8E5D7AE44510DF21315DC92A0D01453CFCB20E80mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520867905/group/800_800_90Percent_00BFD33148991390E1524CEBCDC31EAE69C9741284169CDCmp.webp,,,16,5.0,,,,,,£949.99,949.99,variant,Colour,Grey,specification,Processor,Intel® Core™ Ultra 9 Processor 285H,specification,Memory,32GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONOR,2025-09-25,https://selfservice-de.hihonor.com/ccpcmd/services/dispatch/secured/CCPC/EN/eCommerce/querySkuDetailDispInfo/1000?skuCodes=82440110003080000102&siteCode=uk&groupFlag=false,https://www.honor.com/uk/laptops/honor-magicbook-pro-14/buy/?productId=18244727811437&skuCode=82440110003080000102,82440110003080000102,HONOR MagicBook Pro 14 2025 14.6 inch MTL Ultra5 UMA 24GB SSD 1TB Starry Gray Windows 11,HONOR,699.99,899.99,Y,,Grey,24GB,,6936520875894,laptops,honor-magicbook-pro-14,buy,,,,,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520875894/group/800_800_90Percent_7B0328EC46ACF9992906169010D7456F54F5A1F01445965Fmp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520875894/group/800_800_90Percent_2781D937CE77780B1F880C5220D3073154D258DE39C2DF76mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520875894/group/800_800_90Percent_9FF07CD7F52065C59F90E7C35C31F6BA20C626188237A9F2mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520875894/group/800_800_90Percent_5D9BA5E95FA2AB34B4EBCFA63AB2EEBFBFE2025612D4F166mp.webp,https://img02.honorfile.com/eu/uk/honor/pms/product/6936520875894/group/800_800_90Percent_FD5F8E359CC2B2DB995FF29E66E7DE544444A1572EA7E73Dmp.webp,,,16,5.0,,,,,,£699.99,699.99,variant,Colour,Grey,specification,Processor,Intel® Core™ Ultra 5 processor 125H,specification,Memory,24GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
