source,date,apiURL,url,sku,name,brand,price,stock,previousPrice,onSale,saleText,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?111442180,https://www.johnlewis.com/petit-bateau-baby-rabbit-print-long-sleeve-bodysuits-pack-of-5-white-multi/p111442180?size=3-months,111389026,"Petit Bateau Baby Rabbit Print, Long Sleeve Bodysuits, Pack of 5, White/Multi, 3 months",Petit Bateau,34.00,N,,,,White/Multi,3 months,,3663708064681,Homepage,Baby & Child,Baby & Toddlerwear (0-3 yrs),Baby & Toddler Bodysuits,,,,https://media.johnlewiscontent.com/i/JohnLewis/006971583,https://media.johnlewiscontent.com/i/JohnLewis/006971583alt1,https://media.johnlewiscontent.com/i/JohnLewis/006971583alt2,https://media.johnlewiscontent.com/i/JohnLewis/006971583alt3,,These longsleeve bodysuits are both comfy and practical. Made from soft cotton and designed with a wide neck opening and popper fastenings for easy changing.,,,,,,,,,£34.00,34.00,specification,Brand,Petit Bateau,specification,Number in Pack,5,specification,Sleepsuit Feature,"Crotch Poppers, Envelope Neck",specification,Sleeve Type,Long Sleeve,specification,Single or Multipack,Multipack,specification,Pattern Details,"Animal, Children's",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?111442180,https://www.johnlewis.com/petit-bateau-baby-rabbit-print-long-sleeve-bodysuits-pack-of-5-white-multi/p111442180?size=6-months,111389025,"Petit Bateau Baby Rabbit Print, Long Sleeve Bodysuits, Pack of 5, White/Multi, 6 months",Petit Bateau,34.00,N,,,,White/Multi,6 months,,3663708064674,Homepage,Baby & Child,Baby & Toddlerwear (0-3 yrs),Baby & Toddler Bodysuits,,,,https://media.johnlewiscontent.com/i/JohnLewis/006971583,https://media.johnlewiscontent.com/i/JohnLewis/006971583alt1,https://media.johnlewiscontent.com/i/JohnLewis/006971583alt2,https://media.johnlewiscontent.com/i/JohnLewis/006971583alt3,,These longsleeve bodysuits are both comfy and practical. Made from soft cotton and designed with a wide neck opening and popper fastenings for easy changing.,,,,,,,,,£34.00,34.00,specification,Brand,Petit Bateau,specification,Number in Pack,5,specification,Sleepsuit Feature,"Crotch Poppers, Envelope Neck",specification,Sleeve Type,Long Sleeve,specification,Single or Multipack,Multipack,specification,Pattern Details,"Animal, Children's",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?111500401,https://www.johnlewis.com/monica-vinader-curb-twist-choker-necklace/silver/p111500401,111500185,"Monica Vinader Curb Twist Choker Necklace, Silver",Monica Vinader,50.00,N,,,,Silver,,,5056599123106,Homepage,Women,Women's Jewellery,Women's Necklaces,,,,https://media.johnlewiscontent.com/i/JohnLewis/111500185,https://media.johnlewiscontent.com/i/JohnLewis/111500185alt3,https://media.johnlewiscontent.com/i/JohnLewis/111500185alt1,https://media.johnlewiscontent.com/i/JohnLewis/111500185alt2,,This Curb Twist Choker Necklace is a simple style ideal for everyday elegance. The chain is adjustable in length to ensure the perfect fit. Every hand-crafted Monica Vinader piece comes with a 5-year warranty and lifetime repairs.,,,,,,,,,£50.00,50.00,specification,Can be personalised?,Cannot be Personalised,specification,Brand,Monica Vinader,specification,Country of Origin,India,specification,Fastening,Lobster Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?111500401,https://www.johnlewis.com/monica-vinader-curb-twist-choker-necklace/gold/p111500401,111500194,"Monica Vinader Curb Twist Choker Necklace, Gold",Monica Vinader,58.00,N,,,,Gold,,,5056599118447,Homepage,Women,Women's Jewellery,Women's Necklaces,,,,https://media.johnlewiscontent.com/i/JohnLewis/111500194,https://media.johnlewiscontent.com/i/JohnLewis/111500194alt1,https://media.johnlewiscontent.com/i/JohnLewis/111500194alt2,https://media.johnlewiscontent.com/i/JohnLewis/111500194alt3,,This Curb Twist Choker Necklace is a simple style ideal for everyday elegance. The chain is adjustable in length to ensure the perfect fit. Every hand-crafted Monica Vinader piece comes with a 5-year warranty and lifetime repairs.,,,,,,,,,£58.00,58.00,specification,Can be personalised?,Cannot be Personalised,specification,Brand,Monica Vinader,specification,Country of Origin,India,specification,Fastening,Lobster Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?113316473,https://www.johnlewis.com/tonies-paw-patrol-jungle-pups-chase-tonie-audio-character/p113316473,113144314,tonies Paw Patrol Jungle Pups Chase Tonie Audio Character,tonies,15.00,Y,,,,Multi,,,4251192148933,Homepage,Baby & Child,Electronic Toys,,,,,https://media.johnlewiscontent.com/i/JohnLewis/113144314,https://media.johnlewiscontent.com/i/JohnLewis/113144314alt1,https://media.johnlewiscontent.com/i/JohnLewis/113144314alt2,https://media.johnlewiscontent.com/i/JohnLewis/113144314alt3,https://media.johnlewiscontent.com/i/JohnLewis/113144314alt4,"Calling all PAW Patrol fans! We've got some new pup tales to share, so if you know a little hero who loves an action story, it's time to get Chase on the case. PAW Patrol fans will love this new selection of tales and songs, featuring everyone's favourite pup detective, Chase. Join the PAW Patrol as they work together to protect Adventure Bay and the Hidden Jungle! Get ready for meerkat pirates, missing art, a high-flying hen and more. Every Tonie is hand-painted, yet tough enough to be part of the fun not just on, but also off the box. It magnetically attaches to your Toniebox, sold separately, allowing you to listen to something different every time. Just pop on another Tonie and quickly jump in between audiobooks, music or your own interactive audio adventures. Good To Know: Running time is approximately 45 minutes.",,,,,,,,,£15.00,15.00,specification,Warning!,Warning! Choking hazard - small parts. Not suitable for children under 3 years old,specification,Animal type,Dog,specification,Country of origin,China,specification,Character,Paw Patrol,specification,Batteries included,No,specification,Brand,tonies,specification,Development claims,Encourages imagination,specification,Made in the UK,No,specification,Toy type,Music Boxes,specification,Type of book,Audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?114203856,https://www.johnlewis.com/reiss-kids-poppy-cotton-long-sleeved-striped-t-shirt-navy-white/p114203856?size=3-4-years,114203814,"Reiss Kids' Poppy Cotton Long Sleeved Striped T-Shirt, Navy/White, 3-4 years",Reiss,25.00,Y,,,,Navy/White,3-4 years,,5063458514555,Homepage,Baby & Child,Girls' Clothes (2+ yrs),Girls' Shirts & Tops,,,,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt2,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt3,https://media.johnlewiscontent.com/i/JohnLewis/010411804,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt5,,"This striped cotton long sleeve top brings comfort and character to any outfit, making everyday layering easy and ensuring all-day ease.",,,,,,,,,£25.00,25.00,specification,Brand,Reiss,specification,Country of Origin,Turkey,specification,Drying Instructions,Do not tumble dry,specification,Sleeve Type,Long Sleeve,specification,Pattern Details,Stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?114203856,https://www.johnlewis.com/reiss-kids-poppy-cotton-long-sleeved-striped-t-shirt-navy-white/p114203856?size=4-5-years,114203815,"Reiss Kids' Poppy Cotton Long Sleeved Striped T-Shirt, Navy/White, 4-5 years",Reiss,25.00,Y,,,,Navy/White,4-5 years,,5063458514562,Homepage,Baby & Child,Girls' Clothes (2+ yrs),Girls' Shirts & Tops,,,,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt2,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt3,https://media.johnlewiscontent.com/i/JohnLewis/010411804,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt5,,"This striped cotton long sleeve top brings comfort and character to any outfit, making everyday layering easy and ensuring all-day ease.",,,,,,,,,£25.00,25.00,specification,Brand,Reiss,specification,Country of Origin,Turkey,specification,Drying Instructions,Do not tumble dry,specification,Sleeve Type,Long Sleeve,specification,Pattern Details,Stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?114203856,https://www.johnlewis.com/reiss-kids-poppy-cotton-long-sleeved-striped-t-shirt-navy-white/p114203856?size=5-6-years,114203816,"Reiss Kids' Poppy Cotton Long Sleeved Striped T-Shirt, Navy/White, 5-6 years",Reiss,25.00,Y,,,,Navy/White,5-6 years,,5063458514579,Homepage,Baby & Child,Girls' Clothes (2+ yrs),Girls' Shirts & Tops,,,,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt2,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt3,https://media.johnlewiscontent.com/i/JohnLewis/010411804,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt5,,"This striped cotton long sleeve top brings comfort and character to any outfit, making everyday layering easy and ensuring all-day ease.",,,,,,,,,£25.00,25.00,specification,Brand,Reiss,specification,Country of Origin,Turkey,specification,Drying Instructions,Do not tumble dry,specification,Sleeve Type,Long Sleeve,specification,Pattern Details,Stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?114203856,https://www.johnlewis.com/reiss-kids-poppy-cotton-long-sleeved-striped-t-shirt-navy-white/p114203856?size=6-7-years,114203817,"Reiss Kids' Poppy Cotton Long Sleeved Striped T-Shirt, Navy/White, 6-7 years",Reiss,25.00,Y,,,,Navy/White,6-7 years,,5063458514586,Homepage,Baby & Child,Girls' Clothes (2+ yrs),Girls' Shirts & Tops,,,,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt2,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt3,https://media.johnlewiscontent.com/i/JohnLewis/010411804,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt5,,"This striped cotton long sleeve top brings comfort and character to any outfit, making everyday layering easy and ensuring all-day ease.",,,,,,,,,£25.00,25.00,specification,Brand,Reiss,specification,Country of Origin,Turkey,specification,Drying Instructions,Do not tumble dry,specification,Sleeve Type,Long Sleeve,specification,Pattern Details,Stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnLewis,2025-10-30,https://api.johnlewis.com/catalogue/graphql?114203856,https://www.johnlewis.com/reiss-kids-poppy-cotton-long-sleeved-striped-t-shirt-navy-white/p114203856?size=7-8-years,114203818,"Reiss Kids' Poppy Cotton Long Sleeved Striped T-Shirt, Navy/White, 7-8 years",Reiss,25.00,Y,,,,Navy/White,7-8 years,,5063458514593,Homepage,Baby & Child,Girls' Clothes (2+ yrs),Girls' Shirts & Tops,,,,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt2,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt3,https://media.johnlewiscontent.com/i/JohnLewis/010411804,https://media.johnlewiscontent.com/i/JohnLewis/010411804alt5,,"This striped cotton long sleeve top brings comfort and character to any outfit, making everyday layering easy and ensuring all-day ease.",,,,,,,,,£25.00,25.00,specification,Brand,Reiss,specification,Country of Origin,Turkey,specification,Drying Instructions,Do not tumble dry,specification,Sleeve Type,Long Sleeve,specification,Pattern Details,Stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
