source,date,apiURL,url,sku,name,brand,price,stock,previousPrice,onSale,saleText,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
lenovo,2025-10-22,https://openapi.lenovo.com/gb/en/product/singleModelPDP/get?groupCodes=400001&productNumber=4x21h27808,https://www.lenovo.com/gb/en/p/accessories-and-software/chargers-and-batteries/chargers/4x21h27808,4X21H27808,ThinkPad 135W AC Adapter (USB-C)-UK/Hong Kong/Malta/Singapore,ThinkPad,55.99,Y,69.99,Y,SAVE £14.0,Black,,,,Accessories and Software,Chargers & Batteries,Chargers,ThinkPad 135W AC Adapter (USB-C)-UK/Hong Kong/Malta/Singapore,,,,https://p1-ofp.static.pub//fes/cms/2024/10/30/pxv4b7us6op8p4k7swukdn0j0dldw9597311.png,https://p3-ofp.static.pub//fes/cms/2024/10/30/ku83hj5p8b7fsfm57yq7mtj9z4yk4o506719.png,https://p3-ofp.static.pub//fes/cms/2024/10/30/3wsyy7r2t7cul0y27ttq5b5hvpab4s487606.png,,,"ThinkPad 135W AC Adapter (USB-C) offers fast, efficient charging at home, in the office or on the go. It is your perfect replacement or spare power adapter for your ThinkPad devices.To check if the charger is compatible with your system, CLICK HERE",,2,1.0,,,,,,,,COLOR,Color,BLACK,CABLE LENGTH/TYPE,Cable Length/Type,"DC CABLE LENGTH: 180 CM+/-5 CM,LINE CORD C5: 100 CM+/-2 CM",WEIGHT,Weight,0.42 KG,AC PLUG,AC Plug,LINE CORD C5 1.0 M UK_GROUP,WARRANTY TYPE,Warranty Type,CUSTOMER REPLACEABLE UNIT (CRU),BRAND,Brand,THINKPAD,PACKED WEIGHT,Packed Weight,770G15G,AGENCY APPROVALS,Agency Approvals,"CB/CCC/CECP/CE/BSMI/MOROCCO/SEC/NOM/PSB/SII/TUV-GS/UKRAINE/UL/RCM/ISC/SONCAP/KVALITET/UZBEK/TUV-S/INSM/KUCAS/KC, KCC/NRCAN/NOM-029/CU/BIS",CHARGING PORT,Charging Port,USB-C,PACKAGE TYPE,Package Type,BROWN BOX,PACKED DIMENSIONS (L X D X H),Packed Dimensions (L x D x H),264 MM X 110 MM X 53 MM,HEIGHT,Height,22 MM,LENGTH,Length,139.5 MM,DEPTH,Depth,77 MM,WARRANTY PERIOD,Warranty Period,ONE YEAR,MAXIMUM OPERATING TEMPERATURE,Maximum Operating Temperature,40,MINIMUM OPERATING TEMPERATURE,Minimum Operating Temperature,0,MAXIMUM RELATIVE HUMIDITY (%),Maximum Relative Humidity (%),80,MINIMUM RELATIVE HUMIDITY (%),Minimum Relative Humidity (%),8,INCLUDED ACCESSORY,Included Accessory,"POWER ADAPTOR:LINE CORD,WARRANTY POSTER,POWER POSTER"
lenovo,2025-10-22,https://openapi.lenovo.com/gb/en/product/singleModelPDP/get?groupCodes=400001&productNumber=gxd1c98345,https://www.lenovo.com/gb/en/p/accessories-and-software/audio/headsets/gxd1c98345,GXD1C98345,Lenovo Legion H600 Wireless Gaming Headset (Stingray),Lenovo,90,Y,100,Y,SAVE £10.0,Stin Grey,,,,Accessories and Software,Audio,Headsets,Lenovo Legion H600 Wireless Gaming Headset (Stingray),,,,https://p3-ofp.static.pub//fes/cms/2024/10/23/jv8am3blh7p3dwi2fr20qpq8bj79b9282423.png,https://p3-ofp.static.pub//fes/cms/2024/10/23/8bikofaeh57toi6w9xdslpr5gj5pt7453304.png,https://p4-ofp.static.pub//fes/cms/2025/04/16/gjdh7ausqvwwy51ao51xeztcg87gvc099783.png,https://p3-ofp.static.pub//fes/cms/2024/10/23/rk6ch3qmth67klo5ybu7p2ipz50gvb950787.png,https://p4-ofp.static.pub//fes/cms/2024/10/23/rd3b4uoraud9kbyftyf0ezgkk3lqc2252641.png,"Designed to provide a truly wireless audio experience like no other, the Legion H600 sports a premium 2.4 GHz lossless wireless receiver, tournament-grade audio, wired and magnetic contact charging, and a 3.5 mm jack for hassle-free multi-platform support. Its most defining feature is the ability to wirelessly charge when hung from the new Legion S600 Gaming Station so that you don’t have to clutter your desk or remember to plug in the charging cable.",,46,4.2,,,,,,,,CAPACITY,Capacity,1200 MAH,COLOR,Color,STIN GREY,CABLE LENGTH/TYPE,Cable Length/Type,"3.5 MM CABLE 1.2 M, USB CHARGING CABLE 1 M",WEIGHT,Weight,320 G,WARRANTY TYPE,Warranty Type,CUSTOMER REPLACEABLE UNIT (CRU),CONTROLS,Controls,"VOLUME UP/DOWN, POWER BUTTON, FLIP TO MUTE",DISTORTION,Distortion,200 - 20 KHZ < 3,DRIVER,Driver,50 MM DRIVERS,FREQUENCY RANGE,Frequency Range,20HZ - 20KHZ,IMPEDANCE,Impedance,32,POWER REQUIREMENT,Power Requirement,5V/1.5A,RMS POWER,RMS Power,50 MA,SENSITIVITY,Sensitivity,105 3 DB / 1 MW @ 1 KHZ,AUDIO INPUT,Audio Input,4 - POLE 3.5 MM OR 2.4GHZ WIRELESS,BRAND,Brand,LENOVO,OS REQUIREMENTS,OS Requirements,OS INDEPENDENT,PACKED WEIGHT,Packed Weight,660 G (1.46 LBS),OTHER PHYSICAL SPECIFICATIONS,Other Physical Specifications,WIRELESS RECEIVER SIZE: 38 MM X 18 MM X 6 MM (1.49 INCH X 0.71 INCH X 0.24 INCH),AGENCY APPROVALS,Agency Approvals,"CB,CE,TUV MARK,CTUVUS,FCC,IC,RCM,NTC,SIRIM,UAE TRA,MIC,IMDA,NCC,ANATEL,KCC,EAC,UKRAINE SEPRO,ISRAEL MOC,THAILAND NBTC,VIETNAM VNTA,CEC&DOE&NRCAN",PACKAGE TYPE,Package Type,RETAIL PACKAGE
lenovo,2025-10-22,https://openapi.lenovo.com/gb/en/product/singleModelPDP/get?groupCodes=400001&productNumber=len101i0124,https://www.lenovo.com/gb/en/p/laptops/ideapad/ideapad-2-in-1-series/lenovo-ideapad-5-2-in-1-gen-10-14-inch-amd/len101i0124,LEN101I0124,"IdeaPad 5 2-in-1 Gen 10 (14"" AMD)",IdeaPad,637.5,Y,750.0,Y,SAVE £112.5,,,,,Laptops,IdeaPad,IdeaPad 2-in-1 Series,"IdeaPad 5 2-in-1 Gen 10 (14"" AMD)",,,,https://p4-ofp.static.pub//fes/cms/2025/09/24/jq1ud5xv218uyawp3hpiau1uivmgvt022980.png,https://p3-ofp.static.pub//fes/cms/2025/09/24/bu4ildh39bu47vx1runs6zao7y9na3572875.png,https://p2-ofp.static.pub//fes/cms/2025/09/24/fvxkhuseccihd5ci5dak95c4brsee2132512.png,https://p4-ofp.static.pub//fes/cms/2025/09/24/8w2cgio6b24dnyibha4bgt7ml1jham554159.png,https://p2-ofp.static.pub//fes/cms/2025/09/24/6l3zuh832ykkh2o00usibteakd7i4v813090.png,\n \n \n 14″ ultra-portable multimode laptop with 360° hinge support\n \n \n\n\n\n \n \n AMD Ryzen™ AI 300 Series processors & Lenovo Digital Pen boost productivity\n \n \n \n \n Vibrant display & reduced eye strain feature for binge streaming & studies\n \n \n,,26,4.6,,,,,,,,PROCESSOR,Processor,UP TO AMD RYZEN AI 7 350 PROCESSOR,OPERATING SYSTEM,Operating System,UP TO WINDOWS 11 PRO,MEMORY,Memory,"UP TO 24GB LPDDR5X (6400MHZ), DUAL CHANNEL",STORAGE,Storage,UP TO 1TB M.2 PCIE GEN4 SSD TLC (2242),DISPLAY,Display,"UP TO 14 WUXGA (1920 X 1200) OLED, 16:10 ASPECT RATIO, 400NIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,2025-10-22,https://openapi.lenovo.com/gb/en/product/singleModelPDP/get?groupCodes=400001&productNumber=len103l0025,https://www.lenovo.com/gb/en/p/tablets/android-tablets/lenovo-tab-series/lenovo-tab/len103l0025,LEN103L0025,Lenovo Tab,Lenovo Tab Series,139.99,Y,,,,,,,,Tablets,Lenovo Tab Series,Lenovo Tab,,,,,https://p1-ofp.static.pub//fes/cms/2024/10/31/1xu04vm942mtits03g42r67s7n90e1201813.png,https://p2-ofp.static.pub//fes/cms/2024/10/29/unn3ugnotxzcl2h3nzhvqy8fv2utqw910908.png,https://p2-ofp.static.pub//fes/cms/2025/06/18/884gphiiosety6cbjks6xlv39075mw168508.png,https://p1-ofp.static.pub//fes/cms/2025/06/18/efvcbaew4hk8pl7t938a527aab6cre396582.png,https://p1-ofp.static.pub//fes/cms/2024/10/31/w4fip0aqhbxln1va0d04lb1v77wmb7762361.png,\n Effortless versatility for every lifestyle.\n\n\n \n \n Sophisticated metal design with ergonomic ease\n \n \n \n \n Immersive 10.1″ FHD display experience\n \n \n \n \n Smooth performance from Helio G85 processor & all-day battery life\n \n \n,,204,4.5,,,,,,,,PROCESSOR,Processor,"MEDIATEK HELIO G85, OCTA-CORE, 2 X A75 @ 2.0GHZ + 6 X A55 @ 1.8 GHZ",OPERATING SYSTEM,Operating System,ANDROID 14 (UPGRADABLE TO 15 AND 16),MEMORY,Memory,4GB,STORAGE,Storage,UP TO 128GB (EXPANDABLE WITH MICROSD CARD SLOT),DISPLAY,Display,"10.1 (1920 X 1200), 60HZ REFRESH RATE, UP TO 400 NITS, TOUCHSCREEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,2025-10-22,https://openapi.lenovo.com/gb/en/product/singleModelPDP/get?groupCodes=400001&productNumber=83cxcto1wwgb1,https://www.lenovo.com/gb/en/p/laptops/yoga/yoga-slim-series/yoga-slim-9i-gen-10-14-inch-intel/83cxcto1wwgb1,83CXCTO1WWGB1,Yoga Slim 9i Gen 10 (14″ Intel),Yoga,1620,Y,1800,Y,SAVE £180.0,Tidal Teal,,,,Laptops, Yoga,Yoga Slim Series,Yoga Slim 9i Gen 10 (14″ Intel),Yoga Slim 9i Gen 10 (14″ Intel),,,https://p2-ofp.static.pub//fes/cms/2024/11/21/h5f4z8hd0d985w99mhkt9302bsspiz629418.png,https://p2-ofp.static.pub//fes/cms/2024/11/21/9nyhi4ct63av6sqirgozf1a9w14e5a021608.png,https://p2-ofp.static.pub//fes/cms/2024/11/21/9r93fbsbh8h1o0w1bohizf4ffi96rb235739.png,https://p1-ofp.static.pub//fes/cms/2024/11/21/9xpi73ie9q0md9zpmwfe08wot12p72573968.png,https://p2-ofp.static.pub//fes/cms/2024/11/21/xss9gxpw7pveppfaex5uxgknj6xmbc823017.png,,,5,4.8,https://www.youtube.com/watch?v=VKORDCipkTs,,,,,,,PROCESSOR,Processor,INTEL CORE ULTRA 7 256V PROCESSOR (LPE-CORES UP TO 3.70 GHZ P-CORES UP TO 4.80 GHZ / 16 GB MOP),OPERATING SYSTEM,Operating System,WINDOWS 11 HOME 64,GRAPHIC CARD,Graphic Card,INTEGRATED GRAPHICS,MEMORY,Memory,16 GB LPDDR5X-8533MT/S (MEMORY ON PACKAGE),STORAGE,Storage,1 TB SSD M.2 2242 PCIE GEN4 TLC,DISPLAY,Display,"14' WQUXGA (3840 X 2400), OLED, GLARE, TOUCH, HDR 600 TRUE BLACK, 100%DCI-P3, 400 NITS, 120HZ, GLASS, CAMERA UNDER DISPLAY",WARRANTY,Warranty,1 YEAR COURIER OR CARRY-IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,2025-10-22,https://openapi.lenovo.com/gb/en/product/singleModelPDP/get?groupCodes=400001&productNumber=83lccto1wwgb4,https://www.lenovo.com/gb/en/p/laptops/yoga/yoga-2-in-1-series/yoga-9i-2-in-1-gen-10-aura-edition-14-inch-intel/83lccto1wwgb4,83LCCTO1WWGB4,Yoga 9i 2-in-1 Gen 10 Aura Edition (14″ Intel),Yoga,1712,Y,1900,Y,SAVE £188.0,Cosmic Blue,,,,Laptops, Yoga,Yoga 2-in-1 Series,Yoga 9i 2-in-1 Gen 10 Aura Edition (14″ Intel),Yoga 9i 2-in-1 Gen 10 Aura Edition (14″ Intel),,,https://p2-ofp.static.pub//fes/cms/2025/09/22/lwls8noou0r6ot8uvcn8hwpmyb4qhz292217.png,https://p4-ofp.static.pub//fes/cms/2025/09/22/0hxhurf75fauf93hr7n3ri1riut2ed301222.png,https://p1-ofp.static.pub//fes/cms/2025/09/22/ge7uq23w4vuo1uwff1xl2r03k3x7vk622086.png,https://p1-ofp.static.pub//fes/cms/2025/09/22/la4dqahb4fxair723emvwbk5k3tbqc631337.png,https://p3-ofp.static.pub//fes/cms/2025/09/22/ivdejbfe6ok7tzucfpshaeqrphzkjs693022.png,,,9,4.6,https://www.youtube.com/watch?v=NCycjFPneuE,,,,,,,PROCESSOR,Processor,INTEL CORE ULTRA 7 258V PROCESSOR (LPE-CORES UP TO 3.70 GHZ P-CORES UP TO 4.80 GHZ / 32 GB MOP),OPERATING SYSTEM,Operating System,WINDOWS 11 PRO 64,GRAPHIC CARD,Graphic Card,INTEGRATED GRAPHICS,MEMORY,Memory,32 GB LPDDR5X-8533MT/S (MEMORY ON PACKAGE),STORAGE,Storage,1 TB SSD M.2 2242 PCIE GEN4 TLC,DISPLAY,Display,"14' WQUXGA (3840 X 2400), OLED, GLARE, TOUCH, HDR 500 TRUE BLACK, 100%DCI-P3, 400 NITS, 60HZ, GLASS, LOW BLUE LIGHT",WARRANTY,Warranty,"1 YEAR PREMIUM CARE, 1 YEAR DEPOT OR CARRY-IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,2025-10-22,https://openapi.lenovo.com/gb/en/product/singleModelPDP/get?groupCodes=400001&productNumber=4xc1q25245,https://www.lenovo.com/gb/en/p/accessories-and-software/webcams-and-video/webcams-and-video_webcams/4xc1q25245,4XC1Q25245,Lenovo QHD Webcam,Lenovo,90,Y,,,,Black,,,,Accessories and Software,Webcams & Video,Webcams,Lenovo QHD Webcam,,,,https://p2-ofp.static.pub//fes/cms/2025/03/10/v54n2fcute6jhh5rup4or46bsbneti145162.png,https://p3-ofp.static.pub//fes/cms/2025/03/10/hkz4rr5uh7ys949lgjf880wty2pyqu695845.png,https://p4-ofp.static.pub//fes/cms/2025/03/10/u1eh2pbq60er927tdu4s52os4avec6352762.png,https://p3-ofp.static.pub//fes/cms/2025/03/10/m1bp4uktzxlet3tm9owetx4pjit5wf520924.png,https://p1-ofp.static.pub//fes/cms/2025/03/10/94kjtrzz673xyipduq4k8fls2d7bye950649.png,"The Lenovo QHD Webcam redefines webcam technology with 2K resolution, superior image quality, innovative design and Microsoft Teams certification, it seamlessly integrates into collaborative work environments.Advanced AI features like auto-framing, face AE/AF and AI noise reduction enhance communication and productivity. It's not just a webcam; it's a comprehensive solution revolutionising video conferencing with its advanced technology and functionality.",,3,5.0,https://www.youtube.com/watch?v=PVFgpju2yQ0,,,,,,,COLOR,Color,BLACK,WEIGHT,Weight,95 G,HARDWARE REQUIREMENTS,Hardware Requirements,USB 2.0 INTERFACE,WARRANTY TYPE,Warranty Type,CUSTOMER REPLACEABLE UNIT (CRU),BRAND,Brand,LENOVO,OS REQUIREMENTS,OS Requirements,WINDOWS 11,PACKED WEIGHT,Packed Weight,203 G,OTHER ELECTRICAL SPECIFICATIONS,Other Electrical Specifications,CONVERTER C TO A,AGENCY APPROVALS,Agency Approvals,"CE FOR EU/EFTA,FCC AND ICES FOR NORTH AMERICA,CB (62368 -1),KCC FOR SOUTH KOREA,BSMI FOR TW,VCCI FOR JAPAN,BIS FOR INDIA",PACKAGE TYPE,Package Type,BROWN BOX,PACKED DIMENSIONS (L X D X H),Packed Dimensions (L x D x H),110 MM X 110 MM X 70 MM,HEIGHT,Height,42 MM,LENGTH,Length,80 MM,DEPTH,Depth,45 MM,SPECIAL/ADDED FEATURES,Special/Added Features,UDCC/MEETING MODE,WARRANTY PERIOD,Warranty Period,THREE YEARS,MAXIMUM OPERATING TEMPERATURE,Maximum Operating Temperature,40 DEGREES CELSIUS (104 DEGREES FAHRENHEIT),MINIMUM OPERATING TEMPERATURE,Minimum Operating Temperature,5 DEGREES CELSIUS (23 DEGREES FAHRENHEIT),MAXIMUM RELATIVE HUMIDITY (%),Maximum Relative Humidity (%),90,MINIMUM RELATIVE HUMIDITY (%),Minimum Relative Humidity (%),0
lenovo,2025-10-22,https://openapi.lenovo.com/gb/en/product/singleModelPDP/get?groupCodes=400001&productNumber=66f9uac6uk,https://www.lenovo.com/gb/en/p/accessories-and-software/monitors/gaming/66f9uac6uk,66F9UAC6UK,"Lenovo Legion Y32p-30 UHD Pro 4K Gaming Monitor (31.5"")",Legion,799.99,Y,,,,,,,,Accessories and Software,Monitors,Gaming,"Lenovo Legion Y32p-30 UHD Pro 4K Gaming Monitor (31.5"")",,,,https://p1-ofp.static.pub//fes/cms/2024/09/04/zep1w7j7705y4cmu7ewsancgaffdd0551635.png,https://p1-ofp.static.pub//fes/cms/2024/09/04/n2yjqc3peg3m0t2vbgbccge3vedlj4810253.png,https://p3-ofp.static.pub//fes/cms/2024/09/04/5tz4kizhttakxua3iftekccbm5rdvx779061.png,https://p3-ofp.static.pub//fes/cms/2024/09/04/828lc1ql2afwbnw0j57ppkixfsn5nh366795.png,https://p1-ofp.static.pub//fes/cms/2024/05/10/rbzn42kjl86wnmmoofem6fs2tiekd4029670.png,"Step into the cosmic command center with the Legion Y32p-30, a 31.5-inch marvel that transcends the boundaries of gaming reality. The In-Plane Switching (IPS) panel, at an astronomical 3840x2160 resolution, unveils a cosmic battlefield where every pixel is a star. A rapid 0.2ms response time and a 144Hz refresh rate propel you into warp speed, ensuring that your gaming odyssey defies the laws of physics. This is not just a monitor; it's a cosmic commander's helm. Immerse yourself in the expansive 99% sRGB color gamut, where colors swirl like nebulae. Dual 5W speakers resonate with the cosmic symphony, making every victory a celestial celebration. Connect with the universe through 2x HDMI® 2.1, 1x DP 1.4, and 1x USB-C® 3.2 Gen 1. AMD FreeSync Premium guides your ship through seamless cosmic waves, while TÜV Low Blue Light certification shields your eyes from the cosmic brilliance. Command the cosmos with the Legion Y32p-30.",,27,4.3,"https://www.youtube.com/watch?v=EXod5zj75O0,o_IXNm39qgo",,,,,,,SCREEN SIZE,Screen Size,31.5,BRIGHTNESS,Brightness,"350 CD/ (TYPICAL), 400 CD/ (PEAK)",ASPECT RATIO,Aspect Ratio,16:9,CONTRAST RATIO,Contrast Ratio,1000:1,BACKLIGHT,Backlight,WLED,RESPONSE TIME,Response Time,"0.2 MS (MPRT), 2 MS (LEVEL 4), 3 MS (LEVEL 3), 4 MS (LEVEL 2), 5 MS (LEVEL 1), 7 MS (OFF)",PANEL TYPE,Panel Type,IN-PLANE SWITCHING,VIEWING ANGLE,Viewing Angle,178 / 178,STAND,Stand,"TILT ANGLE (-5 / 22), SWIVEL ANGLE (+30 / -30), LIFT RANGE (135 MM)",EU ENERGY RATING,EU Energy Rating,G,POWER REQUIREMENT,Power Requirement,"100 - 240 VAC, 50 - 60 HZ",BRAND,Brand,LEGION,INCLUDED ACCESSORY,Included Accessory,"DP CABLE, HDMI CABLE, USB-C CABLE, USB-A TO USB-B CABLE",COLOR CALIBRATION ACCURACY,Color Calibration Accuracy,AVG DELTA E < 2,COLOR COVERAGE,Color Coverage,"99% SRGB, 90% DCI-P3%, 112% SRGB (COLOUR AREA RATIO)",COLOR DEPTH,Color Depth,10 (8 + FRC),COLOR SUPPORT,Color Support,1.07 BILLION,DIMENSIONS WITHOUT PACKAGE,Dimensions without Package,298.4 MM X 598.8 MM X 715.1 MM / 11.75' X 23.58' X 28.15,EYE CARING,Eye Caring,YES,GAMING,Gaming,YES
lenovo,2025-10-22,https://openapi.lenovo.com/gb/en/product/singleModelPDP/get?groupCodes=400001&productNumber=pb200016gb,https://www.lenovo.com/gb/en/p/phones/moto/motorola-razr-series/pmipmgu37my/pb200016gb,PB200016GB,motorola razr 50 - Beach Sand,moto,400,Y,800,Y,SAVE £400.0,Beach Sand,,,,Phones,moto,motorola-razr-series,motorola razr 50,motorola razr 50 - Beach Sand,,,https://p1-ofp.static.pub//fes/cms/2024/06/21/u4ebaa1m7her3rqu0kzlrqs3xg5uq6476730.png,https://p4-ofp.static.pub//fes/cms/2025/01/21/leooz8u65v7zn3om14nmpvxm2uh4a7506298.png,https:https://p1-ofp.static.pub//medias/26557493839_beachsand_202406240429591719219924188.png,https://p4-ofp.static.pub//fes/cms/2025/01/21/8me8e93vpk68hsq6jssw2x3v5vdbwl819582.png,https://p2-ofp.static.pub//fes/cms/2025/01/21/5tpr8ltqjzmq33jafrnxce8ztoaypn992475.png,,,12,4.5,,,,,,,,PROCESSOR,Processor,MEDIATEK DIMENSITY 7300X PROCESSOR (2.50 GHZ ),OPERATING SYSTEM,Operating System,ANDROID 14,GRAPHIC CARD,Graphic Card,ARM MALI G615 MC2 GPU,MEMORY,Memory,8 GB ---- (SOLDERED),STORAGE,Storage,256 GB,DISPLAY,Display,"6.9' FHD+ (2640 X 1080), POLED, 3000 NITS3.63' (1066 X 1056), POLED, 1700 NITS",WARRANTY,Warranty,2 YEAR MAIL-IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,2025-10-22,https://openapi.lenovo.com/gb/en/product/singleModelPDP/get?groupCodes=400001&productNumber=83ktcto1wwgb1,https://www.lenovo.com/gb/en/p/laptops/ideapad/ideapad-2-in-1-series/lenovo-ideapad-5-2-in-1-gen-10-14-inch-amd/83ktcto1wwgb1,83KTCTO1WWGB1,"IdeaPad 5 2-in-1 Gen 10 (14"" AMD)",IdeaPad,637.5,Y,750,Y,SAVE £112.5,Cosmic Blue,,,,Laptops,IdeaPad,IdeaPad 2-in-1 Series,IdeaPad 5 2-in-1 Gen 10 (14″ AMD),"IdeaPad 5 2-in-1 Gen 10 (14"" AMD)",,,https://p4-ofp.static.pub//fes/cms/2025/09/24/jq1ud5xv218uyawp3hpiau1uivmgvt022980.png,https://p3-ofp.static.pub//fes/cms/2025/09/24/bu4ildh39bu47vx1runs6zao7y9na3572875.png,https://p2-ofp.static.pub//fes/cms/2025/09/24/fvxkhuseccihd5ci5dak95c4brsee2132512.png,https://p4-ofp.static.pub//fes/cms/2025/09/24/8w2cgio6b24dnyibha4bgt7ml1jham554159.png,https://p2-ofp.static.pub//fes/cms/2025/09/24/6l3zuh832ykkh2o00usibteakd7i4v813090.png,,,26,4.6,,,,,,,,PROCESSOR,Processor,AMD RYZEN AI 5 340 PROCESSOR (2.00 GHZ UP TO 4.80 GHZ),OPERATING SYSTEM,Operating System,WINDOWS 11 HOME 64,GRAPHIC CARD,Graphic Card,INTEGRATED GRAPHICS,MEMORY,Memory,16 GB LPDDR5X-7500MT/S (SOLDERED),STORAGE,Storage,256 GB SSD M.2 2242 PCIE GEN4 TLC,DISPLAY,Display,"14' WUXGA (1920 X 1200), OLED, GLARE, TOUCH, HDR 500 TRUE BLACK, 100%DCI-P3, 400 NITS, 60HZ, GLASS",WARRANTY,Warranty,1 YEAR COURIER OR CARRY-IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
