source,date,apiURL,url,sku,name,brand,price,previousPrice,onSale,saleText,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
xiaomi,2025-09-27,https://ams-go.buy.mi.com/uk/v2/item/productdetail?from=pc&tag=redmi-pad-2-pro-cover,https://www.mi.com/uk/product/redmi-pad-2-pro-cover/buy/?gid=4223712320,4223712320,REDMI Pad 2 Pro Cover Gray,xiaomi,39,,,,Gray,,,,Mobile,Tablets,Tablets Accessories,,,,,https://i05.appmifile.com/700_item_uk/17/09/2025/64315e142e4ab3bd75043e5c6448bcc8.png,//i05.appmifile.com/441_item_uk/17/09/2025/62b4de03ecbfa3100c61f02c8e442c10.png,,,,REDMI Pad 2 Pro Cover Specs: | Xiaomi United Kingdom,,,,,,,,,£39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xiaomi,2025-09-27,https://ams-go.buy.mi.com/uk/v2/item/productdetail?from=pc&tag=redmi-pad-2-pro-keyboard,https://www.mi.com/uk/product/redmi-pad-2-pro-keyboard/buy/?gid=4223712318,4223712318,REDMI Pad 2 Pro Keyboard,xiaomi,99,,,,,,,,Mobile,Tablets,Tablets Accessories,,,,,https://i05.appmifile.com/118_item_uk/17/09/2025/7fc8867819b7fcdbae587ba2a8f8d2a2.png,//i05.appmifile.com/680_item_uk/17/09/2025/11866d68b54670b915fa19effe4743a1.png,,,,REDMI Pad 2 Pro Keyboard Specs: | Xiaomi UK,,,,,,,,,£99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xiaomi,2025-09-27,https://ams-go.buy.mi.com/uk/v2/item/productdetail?from=pc&tag=redmi-pad-2-pro,https://www.mi.com/uk/product/redmi-pad-2-pro/buy/?gid=4223712312,4223712312,REDMI Pad 2 Pro Lavender Purple 8 GB + 256 GB,xiaomi,249,299,Y,save £50,Lavender Purple,8 GB + 256 GB,,,Mobile,Tablets,Tablet,,,,,https://i05.appmifile.com/14_item_uk/16/09/2025/ebae82d5a60b2922791f230ef9faab93.png,https://i05.appmifile.com/346_item_uk/16/09/2025/d8c897da51c37960c228b94edb33ff41.png,https://i05.appmifile.com/422_item_uk/16/09/2025/db0aab6e90d36d9ade485c5b4caaaefe.png,https://i05.appmifile.com/260_item_uk/16/09/2025/4ddefc5eb409b8ffc8a8a59bfada14e0.png,https://i05.appmifile.com/806_item_uk/16/09/2025/82df054cf9662be33ebd2bc539b9a327.png,"REDMI Pad 2 Pro: 12.1"" 2.5K crystal-clear display, Smooth visuals with up to 120Hz refresh rate, Massive 12000mAh (typ) battery",,,,,,,Y,,£249,249,specification,"3. Supports up to 27W wired reverse charging, data tested by Xiaomi Internal Labs. Actual performance may vary depending on battery conditions and other factors. When using this feature, please ensure your pad has sufficient battery and verify the compatibility of the receiving device.",Snapdragon® 7s Gen 4 Mobile Platform,specification,"No power adapter is included in the box. Recommend to use 33W power adapters that support PD charging, or Xiaomi official power adapters of 33W or above.",Elegant design,specification,Up to,2. Refresh rate can be adjusted to up to 120Hz for supported apps and games. Please refer to the actual experience.,specification,Learn more,Battery & charging,specification,Photo | Video | Document | Teleprompter | HDR,"8MP 1/4"", f/2.28, 1.12μm",specification,4nm manufacturing process,Lavender Purple,specification,Brightness: 500 nits (typ)；600 nits (HBM),2. Refresh rate can be adjusted to up to 120Hz for supported apps and games. Please refer to the actual experience.,specification,Bluetooth 5.4,"Size: 12.1"" 2.5K crystal-clear display",specification,IPv6,"REDMI Pad 2 Pro delivers all-day eye comfort, reducing visual fatigue and eye strain.",specification,"6. 300% volume compared to the same model at 100% volume. This feature only applies to media sounds, ringtones, and notification sounds, not alarms. It only works in speaker mode, not with headphones. Volume data is sourced from Xiaomi Internal Labs, please refer to your actual experience.",Height: 279.80mm,specification,Snapdragon® 7s Gen 4 Mobile Platform,1. REDMI Pad 2 Pro screen size is about 12.1 inches when measured diagonally. Viewable area is smaller due to the curved corners. Measurements between individual products may vary.,specification,Smooth connectivity,Touch sampling rate: Up to 360Hz 240Hz (with pen),specification,Processor,Front camera:,specification,Shared clipboard,83.05-day,specification,TÜV Rheinland Low Blue Light (Hardware Solution) Certified TÜV Rheinland Flicker Free Certified TÜV Rheinland Circadian Friendly Certified,"Seamless call handling: Incoming phone calls can be directly answered on the tablet, with voice calls transitioning seamlessly between devices.",specification,Snapdragon® 7s Gen 4 Mobile Platform,Home screen+,specification,Xiaomi Interconnectivity,Network sync,specification,of non-stop music streaming,Smooth cross-screen collaboration between the pad and your phone allows for seamless information flow.,specification,"3. Supports up to 27W wired reverse charging, data tested by Xiaomi Internal Labs. Actual performance may vary depending on battery conditions and other factors. When using this feature, please ensure your pad has sufficient battery and verify the compatibility of the receiving device.","11. The unibody metal design refers specifically to the back cover of the product and does not include the camera deco, buttons, card slots, or other components.",,,
xiaomi,2025-09-27,https://ams-go.buy.mi.com/uk/v2/item/productdetail?from=pc&tag=redmi-pad-2-pro,https://www.mi.com/uk/product/redmi-pad-2-pro/buy/?gid=4223712313,4223712313,REDMI Pad 2 Pro Silver 6 GB + 128 GB,xiaomi,219,269,Y,save £50,Silver,6 GB + 128 GB,,,Mobile,Tablets,Tablet,,,,,https://i05.appmifile.com/387_item_uk/16/09/2025/28acbfc896dca13bb280c8181006558c.png,https://i05.appmifile.com/838_item_uk/16/09/2025/a4421f80735fae133d1dddae104ec85e.png,https://i05.appmifile.com/667_item_uk/16/09/2025/7128e4879792ce23581960bbcfe308b7.png,https://i05.appmifile.com/986_item_uk/16/09/2025/960cb7b6a6faef27272e339cc6b19d96.png,https://i05.appmifile.com/684_item_uk/16/09/2025/6fd4d7a0e5d24fc84b92caeaf4c0e785.png,"REDMI Pad 2 Pro: 12.1"" 2.5K crystal-clear display, Smooth visuals with up to 120Hz refresh rate, Massive 12000mAh (typ) battery",,,,,,,Y,,£219,219,specification,"3. Supports up to 27W wired reverse charging, data tested by Xiaomi Internal Labs. Actual performance may vary depending on battery conditions and other factors. When using this feature, please ensure your pad has sufficient battery and verify the compatibility of the receiving device.",Snapdragon® 7s Gen 4 Mobile Platform,specification,"No power adapter is included in the box. Recommend to use 33W power adapters that support PD charging, or Xiaomi official power adapters of 33W or above.",Elegant design,specification,Up to,2. Refresh rate can be adjusted to up to 120Hz for supported apps and games. Please refer to the actual experience.,specification,Learn more,Battery & charging,specification,Photo | Video | Document | Teleprompter | HDR,"8MP 1/4"", f/2.28, 1.12μm",specification,4nm manufacturing process,Lavender Purple,specification,Brightness: 500 nits (typ)；600 nits (HBM),2. Refresh rate can be adjusted to up to 120Hz for supported apps and games. Please refer to the actual experience.,specification,Bluetooth 5.4,"Size: 12.1"" 2.5K crystal-clear display",specification,IPv6,"REDMI Pad 2 Pro delivers all-day eye comfort, reducing visual fatigue and eye strain.",specification,"6. 300% volume compared to the same model at 100% volume. This feature only applies to media sounds, ringtones, and notification sounds, not alarms. It only works in speaker mode, not with headphones. Volume data is sourced from Xiaomi Internal Labs, please refer to your actual experience.",Height: 279.80mm,specification,Snapdragon® 7s Gen 4 Mobile Platform,1. REDMI Pad 2 Pro screen size is about 12.1 inches when measured diagonally. Viewable area is smaller due to the curved corners. Measurements between individual products may vary.,specification,Smooth connectivity,Touch sampling rate: Up to 360Hz 240Hz (with pen),specification,Processor,Front camera:,specification,Shared clipboard,83.05-day,specification,TÜV Rheinland Low Blue Light (Hardware Solution) Certified TÜV Rheinland Flicker Free Certified TÜV Rheinland Circadian Friendly Certified,"Seamless call handling: Incoming phone calls can be directly answered on the tablet, with voice calls transitioning seamlessly between devices.",specification,Snapdragon® 7s Gen 4 Mobile Platform,Home screen+,specification,Xiaomi Interconnectivity,Network sync,specification,of non-stop music streaming,Smooth cross-screen collaboration between the pad and your phone allows for seamless information flow.,specification,"3. Supports up to 27W wired reverse charging, data tested by Xiaomi Internal Labs. Actual performance may vary depending on battery conditions and other factors. When using this feature, please ensure your pad has sufficient battery and verify the compatibility of the receiving device.","11. The unibody metal design refers specifically to the back cover of the product and does not include the camera deco, buttons, card slots, or other components.",,,
xiaomi,2025-09-27,https://ams-go.buy.mi.com/uk/v2/item/productdetail?from=pc&tag=redmi-pad-2-pro,https://www.mi.com/uk/product/redmi-pad-2-pro/buy/?gid=4223712314,4223712314,REDMI Pad 2 Pro Silver 8 GB + 256 GB,xiaomi,249,299,Y,save £50,Silver,8 GB + 256 GB,,,Mobile,Tablets,Tablet,,,,,https://i05.appmifile.com/387_item_uk/16/09/2025/28acbfc896dca13bb280c8181006558c.png,https://i05.appmifile.com/838_item_uk/16/09/2025/a4421f80735fae133d1dddae104ec85e.png,https://i05.appmifile.com/667_item_uk/16/09/2025/7128e4879792ce23581960bbcfe308b7.png,https://i05.appmifile.com/986_item_uk/16/09/2025/960cb7b6a6faef27272e339cc6b19d96.png,https://i05.appmifile.com/684_item_uk/16/09/2025/6fd4d7a0e5d24fc84b92caeaf4c0e785.png,"REDMI Pad 2 Pro: 12.1"" 2.5K crystal-clear display, Smooth visuals with up to 120Hz refresh rate, Massive 12000mAh (typ) battery",,,,,,,Y,,£249,249,specification,"3. Supports up to 27W wired reverse charging, data tested by Xiaomi Internal Labs. Actual performance may vary depending on battery conditions and other factors. When using this feature, please ensure your pad has sufficient battery and verify the compatibility of the receiving device.",Snapdragon® 7s Gen 4 Mobile Platform,specification,"No power adapter is included in the box. Recommend to use 33W power adapters that support PD charging, or Xiaomi official power adapters of 33W or above.",Elegant design,specification,Up to,2. Refresh rate can be adjusted to up to 120Hz for supported apps and games. Please refer to the actual experience.,specification,Learn more,Battery & charging,specification,Photo | Video | Document | Teleprompter | HDR,"8MP 1/4"", f/2.28, 1.12μm",specification,4nm manufacturing process,Lavender Purple,specification,Brightness: 500 nits (typ)；600 nits (HBM),2. Refresh rate can be adjusted to up to 120Hz for supported apps and games. Please refer to the actual experience.,specification,Bluetooth 5.4,"Size: 12.1"" 2.5K crystal-clear display",specification,IPv6,"REDMI Pad 2 Pro delivers all-day eye comfort, reducing visual fatigue and eye strain.",specification,"6. 300% volume compared to the same model at 100% volume. This feature only applies to media sounds, ringtones, and notification sounds, not alarms. It only works in speaker mode, not with headphones. Volume data is sourced from Xiaomi Internal Labs, please refer to your actual experience.",Height: 279.80mm,specification,Snapdragon® 7s Gen 4 Mobile Platform,1. REDMI Pad 2 Pro screen size is about 12.1 inches when measured diagonally. Viewable area is smaller due to the curved corners. Measurements between individual products may vary.,specification,Smooth connectivity,Touch sampling rate: Up to 360Hz 240Hz (with pen),specification,Processor,Front camera:,specification,Shared clipboard,83.05-day,specification,TÜV Rheinland Low Blue Light (Hardware Solution) Certified TÜV Rheinland Flicker Free Certified TÜV Rheinland Circadian Friendly Certified,"Seamless call handling: Incoming phone calls can be directly answered on the tablet, with voice calls transitioning seamlessly between devices.",specification,Snapdragon® 7s Gen 4 Mobile Platform,Home screen+,specification,Xiaomi Interconnectivity,Network sync,specification,of non-stop music streaming,Smooth cross-screen collaboration between the pad and your phone allows for seamless information flow.,specification,"3. Supports up to 27W wired reverse charging, data tested by Xiaomi Internal Labs. Actual performance may vary depending on battery conditions and other factors. When using this feature, please ensure your pad has sufficient battery and verify the compatibility of the receiving device.","11. The unibody metal design refers specifically to the back cover of the product and does not include the camera deco, buttons, card slots, or other components.",,,
xiaomi,2025-09-27,https://ams-go.buy.mi.com/uk/v2/item/productdetail?from=pc&tag=redmi-pad-2-pro,https://www.mi.com/uk/product/redmi-pad-2-pro/buy/?gid=4223712309,4223712309,REDMI Pad 2 Pro Graphite Gray 6 GB + 128 GB,xiaomi,219,269,Y,save £50,Graphite Gray,6 GB + 128 GB,,,Mobile,Tablets,Tablet,,,,,https://i05.appmifile.com/735_item_uk/16/09/2025/85749ddac3715a476075ac8fb826e77f.png,https://i05.appmifile.com/162_item_uk/16/09/2025/4d1b102e6a26a063f4dcb9c38b508b04.png,https://i05.appmifile.com/296_item_uk/16/09/2025/8d064631b5548dd9b145234ac0deabce.png,https://i05.appmifile.com/127_item_uk/16/09/2025/f2936e091de91099bf8800cec3995447.png,https://i05.appmifile.com/781_item_uk/16/09/2025/5fcc92923f8104d288ce4cdbd37dc4e2.png,"REDMI Pad 2 Pro: 12.1"" 2.5K crystal-clear display, Smooth visuals with up to 120Hz refresh rate, Massive 12000mAh (typ) battery",,,,,,,Y,,£219,219,specification,"3. Supports up to 27W wired reverse charging, data tested by Xiaomi Internal Labs. Actual performance may vary depending on battery conditions and other factors. When using this feature, please ensure your pad has sufficient battery and verify the compatibility of the receiving device.",Snapdragon® 7s Gen 4 Mobile Platform,specification,"No power adapter is included in the box. Recommend to use 33W power adapters that support PD charging, or Xiaomi official power adapters of 33W or above.",Elegant design,specification,Up to,2. Refresh rate can be adjusted to up to 120Hz for supported apps and games. Please refer to the actual experience.,specification,Learn more,Battery & charging,specification,Photo | Video | Document | Teleprompter | HDR,"8MP 1/4"", f/2.28, 1.12μm",specification,4nm manufacturing process,Lavender Purple,specification,Brightness: 500 nits (typ)；600 nits (HBM),2. Refresh rate can be adjusted to up to 120Hz for supported apps and games. Please refer to the actual experience.,specification,Bluetooth 5.4,"Size: 12.1"" 2.5K crystal-clear display",specification,IPv6,"REDMI Pad 2 Pro delivers all-day eye comfort, reducing visual fatigue and eye strain.",specification,"6. 300% volume compared to the same model at 100% volume. This feature only applies to media sounds, ringtones, and notification sounds, not alarms. It only works in speaker mode, not with headphones. Volume data is sourced from Xiaomi Internal Labs, please refer to your actual experience.",Height: 279.80mm,specification,Snapdragon® 7s Gen 4 Mobile Platform,1. REDMI Pad 2 Pro screen size is about 12.1 inches when measured diagonally. Viewable area is smaller due to the curved corners. Measurements between individual products may vary.,specification,Smooth connectivity,Touch sampling rate: Up to 360Hz 240Hz (with pen),specification,Processor,Front camera:,specification,Shared clipboard,83.05-day,specification,TÜV Rheinland Low Blue Light (Hardware Solution) Certified TÜV Rheinland Flicker Free Certified TÜV Rheinland Circadian Friendly Certified,"Seamless call handling: Incoming phone calls can be directly answered on the tablet, with voice calls transitioning seamlessly between devices.",specification,Snapdragon® 7s Gen 4 Mobile Platform,Home screen+,specification,Xiaomi Interconnectivity,Network sync,specification,of non-stop music streaming,Smooth cross-screen collaboration between the pad and your phone allows for seamless information flow.,specification,"3. Supports up to 27W wired reverse charging, data tested by Xiaomi Internal Labs. Actual performance may vary depending on battery conditions and other factors. When using this feature, please ensure your pad has sufficient battery and verify the compatibility of the receiving device.","11. The unibody metal design refers specifically to the back cover of the product and does not include the camera deco, buttons, card slots, or other components.",,,
xiaomi,2025-09-27,https://ams-go.buy.mi.com/uk/v2/item/productdetail?from=pc&tag=redmi-pad-2-pro,https://www.mi.com/uk/product/redmi-pad-2-pro/buy/?gid=4223712310,4223712310,REDMI Pad 2 Pro Graphite Gray 8 GB + 256 GB,xiaomi,249,299,Y,save £50,Graphite Gray,8 GB + 256 GB,,,Mobile,Tablets,Tablet,,,,,https://i05.appmifile.com/735_item_uk/16/09/2025/85749ddac3715a476075ac8fb826e77f.png,https://i05.appmifile.com/162_item_uk/16/09/2025/4d1b102e6a26a063f4dcb9c38b508b04.png,https://i05.appmifile.com/296_item_uk/16/09/2025/8d064631b5548dd9b145234ac0deabce.png,https://i05.appmifile.com/127_item_uk/16/09/2025/f2936e091de91099bf8800cec3995447.png,https://i05.appmifile.com/781_item_uk/16/09/2025/5fcc92923f8104d288ce4cdbd37dc4e2.png,"REDMI Pad 2 Pro: 12.1"" 2.5K crystal-clear display, Smooth visuals with up to 120Hz refresh rate, Massive 12000mAh (typ) battery",,,,,,,Y,,£249,249,specification,"3. Supports up to 27W wired reverse charging, data tested by Xiaomi Internal Labs. Actual performance may vary depending on battery conditions and other factors. When using this feature, please ensure your pad has sufficient battery and verify the compatibility of the receiving device.",Snapdragon® 7s Gen 4 Mobile Platform,specification,"No power adapter is included in the box. Recommend to use 33W power adapters that support PD charging, or Xiaomi official power adapters of 33W or above.",Elegant design,specification,Up to,2. Refresh rate can be adjusted to up to 120Hz for supported apps and games. Please refer to the actual experience.,specification,Learn more,Battery & charging,specification,Photo | Video | Document | Teleprompter | HDR,"8MP 1/4"", f/2.28, 1.12μm",specification,4nm manufacturing process,Lavender Purple,specification,Brightness: 500 nits (typ)；600 nits (HBM),2. Refresh rate can be adjusted to up to 120Hz for supported apps and games. Please refer to the actual experience.,specification,Bluetooth 5.4,"Size: 12.1"" 2.5K crystal-clear display",specification,IPv6,"REDMI Pad 2 Pro delivers all-day eye comfort, reducing visual fatigue and eye strain.",specification,"6. 300% volume compared to the same model at 100% volume. This feature only applies to media sounds, ringtones, and notification sounds, not alarms. It only works in speaker mode, not with headphones. Volume data is sourced from Xiaomi Internal Labs, please refer to your actual experience.",Height: 279.80mm,specification,Snapdragon® 7s Gen 4 Mobile Platform,1. REDMI Pad 2 Pro screen size is about 12.1 inches when measured diagonally. Viewable area is smaller due to the curved corners. Measurements between individual products may vary.,specification,Smooth connectivity,Touch sampling rate: Up to 360Hz 240Hz (with pen),specification,Processor,Front camera:,specification,Shared clipboard,83.05-day,specification,TÜV Rheinland Low Blue Light (Hardware Solution) Certified TÜV Rheinland Flicker Free Certified TÜV Rheinland Circadian Friendly Certified,"Seamless call handling: Incoming phone calls can be directly answered on the tablet, with voice calls transitioning seamlessly between devices.",specification,Snapdragon® 7s Gen 4 Mobile Platform,Home screen+,specification,Xiaomi Interconnectivity,Network sync,specification,of non-stop music streaming,Smooth cross-screen collaboration between the pad and your phone allows for seamless information flow.,specification,"3. Supports up to 27W wired reverse charging, data tested by Xiaomi Internal Labs. Actual performance may vary depending on battery conditions and other factors. When using this feature, please ensure your pad has sufficient battery and verify the compatibility of the receiving device.","11. The unibody metal design refers specifically to the back cover of the product and does not include the camera deco, buttons, card slots, or other components.",,,
xiaomi,2025-09-27,https://ams-go.buy.mi.com/uk/v2/item/productdetail?from=pc&tag=redmi-pad-2-pro,https://www.mi.com/uk/product/redmi-pad-2-pro/buy/?gid=4223712311,4223712311,REDMI Pad 2 Pro Lavender Purple 6 GB + 128 GB,xiaomi,219,269,Y,save £50,Lavender Purple,6 GB + 128 GB,,,Mobile,Tablets,Tablet,,,,,https://i05.appmifile.com/14_item_uk/16/09/2025/ebae82d5a60b2922791f230ef9faab93.png,https://i05.appmifile.com/346_item_uk/16/09/2025/d8c897da51c37960c228b94edb33ff41.png,https://i05.appmifile.com/422_item_uk/16/09/2025/db0aab6e90d36d9ade485c5b4caaaefe.png,https://i05.appmifile.com/260_item_uk/16/09/2025/4ddefc5eb409b8ffc8a8a59bfada14e0.png,https://i05.appmifile.com/806_item_uk/16/09/2025/82df054cf9662be33ebd2bc539b9a327.png,"REDMI Pad 2 Pro: 12.1"" 2.5K crystal-clear display, Smooth visuals with up to 120Hz refresh rate, Massive 12000mAh (typ) battery",,,,,,,Y,,£219,219,specification,"3. Supports up to 27W wired reverse charging, data tested by Xiaomi Internal Labs. Actual performance may vary depending on battery conditions and other factors. When using this feature, please ensure your pad has sufficient battery and verify the compatibility of the receiving device.",Snapdragon® 7s Gen 4 Mobile Platform,specification,"No power adapter is included in the box. Recommend to use 33W power adapters that support PD charging, or Xiaomi official power adapters of 33W or above.",Elegant design,specification,Up to,2. Refresh rate can be adjusted to up to 120Hz for supported apps and games. Please refer to the actual experience.,specification,Learn more,Battery & charging,specification,Photo | Video | Document | Teleprompter | HDR,"8MP 1/4"", f/2.28, 1.12μm",specification,4nm manufacturing process,Lavender Purple,specification,Brightness: 500 nits (typ)；600 nits (HBM),2. Refresh rate can be adjusted to up to 120Hz for supported apps and games. Please refer to the actual experience.,specification,Bluetooth 5.4,"Size: 12.1"" 2.5K crystal-clear display",specification,IPv6,"REDMI Pad 2 Pro delivers all-day eye comfort, reducing visual fatigue and eye strain.",specification,"6. 300% volume compared to the same model at 100% volume. This feature only applies to media sounds, ringtones, and notification sounds, not alarms. It only works in speaker mode, not with headphones. Volume data is sourced from Xiaomi Internal Labs, please refer to your actual experience.",Height: 279.80mm,specification,Snapdragon® 7s Gen 4 Mobile Platform,1. REDMI Pad 2 Pro screen size is about 12.1 inches when measured diagonally. Viewable area is smaller due to the curved corners. Measurements between individual products may vary.,specification,Smooth connectivity,Touch sampling rate: Up to 360Hz 240Hz (with pen),specification,Processor,Front camera:,specification,Shared clipboard,83.05-day,specification,TÜV Rheinland Low Blue Light (Hardware Solution) Certified TÜV Rheinland Flicker Free Certified TÜV Rheinland Circadian Friendly Certified,"Seamless call handling: Incoming phone calls can be directly answered on the tablet, with voice calls transitioning seamlessly between devices.",specification,Snapdragon® 7s Gen 4 Mobile Platform,Home screen+,specification,Xiaomi Interconnectivity,Network sync,specification,of non-stop music streaming,Smooth cross-screen collaboration between the pad and your phone allows for seamless information flow.,specification,"3. Supports up to 27W wired reverse charging, data tested by Xiaomi Internal Labs. Actual performance may vary depending on battery conditions and other factors. When using this feature, please ensure your pad has sufficient battery and verify the compatibility of the receiving device.","11. The unibody metal design refers specifically to the back cover of the product and does not include the camera deco, buttons, card slots, or other components.",,,
xiaomi,2025-09-27,https://ams-go.buy.mi.com/uk/v2/item/productdetail?from=pc&tag=xiaomi-smart-camera-c701,https://www.mi.com/uk/product/xiaomi-smart-camera-c701/buy/?gid=4223712294,4223712294,Xiaomi Smart Camera C701,xiaomi,49.99,,,,,,,,Smart Home,Home Security,Security Cameras,,,,,https://i05.appmifile.com/213_item_uk/19/09/2025/0fcd97980804386878c207a4a0566c12.png,https://i05.appmifile.com/996_item_uk/19/09/2025/83190c1ef5cd315139b607382efacd31.png,https://i05.appmifile.com/197_item_uk/19/09/2025/2e03aa1683868ca6a910d8ecbd96089e.png,https://i05.appmifile.com/499_item_uk/19/09/2025/29a37a539545e5bfe5a1145e2f699f8f.png,https://i05.appmifile.com/23_item_uk/19/09/2025/5a74b56d7570cecc52de21abd8ee7ec4.png,"Explore Xiaomi Smart Camera C701 specs – 4K Ultra HD, H.265 codec, Wi-Fi 6, microSD storage and Android/iOS compatibility.",,,,,,,,,£49.99,49.99,specification,10. Two-way voice calls can be initiated via the Xiaomi Home app. You can't call directly from the camera.,Video codec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xiaomi,2025-09-27,https://ams-go.buy.mi.com/uk/v2/item/productdetail?from=pc&tag=xiaomi-robot-vacuum-h40,https://www.mi.com/uk/product/xiaomi-robot-vacuum-h40/buy/?gid=4223712289,4223712289,Xiaomi Robot Vacuum H40 White,xiaomi,209.99,,,,White,,,,Smart Home,Vacuum Cleaners,Robot Vacuums,,,,,https://i05.appmifile.com/577_item_uk/16/09/2025/68c8ca97be045609bf5f0e5ebdae4846.png,https://i05.appmifile.com/973_item_uk/16/09/2025/bc537184b3fd71fc91e4416bc2c8a99a.png,https://i05.appmifile.com/180_item_uk/16/09/2025/6ac4d8a0524668ade21e3927188ebe27.png,https://i05.appmifile.com/637_item_uk/16/09/2025/fdb8af167aeb8ccc5ba086c161bcf7c5.png,https://i05.appmifile.com/946_item_uk/16/09/2025/7704bf719c89a0c6dc8e8129fedf4f5c.png,"Xiaomi Robot Vacuum H40: 10000Pa powerful suction fan blower, Hurricane-like vacuum, Multidimensional anti-tangle technology",,,,,,,,,£209.99,209.99,specification,V-shaped design,The anti-tangle side brush is not suitable for carpet cleaning. It should be replaced by the side brush to meet carpet cleaning needs.,specification,Automatic step detection prevents the robot vacuum from falls,Silent mode,specification,Charging & mop-cleaning dock x1,"Equipped with a 210mL water tank and three water flow levels that can be set via the Xiaomi Home app, the robot vacuum delivers an even water flow, making it ideal for various floors and stains, offering smarter and more efficient cleaning.",specification,3.67kg,4L dust bag,specification,Smart docking and fewer navigation errors,User manual x1,specification,LDS smart navigation system,Dock dimensions,specification,Restricted areas & virtual walls,"""Alexa, turn off the robot vacuum.""",specification,Water tank x1 (not installed),Quick and accurate mapping,specification,70W,OV51,specification,360° house-wide scanning and mapping,A Bluetooth gateway is required to link smart devices and enable functions such as automatic cleaning when you're out. Network devices and Bluetooth gateways need to be purchased separately.,specification,210mL water tank: Data tested by the manufacturer. Water tank capacity was measured with a measuring cup to be ≥210mL. Actual results may vary due to differences in usage conditions.,Product model,specification,"Handle dust, paper scraps, pet food and cereal more easily with powerful suction. Choose between four power modes according to your needs.",Rated voltage,specification,Charging voltage,Shortcuts,specification,340 x 340 x 97mm,4L large-capacity dust bag,specification,Mop pad x1 (not installed),Quick start guide x1,specification,Highly efficient anti-tangle dust and hair removal,"Supports targeted cleaning around furniture. Set zones, such as the dinner table or sofa, in Xiaomi Home app to promptly clean food scraps, scattered cat litter, spilled dog food and more.",specification,Multidimensional anti-tangle technology,3 levels for smart water output control,specification,Cleaning around cabinets,See specs,specification,Mop the house for thorough and precise dirt removal,Able to handle door thresholds up to 20mm,,,
