source,date,apiURL,url,sku,name,brand,stock,advance,paymentAmount,phoneContractDuration,sim_price,simContractname,simContractDuration,phoneContractPrice,isPhoneContractAvailableWOsim,phoneContractSimPackage,handsetOnlyCostCash,handsetOnlyContract,previousPrice,onSale,saleText,plan_type,sim_data,simOfferData,sim1YearIncrease,sim2YearIncrease,sim3YearIncrease,simDesc,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
EE,2025-11-09,https://ee.co.uk/graphql?operationName=SimBundleQuery&variables=%7B%22bundleSeoId%22%3A+%22pay-as-you-go-sim-only%22%2C+%22simSeoId%22%3A+%22mulit-sim-payg%22%7D&query=query+SimBundleQuery%28%24bundleSeoId%3A+String%21%2C+%24simSeoId%3A+String%21%29+%7B+simBundle%28simBundleInput%3A+%7B+bundleSeoId%3A+%24bundleSeoId%2C+simSeoId%3A+%24simSeoId+%7D%29+%7B+productPlanCombinations+%7B+plan+%7B+code+name+price+%7B+wasPayTodayPrice+payTodayPrice+futurePayMonthlyPrice+subscriptionTermInMonths+futurePrices+%7B+price+appliedDate+isTloApplied+%7D+%7D+planFamily+%7B+title+description+features+%7B+name+richName+%7D+%7D+entitlements+%7B+name+quantity+unit+%7D+labels+%7B+type+text+...+on+PromotionLabel+%7B+title+subTitle+isWide+position+endDateTime+%7D+%7D+%7D+%7D+%7D+%7D,https://ee.co.uk/mobile/pay-as-you-go-sim-only,Y25KIDTTD,Guided Pay as you go plan £9,EE,,,,,9.0,Guided Pay as you go plan £9,1,,,,,,,,,pay-as-you-go-sim-only,2 GB,,,,,500 minutes and texts. | 2GB of data. | Strict parental controls. | Roaming is not available. | 30 Days. No contract.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE,2025-11-09,https://ee.co.uk/graphql?operationName=SimBundleQuery&variables=%7B%22bundleSeoId%22%3A+%22pay-as-you-go-sim-only%22%2C+%22simSeoId%22%3A+%22mulit-sim-payg%22%7D&query=query+SimBundleQuery%28%24bundleSeoId%3A+String%21%2C+%24simSeoId%3A+String%21%29+%7B+simBundle%28simBundleInput%3A+%7B+bundleSeoId%3A+%24bundleSeoId%2C+simSeoId%3A+%24simSeoId+%7D%29+%7B+productPlanCombinations+%7B+plan+%7B+code+name+price+%7B+wasPayTodayPrice+payTodayPrice+futurePayMonthlyPrice+subscriptionTermInMonths+futurePrices+%7B+price+appliedDate+isTloApplied+%7D+%7D+planFamily+%7B+title+description+features+%7B+name+richName+%7D+%7D+entitlements+%7B+name+quantity+unit+%7D+labels+%7B+type+text+...+on+PromotionLabel+%7B+title+subTitle+isWide+position+endDateTime+%7D+%7D+%7D+%7D+%7D+%7D,https://ee.co.uk/mobile/pay-as-you-go-sim-only,Y24MHS003,£20 Subscription plan,EE,,,,,20.0,£20 Subscription plan,1,,,,,,,,,pay-as-you-go-sim-only,150 GB,Includes 100GB extra for 6 months,,,,Unlimited minutes and texts. | Data Rollover. | 30 Days. No contract. | 50GB after 6 months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE,2025-11-09,https://ee.co.uk/graphql?operationName=SimBundleQuery&variables=%7B%22bundleSeoId%22%3A+%22pay-as-you-go-sim-only%22%2C+%22simSeoId%22%3A+%22mulit-sim-payg%22%7D&query=query+SimBundleQuery%28%24bundleSeoId%3A+String%21%2C+%24simSeoId%3A+String%21%29+%7B+simBundle%28simBundleInput%3A+%7B+bundleSeoId%3A+%24bundleSeoId%2C+simSeoId%3A+%24simSeoId+%7D%29+%7B+productPlanCombinations+%7B+plan+%7B+code+name+price+%7B+wasPayTodayPrice+payTodayPrice+futurePayMonthlyPrice+subscriptionTermInMonths+futurePrices+%7B+price+appliedDate+isTloApplied+%7D+%7D+planFamily+%7B+title+description+features+%7B+name+richName+%7D+%7D+entitlements+%7B+name+quantity+unit+%7D+labels+%7B+type+text+...+on+PromotionLabel+%7B+title+subTitle+isWide+position+endDateTime+%7D+%7D+%7D+%7D+%7D+%7D,https://ee.co.uk/mobile/pay-as-you-go-sim-only,Y24MHS001,£10 Subscription plan,EE,,,,,10.0,£10 Subscription plan,1,,,,,,,,,pay-as-you-go-sim-only,20 GB,Includes 12GB extra for 6 months,,,,500 minutes and unlimited texts. | Data Rollover. | 30 Days. No contract. | 8GB after 6 months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE,2025-11-09,https://ee.co.uk/graphql?operationName=SimBundleQuery&variables=%7B%22bundleSeoId%22%3A+%22pay-as-you-go-sim-only%22%2C+%22simSeoId%22%3A+%22mulit-sim-payg%22%7D&query=query+SimBundleQuery%28%24bundleSeoId%3A+String%21%2C+%24simSeoId%3A+String%21%29+%7B+simBundle%28simBundleInput%3A+%7B+bundleSeoId%3A+%24bundleSeoId%2C+simSeoId%3A+%24simSeoId+%7D%29+%7B+productPlanCombinations+%7B+plan+%7B+code+name+price+%7B+wasPayTodayPrice+payTodayPrice+futurePayMonthlyPrice+subscriptionTermInMonths+futurePrices+%7B+price+appliedDate+isTloApplied+%7D+%7D+planFamily+%7B+title+description+features+%7B+name+richName+%7D+%7D+entitlements+%7B+name+quantity+unit+%7D+labels+%7B+type+text+...+on+PromotionLabel+%7B+title+subTitle+isWide+position+endDateTime+%7D+%7D+%7D+%7D+%7D+%7D,https://ee.co.uk/mobile/pay-as-you-go-sim-only,Y25MHS006,£20 Saver plan,EE,,,,,18.0,£20 Saver plan,1,,,,,,20.0,Y,Save £2.0,pay-as-you-go-sim-only,150 GB,Includes 100GB extra for 6 months,,,,Unlimited minutes and texts. | Data Rollover. | 30 Days. No contract. | 50GB after 6 months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE,2025-11-09,https://ee.co.uk/graphql?operationName=SimBundleQuery&variables=%7B%22bundleSeoId%22%3A+%22pay-as-you-go-sim-only%22%2C+%22simSeoId%22%3A+%22mulit-sim-payg%22%7D&query=query+SimBundleQuery%28%24bundleSeoId%3A+String%21%2C+%24simSeoId%3A+String%21%29+%7B+simBundle%28simBundleInput%3A+%7B+bundleSeoId%3A+%24bundleSeoId%2C+simSeoId%3A+%24simSeoId+%7D%29+%7B+productPlanCombinations+%7B+plan+%7B+code+name+price+%7B+wasPayTodayPrice+payTodayPrice+futurePayMonthlyPrice+subscriptionTermInMonths+futurePrices+%7B+price+appliedDate+isTloApplied+%7D+%7D+planFamily+%7B+title+description+features+%7B+name+richName+%7D+%7D+entitlements+%7B+name+quantity+unit+%7D+labels+%7B+type+text+...+on+PromotionLabel+%7B+title+subTitle+isWide+position+endDateTime+%7D+%7D+%7D+%7D+%7D+%7D,https://ee.co.uk/mobile/pay-as-you-go-sim-only,Y25MHS007,£30 Saver plan,EE,,,,,27.0,£30 Saver plan,1,,,,,,30.0,Y,Save £3.0,pay-as-you-go-sim-only,125 GB,,,,,Unlimited minutes and texts. | Data Rollover. | 30 Days. No contract.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE,2025-11-09,https://ee.co.uk/graphql?operationName=SimBundleQuery&variables=%7B%22bundleSeoId%22%3A+%22pay-as-you-go-sim-only%22%2C+%22simSeoId%22%3A+%22mulit-sim-payg%22%7D&query=query+SimBundleQuery%28%24bundleSeoId%3A+String%21%2C+%24simSeoId%3A+String%21%29+%7B+simBundle%28simBundleInput%3A+%7B+bundleSeoId%3A+%24bundleSeoId%2C+simSeoId%3A+%24simSeoId+%7D%29+%7B+productPlanCombinations+%7B+plan+%7B+code+name+price+%7B+wasPayTodayPrice+payTodayPrice+futurePayMonthlyPrice+subscriptionTermInMonths+futurePrices+%7B+price+appliedDate+isTloApplied+%7D+%7D+planFamily+%7B+title+description+features+%7B+name+richName+%7D+%7D+entitlements+%7B+name+quantity+unit+%7D+labels+%7B+type+text+...+on+PromotionLabel+%7B+title+subTitle+isWide+position+endDateTime+%7D+%7D+%7D+%7D+%7D+%7D,https://ee.co.uk/mobile/pay-as-you-go-sim-only,Y25MHS004,£10 Saver plan,EE,,,,,9.0,£10 Saver plan,1,,,,,,10.0,Y,Save £1.0,pay-as-you-go-sim-only,20 GB,Includes 12GB extra for 6 months,,,,500 minutes and texts. | Data Rollover. | 30 Days. No contract. | 8GB after 6 months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE,2025-11-09,https://ee.co.uk/graphql?operationName=SimBundleQuery&variables=%7B%22bundleSeoId%22%3A+%22pay-as-you-go-sim-only%22%2C+%22simSeoId%22%3A+%22mulit-sim-payg%22%7D&query=query+SimBundleQuery%28%24bundleSeoId%3A+String%21%2C+%24simSeoId%3A+String%21%29+%7B+simBundle%28simBundleInput%3A+%7B+bundleSeoId%3A+%24bundleSeoId%2C+simSeoId%3A+%24simSeoId+%7D%29+%7B+productPlanCombinations+%7B+plan+%7B+code+name+price+%7B+wasPayTodayPrice+payTodayPrice+futurePayMonthlyPrice+subscriptionTermInMonths+futurePrices+%7B+price+appliedDate+isTloApplied+%7D+%7D+planFamily+%7B+title+description+features+%7B+name+richName+%7D+%7D+entitlements+%7B+name+quantity+unit+%7D+labels+%7B+type+text+...+on+PromotionLabel+%7B+title+subTitle+isWide+position+endDateTime+%7D+%7D+%7D+%7D+%7D+%7D,https://ee.co.uk/mobile/pay-as-you-go-sim-only,Y25MHS005,£15 Saver plan,EE,,,,,13.5,£15 Saver plan,1,,,,,,15.0,Y,Save £1.5,pay-as-you-go-sim-only,75 GB,Includes 50GB extra for 6 months,,,,Unlimited minutes and texts. | Data Rollover. | 30 Days. No contract. | 25GB after 6 months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE,2025-11-09,https://ee.co.uk/graphql?operationName=SimBundleQuery&variables=%7B%22bundleSeoId%22%3A+%22pay-as-you-go-sim-only%22%2C+%22simSeoId%22%3A+%22mulit-sim-payg%22%7D&query=query+SimBundleQuery%28%24bundleSeoId%3A+String%21%2C+%24simSeoId%3A+String%21%29+%7B+simBundle%28simBundleInput%3A+%7B+bundleSeoId%3A+%24bundleSeoId%2C+simSeoId%3A+%24simSeoId+%7D%29+%7B+productPlanCombinations+%7B+plan+%7B+code+name+price+%7B+wasPayTodayPrice+payTodayPrice+futurePayMonthlyPrice+subscriptionTermInMonths+futurePrices+%7B+price+appliedDate+isTloApplied+%7D+%7D+planFamily+%7B+title+description+features+%7B+name+richName+%7D+%7D+entitlements+%7B+name+quantity+unit+%7D+labels+%7B+type+text+...+on+PromotionLabel+%7B+title+subTitle+isWide+position+endDateTime+%7D+%7D+%7D+%7D+%7D+%7D,https://ee.co.uk/mobile/pay-as-you-go-sim-only,Y24MHS004,£30 Subscription plan,EE,,,,,30.0,£30 Subscription plan,1,,,,,,,,,pay-as-you-go-sim-only,125 GB,,,,,Unlimited minutes and texts. | Data Rollover. | 30 Days. No contract.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE,2025-11-09,https://ee.co.uk/graphql?operationName=SimBundleQuery&variables=%7B%22bundleSeoId%22%3A+%22pay-as-you-go-sim-only%22%2C+%22simSeoId%22%3A+%22mulit-sim-payg%22%7D&query=query+SimBundleQuery%28%24bundleSeoId%3A+String%21%2C+%24simSeoId%3A+String%21%29+%7B+simBundle%28simBundleInput%3A+%7B+bundleSeoId%3A+%24bundleSeoId%2C+simSeoId%3A+%24simSeoId+%7D%29+%7B+productPlanCombinations+%7B+plan+%7B+code+name+price+%7B+wasPayTodayPrice+payTodayPrice+futurePayMonthlyPrice+subscriptionTermInMonths+futurePrices+%7B+price+appliedDate+isTloApplied+%7D+%7D+planFamily+%7B+title+description+features+%7B+name+richName+%7D+%7D+entitlements+%7B+name+quantity+unit+%7D+labels+%7B+type+text+...+on+PromotionLabel+%7B+title+subTitle+isWide+position+endDateTime+%7D+%7D+%7D+%7D+%7D+%7D,https://ee.co.uk/mobile/pay-as-you-go-sim-only,Y24MHS002,£15 Subscription plan,EE,,,,,15.0,£15 Subscription plan,1,,,,,,,,,pay-as-you-go-sim-only,75 GB,Includes 50GB extra for 6 months,,,,Unlimited minutes and texts. | Data Rollover. | 30 Days. No contract. | 25GB after 6 months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE,2025-11-09,https://ee.co.uk/graphql?operationName=SimBundleQuery&variables=%7B%22bundleSeoId%22%3A+%22pay-as-you-go-sim-only%22%2C+%22simSeoId%22%3A+%22mulit-sim-payg%22%7D&query=query+SimBundleQuery%28%24bundleSeoId%3A+String%21%2C+%24simSeoId%3A+String%21%29+%7B+simBundle%28simBundleInput%3A+%7B+bundleSeoId%3A+%24bundleSeoId%2C+simSeoId%3A+%24simSeoId+%7D%29+%7B+productPlanCombinations+%7B+plan+%7B+code+name+price+%7B+wasPayTodayPrice+payTodayPrice+futurePayMonthlyPrice+subscriptionTermInMonths+futurePrices+%7B+price+appliedDate+isTloApplied+%7D+%7D+planFamily+%7B+title+description+features+%7B+name+richName+%7D+%7D+entitlements+%7B+name+quantity+unit+%7D+labels+%7B+type+text+...+on+PromotionLabel+%7B+title+subTitle+isWide+position+endDateTime+%7D+%7D+%7D+%7D+%7D+%7D,https://ee.co.uk/mobile/pay-as-you-go-sim-only,Y25MHS008,£35 Saver plan,EE,,,,,31.5,£35 Saver plan,1,,,,,,35.0,Y,Save £3.5,pay-as-you-go-sim-only,Unlimited,,,,,Unlimited data. | Unlimited minutes and texts. | 30 Days. No contract.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
