source,date,apiURL,url,sku,name,brand,stock,advance,paymentAmount,phoneContractDuration,sim_price,simContractname,simContractDuration,phoneContractPrice,isPhoneContractAvailableWOsim,phoneContractSimPackage,handsetOnlyCostCash,handsetOnlyContract,previousPrice,onSale,saleText,plan_type,sim_data,simOfferData,sim1YearIncrease,sim2YearIncrease,sim3YearIncrease,simDesc,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
giffgaff,2025-09-11,https://www.giffgaff.com/mobile-phones/apple/iphone-16/new,https://www.giffgaff.com/mobile-phones/apple/iphone-16/new,GGMYE73QN/A,iPhone 16,apple,Y,"=""20.00""","=""56.59""",12,"=""10.00""",contract,18.0,"=""699.00""",N,"=""879.00""","=""699.00""",,,,,data contract,25 GB,,,,,Unlimited UK calls and texts | EU roaming included up to 5 GB | Keep your number | 5G speeds at no extra cost,black,128GB,,,mobile-phones,apple,iphone-16,new,,,12,https://static.giffgaff.com/images/phones/products/iphone-16/black/slider_190x375/1.png,,,,,,,,,,,,,,,,SPECIFICATION,Battery,"LI-ION, NON-REMOVABLE",SPECIFICATION,Internal,"128GB, 256GB, 512GB",SPECIFICATION,RAM,8GB,SPECIFICATION,Size,147.6 X 71.6 X 7.8 MM,SPECIFICATION,Weight,170G,SPECIFICATION,Screen type,SUPER RETINA XDR OLED,SPECIFICATION,Screen size,6.1 INCHES,SPECIFICATION,Main camera,"48 MP, F/1.6, 26MM (WIDE), 12 MP, F/2.2, 13MM, 120˚ (ULTRAWIDE)",SPECIFICATION,Front Camera,"2 MP, F/1.9, 23MM (WIDE)",SPECIFICATION,Video Recording,4K@24/25/30/60FPS,SPECIFICATION,Network,5G,SPECIFICATION,Sensors,"FACE ID, ACCELEROMETER, GYRO, PROXIMITY, COMPASS, BAROMETER",SPECIFICATION,Sim Type,NANO-SIM AND ESIM,,,,,,,,,,,,,,,,,,,,,
giffgaff,2025-09-11,https://www.giffgaff.com/mobile-phones/google/google-pixel-9-pro/new,https://www.giffgaff.com/mobile-phones/google/google-pixel-9-pro/new,GGGA05936-GB,Google Pixel 9 Pro,google,Y,"=""20.00""","=""54.92""",12,"=""10.00""",contract,18.0,"=""679.00""",N,"=""859.00""","=""679.00""",,"=""1079.00""",Y,£400 off,data contract,25 GB,,,,,Unlimited UK calls and texts | EU roaming included up to 5 GB | Keep your number | 5G speeds at no extra cost,hazel,128GB,,,mobile-phones,google,google-pixel-9-pro,new,,,24,https://static.giffgaff.com/images/phones/products/google-pixel-9-pro/hazel/slider_190x375/1.png,,,,,,,,,,,,,,,,SPECIFICATION,Battery,LI-ION 4700 MAH,SPECIFICATION,Internal,"128GB, 256GB",SPECIFICATION,RAM,16GB,SPECIFICATION,Size,152.8 X 72 X 8.5 MM,SPECIFICATION,Weight,199G,SPECIFICATION,Screen size,6.3 INCH DISPLAY,SPECIFICATION,Resolution,1280 X 2856 PIXELS,SPECIFICATION,Screen type,"LTPO OLED, 120HZ, HDR10+",SPECIFICATION,Protection,CORNING GORILLA GLASS VICTUS 2,SPECIFICATION,Main Camera,"50 MP, 25MM (WIDE), 48 MP, 113MM (PERISCOPE TELEPHOTO) 48 MP (ULTRAWIDE)",SPECIFICATION,Front Camera,"42 MP, 17MM (ULTRAWIDE)",SPECIFICATION,Video Recording,4K@30/60FPS,SPECIFICATION,Operating System,ANDROID 14,SPECIFICATION,Chipset,GOOGLE TENSOR G4,SPECIFICATION,Network,5G,SPECIFICATION,SIM Type,NANO-SIM,SPECIFICATION,Sensors,"FINGERPRINT (UNDER DISPLAY, ULTRASONIC), ACCELEROMETER, GYRO, PROXIMITY, COMPASS, BAROMETER, THERMOMETER (SKIN TEMPERATURE)  ULTRA WIDEBAND (UWB) SUPPORT",,,,,,,,,
giffgaff,2025-09-11,https://www.giffgaff.com/mobile-phones/google/google-pixel-9/new,https://www.giffgaff.com/mobile-phones/google/google-pixel-9/new,GGGA05226-GB,Google Pixel 9,google,Y,"=""20.00""","=""39.92""",12,"=""10.00""",contract,18.0,"=""499.00""",N,"=""679.00""","=""499.00""",,"=""829.00""",Y,£330 off,data contract,25 GB,,,,,Unlimited UK calls and texts | EU roaming included up to 5 GB | Keep your number | 5G speeds at no extra cost,obsidian,128GB,,,mobile-phones,google,google-pixel-9,new,,,24,https://static.giffgaff.com/images/phones/products/google-pixel-9/obsidian/slider_190x375/1.png,,,,,,,,,,,,,,,,SPECIFICATION,Battery,4700 MAH,SPECIFICATION,Internal,"128GB, 256GB",SPECIFICATION,RAM,12GB,SPECIFICATION,Size,152.8MM X 72MM X 8.5MM,SPECIFICATION,Weight,198G,SPECIFICATION,Screen size,6.3 INCH DISPLAY,SPECIFICATION,Resolution,1080 X 2424 PIXELS,SPECIFICATION,Screen type,"OLED, 120HZ, HDR10+",SPECIFICATION,Protection,CORNING GORILLA GLASS VICTUS 2,SPECIFICATION,Main Camera,"50 MP, 25MM (WIDE), 48 MP (ULTRAWIDE)",SPECIFICATION,Front Camera,"10.5 MP, F/2.2, 20MM (ULTRAWIDE)",SPECIFICATION,Video Recording,4K@24/30/60FPS,SPECIFICATION,Operating System,ANDROID 14,SPECIFICATION,Chipset,GOOGLE TENSOR G4,SPECIFICATION,Network,5G,SPECIFICATION,SIM Type,NANO-SIM,SPECIFICATION,Sensors,"FINGERPRINT (UNDER DISPLAY, ULTRASONIC), ACCELEROMETER, GYRO, PROXIMITY, COMPASS, BAROMETER",,,,,,,,,
giffgaff,2025-09-11,https://www.giffgaff.com/mobile-phones/apple/iphone-16-pro/new,https://www.giffgaff.com/mobile-phones/apple/iphone-16-pro/new,GGMYND3QN/A,iPhone 16 Pro,apple,Y,"=""25.00""","=""74.50""",12,"=""10.00""",contract,18.0,"=""919.00""",N,"=""1099.00""","=""919.00""",,,,,data contract,25 GB,,,,,Unlimited UK calls and texts | EU roaming included up to 5 GB | Keep your number | 5G speeds at no extra cost,black-titanium,128GB,,,mobile-phones,apple,iphone-16-pro,new,,,12,https://static.giffgaff.com/images/phones/products/iphone-16-pro/black-titanium/slider_190x375/1.png,,,,,,,,,,,,,,,,SPECIFICATION,Battery,"LI-ION, NON-REMOVABLE",SPECIFICATION,Internal,"128GB, 256GB, 512GB, 1TB",SPECIFICATION,RAM,8GB,SPECIFICATION,Size,149.6 X 71.5 X 8.3 MM,SPECIFICATION,Weight,199G,SPECIFICATION,Screen type,LTPO SUPER RETINA XDR OLED,SPECIFICATION,Resolution,1206 X 2622 PIXELS,SPECIFICATION,Main Camera,"48 MP, F/1.8, 24MM (WIDE), 12 MP, F/2.8, 120MM (PERISCOPE TELEPHOTO), 48 MP, F/2.2, 13MM (ULTRAWIDE)",SPECIFICATION,Front Camera,"12 MP, F/1.9, 23MM (WIDE)",SPECIFICATION,Video Recording,4K@24/25/30/60/100/120FPS,SPECIFICATION,Network,5G,SPECIFICATION,Sensors,"FACE ID, ACCELEROMETER, GYRO, PROXIMITY, COMPASS, BAROMETER",SPECIFICATION,Sim Type,NANO-SIM AND ESIM,,,,,,,,,,,,,,,,,,,,,
giffgaff,2025-09-11,https://www.giffgaff.com/mobile-phones/apple/iphone-16e/new,https://www.giffgaff.com/mobile-phones/apple/iphone-16e/new,GGMD1Q4QN/A,iPhone 16e,apple,Y,"=""20.00""","=""43.25""",12,"=""10.00""",contract,18.0,"=""539.00""",N,"=""719.00""","=""539.00""",,"=""619.00""",Y,£80 off,data contract,25 GB,,,,,Unlimited UK calls and texts | EU roaming included up to 5 GB | Keep your number | 5G speeds at no extra cost,black,128GB,,,mobile-phones,apple,iphone-16e,new,,,12,https://static.giffgaff.com/images/phones/products/iphone-16e/black/slider_190x375/1.png,,,,,,,,,,,,,,,,SPECIFICATION,Battery,FAST-CHARGE CAPABLE,SPECIFICATION,Internal Memory,"128GB, 256GB, 512GB",SPECIFICATION,Size,146.7 X 71.5 X 7.8 MM,SPECIFICATION,Weight,167G,SPECIFICATION,Screen Type,SUPER RETINA XDR,SPECIFICATION,Resolution,2532 X 1170,SPECIFICATION,Screen size,6.1 INCHES,SPECIFICATION,Main Camera,48MP FUSION,SPECIFICATION,Front Camera,12MP,SPECIFICATION,Video Recording,4K DOLBY VISION @ 24/25/30/60 FPS,SPECIFICATION,Network,5G,SPECIFICATION,Charger Type,USB-C,SPECIFICATION,Sim Type,"NANO SIM, ESIM",SPECIFICATION,Sensors,FACE ID,,,,,,,,,,,,,,,,,,
giffgaff,2025-09-11,https://www.giffgaff.com/mobile-phones/apple/iphone-16-pro-max/new,https://www.giffgaff.com/mobile-phones/apple/iphone-16-pro-max/new,GGMYWV3QN/A,iPhone 16 Pro Max,apple,Y,"=""25.00""","=""92.84""",12,"=""10.00""",contract,18.0,"=""1139.00""",N,"=""1319.00""","=""1139.00""",,,,,data contract,25 GB,,,,,Unlimited UK calls and texts | EU roaming included up to 5 GB | Keep your number | 5G speeds at no extra cost,black-titanium,256GB,,,mobile-phones,apple,iphone-16-pro-max,new,,,12,https://static.giffgaff.com/images/phones/products/iphone-16-pro-max/black-titanium/slider_190x375/1.png,,,,,,,,,,,,,,,,SPECIFICATION,Battery,"LI-ION, NON-REMOVABLE",SPECIFICATION,Internal,"128GB, 256GB, 512GB, 1TB",SPECIFICATION,RAM,8GB,SPECIFICATION,Size,163 X 77.6 X 8.3 MM,SPECIFICATION,Weight,227G,SPECIFICATION,Screen type,LTPO SUPER RETINA XDR OLED,SPECIFICATION,Resolution,1320 X 2868 PIXELS,SPECIFICATION,Main Camera,"48 MP, F/1.8, 24MM (WIDE), 12 MP, F/2.8, 120MM (PERISCOPE TELEPHOTO), 48 MP, F/2.2, 13MM (ULTRAWIDE)",SPECIFICATION,Front Camera,"12 MP, F/1.9, 23MM (WIDE)",SPECIFICATION,Video Recording,4K@24/25/30/60/100/120FPS,SPECIFICATION,Network,5G,SPECIFICATION,Sensors,"FACE ID, ACCELEROMETER, GYRO, PROXIMITY, COMPASS, BAROMETER",SPECIFICATION,Sim Type,NANO-SIM AND ESIM,,,,,,,,,,,,,,,,,,,,,
giffgaff,2025-09-11,https://www.giffgaff.com/mobile-phones/apple/iphone-16-plus/new,https://www.giffgaff.com/mobile-phones/apple/iphone-16-plus/new,GGMXVU3QN/A,iPhone 16 Plus,apple,Y,"=""25.00""","=""64.50""",12,"=""10.00""",contract,18.0,"=""799.00""",N,"=""979.00""","=""799.00""",,,,,data contract,25 GB,,,,,Unlimited UK calls and texts | EU roaming included up to 5 GB | Keep your number | 5G speeds at no extra cost,black,128GB,,,mobile-phones,apple,iphone-16-plus,new,,,12,https://static.giffgaff.com/images/phones/products/iphone-16-plus/black/slider_190x375/1.png,,,,,,,,,,,,,,,,SPECIFICATION,Battery,"LI-ION, NON-REMOVABLE",SPECIFICATION,Internal,"128GB, 256GB, 512GB",SPECIFICATION,RAM,8GB,SPECIFICATION,Size,160.9 X 77.8 X 7.8 MM,SPECIFICATION,Weight,199G,SPECIFICATION,Screen type,SUPER RETINA XDR OLED,SPECIFICATION,Screen size,6.7 INCHES,SPECIFICATION,Main camera,"48 MP, F/1.6, 26MM (WIDE), 12 MP, F/2.2, 13MM, 120˚ (ULTRAWIDE)",SPECIFICATION,Front Camera,"2 MP, F/1.9, 23MM (WIDE)",SPECIFICATION,Video Recording,4K@24/25/30/60FPS,SPECIFICATION,Network,5G,SPECIFICATION,Sensors,"FACE ID, ACCELEROMETER, GYRO, PROXIMITY, COMPASS, BAROMETER",SPECIFICATION,Sim Type,NANO-SIM AND ESIM,,,,,,,,,,,,,,,,,,,,,
giffgaff,2025-09-11,https://www.giffgaff.com/mobile-phones/samsung/samsung-galaxy-s24-fe/new,https://www.giffgaff.com/mobile-phones/samsung/samsung-galaxy-s24-fe/new,GG1SAGFEBLN,Samsung Galaxy S24 FE,samsung,Y,"=""20.00""","=""41.59""",12,"=""10.00""",contract,18.0,"=""519.00""",N,"=""699.00""","=""519.00""",,"=""669.00""",Y,£150 off,data contract,25 GB,,,,,Unlimited UK calls and texts | EU roaming included up to 5 GB | Keep your number | 5G speeds at no extra cost,blue,128GB,,,mobile-phones,samsung,samsung-galaxy-s24-fe,new,,,24,https://static.giffgaff.com/images/phones/products/samsung-galaxy-s24-fe/blue/slider_190x375/1.png,,,,,,,,,,,,,,,,SPECIFICATION,Battery,4700 MAH BATTERY,SPECIFICATION,Internal,128GB,SPECIFICATION,RAM,8GB,SPECIFICATION,Size,162 X 77.3 X 8 MM,SPECIFICATION,Weight,213G,SPECIFICATION,Screen size,6.7 INCHES,SPECIFICATION,Resolution,1080 X 2340 PIXELS,SPECIFICATION,Main,"50 MP, F/1.8, 24MM (WIDE), 8 MP, F/2.4, 75MM (TELEPHOTO), 12 MP, F/2.2, 123˚ (ULTRAWIDE)",SPECIFICATION,Front Camera,"10 MP, F/2.4, 26MM (WIDE)",SPECIFICATION,Video Recording,"8K@30FPS, 4K@30/60/120FPS",SPECIFICATION,Operating System,ANDROID 14,SPECIFICATION,Chipset,EXYNOS 2400E (4 NM),SPECIFICATION,Network,"5G, 4G",SPECIFICATION,Sensors,"FINGERPRINT (UNDER DISPLAY, OPTICAL), ACCELEROMETER, GYRO, COMPASS, VIRTUAL PROXIMITY SENSING SAMSUNG DEX CIRCLE TO SEARCH",,,,,,,,,,,,,,,,,,
giffgaff,2025-09-11,https://www.giffgaff.com/mobile-phones/apple/iphone-15/new,https://www.giffgaff.com/mobile-phones/apple/iphone-15/new,GGMTP03ZD/A,iPhone 15,apple,Y,"=""20.00""","=""48.25""",12,"=""10.00""",contract,18.0,"=""599.00""",N,"=""779.00""","=""599.00""",,,,,data contract,25 GB,,,,,Unlimited UK calls and texts | EU roaming included up to 5 GB | Keep your number | 5G speeds at no extra cost,black,128GB,,,mobile-phones,apple,iphone-15,new,,,12,https://static.giffgaff.com/images/phones/products/iphone-15/black/slider_190x375/1.png,,,,,,,,,,,,,,,,SPECIFICATION,Battery,MAGSAFE WIRELESS CHARGING UP TO 15W,SPECIFICATION,Internal,"128GB, 256GB, 512GB",SPECIFICATION,RAM,6GB,SPECIFICATION,Size,147.6 X 71.6 X 7.8 MM,SPECIFICATION,Weight,171G,SPECIFICATION,Screen Size,6.1 INCHES,SPECIFICATION,Display Type,"SUPER RETINA XDR OLED, HDR10, DOLBY VISION",SPECIFICATION,Resolution,1179 X 2556 PIXELS,SPECIFICATION,Main,"48MP MAIN, 12MP ULTRA WIDE, 12MP 2X TELEPHOTO",SPECIFICATION,Front,12 MP,SPECIFICATION,Operating System,IOS 17,SPECIFICATION,Chipset,A16 BIONIC,SPECIFICATION,SIM type,NANO-SIM (DUAL SIM) AND ESIM,SPECIFICATION,Charger Type,USB-C,SPECIFICATION,Sensors,"FACE ID, ACCELEROMETER, GYRO, PROXIMITY, COMPASS, BAROMETER, ULTRA WIDEBAND 2 (UWB) SUPPORT EMERGENCY SOS VIA SATELLITE (SMS SENDING/RECEIVING)",SPECIFICATION,Network,5G,,,,,,,,,,,,
giffgaff,2025-09-11,https://www.giffgaff.com/mobile-phones/apple/iphone-15-plus/new,https://www.giffgaff.com/mobile-phones/apple/iphone-15-plus/new,GGMU0Y3ZD/A,iPhone 15 Plus,apple,Y,"=""20.00""","=""56.59""",12,"=""10.00""",contract,18.0,"=""699.00""",N,"=""879.00""","=""699.00""",,,,,data contract,25 GB,,,,,Unlimited UK calls and texts | EU roaming included up to 5 GB | Keep your number | 5G speeds at no extra cost,black,128GB,,,mobile-phones,apple,iphone-15-plus,new,,,12,https://static.giffgaff.com/images/phones/products/iphone-15-plus/black/slider_190x375/1.png,,,,,,,,,,,,,,,,SPECIFICATION,Battery,MAGSAFE WIRELESS CHARGING UP TO 15W,SPECIFICATION,Internal,"128GB, 256GB, 512GB",SPECIFICATION,RAM,6GB,SPECIFICATION,Size,160.9 X 77.8 X 7.8 MM,SPECIFICATION,Weight,201G,SPECIFICATION,Screen Size,6.7 INCHES,SPECIFICATION,Display type,"SUPER RETINA XDR OLED, HDR10, DOLBY VISION",SPECIFICATION,Resolution,1290 X 2796 PIXELS,SPECIFICATION,Main,"48MP MAIN, 12MP ULTRA WIDE, 12MP 2X TELEPHOTO",SPECIFICATION,Front,12MP,SPECIFICATION,Video Recording,"4K@24/25/30/60FPS,",SPECIFICATION,Operating System,IOS 17,SPECIFICATION,Chipset,A16 BIONIC,SPECIFICATION,SIM type,NANO-SIM (DUAL SIM) AND ESIM,SPECIFICATION,Charger type,USB-C,SPECIFICATION,Sensors,"FACE ID, ACCELEROMETER, GYRO, PROXIMITY, COMPASS, BAROMETER, ULTRA WIDEBAND 2 (UWB) SUPPORT EMERGENCY SOS VIA SATELLITE (SMS SENDING/RECEIVING)",SPECIFICATION,Network,5G,,,,,,,,,
giffgaff,2025-09-11,https://www.giffgaff.com/mobile-phones/apple/iphone-14/new,https://www.giffgaff.com/mobile-phones/apple/iphone-14/new,GGMPVN3ZD/A,iPhone 14,apple,Y,"=""20.00""","=""39.59""",12,"=""10.00""",contract,18.0,"=""495.00""",N,"=""675.00""","=""495.00""",,,,,data contract,25 GB,,,,,Unlimited UK calls and texts | EU roaming included up to 5 GB | Keep your number | 5G speeds at no extra cost,blue,128GB,,,mobile-phones,apple,iphone-14,new,,,12,https://static.giffgaff.com/images/phones/products/iphone-14/blue/slider_190x375/1.png,,,,,,,,,,,,,,,,SPECIFICATION,Battery,"FAST CHARGING, 50% IN 30 MIN",SPECIFICATION,Internal,"128GB, 256GB, 512GB",SPECIFICATION,RAM,6GB,SPECIFICATION,Size,146.7 X 71.5 X 7.8 MM,SPECIFICATION,Weight,172G,SPECIFICATION,Screen size,6.1 INCH,SPECIFICATION,Resolution,1170 X 2532 PIXELS,SPECIFICATION,Display info,"SUPER RETINA XDR OLED, HDR10",SPECIFICATION,Dual-camera system,"12MP MAIN, 12MP ULTRA WIDE",SPECIFICATION,Front Camera,12 MP,SPECIFICATION,Video Recording,"4K@24/25/30/60FPS,",SPECIFICATION,Operating System,IOS16,SPECIFICATION,Chipset,APPLE A15 BIONIC (5 NM),SPECIFICATION,SIM type,NANO-SIM,SPECIFICATION,Network,"5G, 4G",SPECIFICATION,Sensors,"FACE ID BAROMETER, HIGH DYNAMIC RANGE GYRO, HIGH-G ACCELEROMETER, PROXIMITY SENSOR DUAL AMBIENT LIGHT SENSORS",SPECIFICATION,Safety,"EMERGENCY SOS, CRASH DETECTION",,,,,,,,,
