source,date,apiURL,url,sku,name,brand,stock,advance,paymentAmount,phoneContractDuration,sim_price,simContractname,simContractDuration,phoneContractPrice,isPhoneContractAvailableWOsim,phoneContractSimPackage,handsetOnlyCostCash,handsetOnlyContract,previousPrice,onSale,saleText,plan_type,sim_data,simOfferData,sim1YearIncrease,sim2YearIncrease,sim3YearIncrease,simDesc,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
lebara,2025-08-31,https://www.lebara.co.uk/en/best-sim-only-deals/p/441125.model.json,https://www.lebara.co.uk/en/best-sim-only-deals/p/441125.html,441125,,,,,,,5,5GB Monthly Plan,1,,,,,,,,,SIM ONLY,5GB,,,,,5GB Data | 1000 Min UK_L2L_Mins | 1000 SMS L2L SMS | 100 Min UKSIM_International_15 | 1000 Min UKSIM_National_Voice | 1000 SMS AIO National SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lebara,2025-08-31,https://www.lebara.co.uk/en/best-sim-only-deals/p/44000022.model.json,https://www.lebara.co.uk/en/best-sim-only-deals/p/44000022.html,44000022,,,,,,,10,30GB Monthly Plan,1,,,,,,,,,SIM ONLY,30GB,Was 25GB Now 30GB,,,,30GB Data | 100 Min UKSIM_International_15 | 10000 Min UK_Plan_National | 6000 SMS UK_UNL_National_SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lebara,2025-08-31,https://www.lebara.co.uk/en/best-sim-only-deals/p/44000024.model.json,https://www.lebara.co.uk/en/best-sim-only-deals/p/44000024.html,44000024,,,,,,,15,50GB Monthly Plan,1,,,,,,,,,SIM ONLY,50GB,,,,,50GB Data | 500 Min UKSIM_International_15 | 10000 Min UK_Plan_National | 6000 SMS UK_UNL_National_SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lebara,2025-08-31,https://www.lebara.co.uk/en/best-sim-only-deals/p/44000007.model.json,https://www.lebara.co.uk/en/best-sim-only-deals/p/44000007.html,44000007,,,,,,,20,100GB Monthly Plan,1,,,,,,,,,SIM ONLY,100GB,,,,,100GB Data | 10000 Min UK_Plan_National | 10000 Min UK_Unlimited_Intl_mins | 6000 SMS UK_UNL_National_SMS | 1000 Min UK_India_Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lebara,2025-08-31,https://www.lebara.co.uk/en/best-sim-only-deals/p/441167.model.json,https://www.lebara.co.uk/en/best-sim-only-deals/p/441167.html,441167,,,,,,,25,Unlimited Data Monthly Plan,1,,,,,,,,,SIM ONLY,Unlimited,,,,,100 Min UKSIM_International_15 | 10000 Min UK_Plan_National | 6000 SMS UK_UNL_National_SMS | 50MB GB_Unlimited_Data_Allowances | 30GB UK_Data_Roaming_EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lebara,2025-08-31,https://www.lebara.co.uk/en/best-sim-only-deals/p/441168.model.json,https://www.lebara.co.uk/en/best-sim-only-deals/p/441168.html,441168,,,,,,,30,Unlimited Data Monthly Plan,1,,,,,,,,,SIM ONLY,Unlimited,,,,,10000 Min UK_Plan_National | 10000 Min UK_Unlimited_Intl_mins | 6000 SMS UK_UNL_National_SMS | 50MB GB_Unlimited_Data_Allowances | 30GB UK_Data_Roaming_EU | 1000 Min UK_India_Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lebara,2025-08-31,https://www.lebara.co.uk/en/best-sim-only-deals/p/441177.model.json,https://www.lebara.co.uk/en/best-sim-only-deals/p/441177.html,441177,,,,,,,4.50,5GB 12-Month Plan,12,,,,,,,,,SIM ONLY,5GB,,,,,5GB Data | 1000 Min UK_L2L_Mins | 1000 SMS L2L SMS | 100 Min UKSIM_International_15 | 1000 Min UKSIM_National_Voice | 1000 SMS AIO National SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lebara,2025-08-31,https://www.lebara.co.uk/en/best-sim-only-deals/p/44000060.model.json,https://www.lebara.co.uk/en/best-sim-only-deals/p/44000060.html,44000060,,,,,,,9,30GB 12-Month Plan,12,,,,,,,,,SIM ONLY,30GB,,,,,30GB Data | 100 Min UKSIM_International_15 | 10000 Min UK_Plan_National | 6000 SMS UK_UNL_National_SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lebara,2025-08-31,https://www.lebara.co.uk/en/best-sim-only-deals/p/44000011.model.json,https://www.lebara.co.uk/en/best-sim-only-deals/p/44000011.html,44000011,,,,,,,13.50,50GB 12-Month Plan,12,,,,,,,,,SIM ONLY,50GB,,,,,50GB Data | 500 Min UKSIM_International_15 | 10000 Min UK_Plan_National | 6000 SMS UK_UNL_National_SMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lebara,2025-08-31,https://www.lebara.co.uk/en/best-sim-only-deals/p/44000014.model.json,https://www.lebara.co.uk/en/best-sim-only-deals/p/44000014.html,44000014,,,,,,,18,100GB 12-Month Plan,12,,,,,,,,,SIM ONLY,100GB,,,,,100GB Data | 10000 Min UK_Plan_National | 10000 Min UK_Unlimited_Intl_mins | 6000 SMS UK_UNL_National_SMS | 1000 Min UK_India_Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
