source,date,apiURL,url,sku,name,brand,stock,advance,paymentAmount,phoneContractDuration,sim_price,simContractname,simContractDuration,phoneContractPrice,isPhoneContractAvailableWOsim,phoneContractSimPackage,handsetOnlyCostCash,handsetOnlyContract,previousPrice,onSale,saleText,plan_type,sim_data,simOfferData,sim1YearIncrease,sim2YearIncrease,sim3YearIncrease,simDesc,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
lycamobile.co.uk,2025-09-20,,https://www.lycamobile.co.uk/en/bundle/al-one-plus-15/,al-one-plus-15,All in one Plus 15,,,,,,15.0,50GB Data SIM Plan For Only £15p/m | All In One Plus 15,1,,,,,,,,,PAYG,50,,,,,"All in One Plus 15 PAYG bundle. Up to 12GB EU Roaming & 1.5GB China Roaming, 500 intl. mins, unlimited UK calls & texts, eSIM & 5G enabled. £15 for 30 days.",,,,,,,,,,,,,,,,,Unlimited National Mins and SMS | Unlimited Lyca to Lyca Mins and SMS | 500 International minutes | EU & India Roaming(Data Cap up to 12GB) | EU & India Roaming | China Roaming (Data Cap up to 1.5GB) | eSIM available | 5G at no extra cost,"Unlimited National Mins and SMS | Unlimited Lyca to Lyca Mins and SMS | EU, China & India Data Roaming Included | EU, China & India Data Roaming Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lycamobile.co.uk,2025-09-20,,https://www.lycamobile.co.uk/en/bundle/all-in-one-10/,all-in-one-10,All In One 10,,,,,,9.9,6GB Data SIM Plan For Only £9.90p/m | All in One 10,1,,,,,,,,,PAYG,6,,,,,"All in One 10 PAYG bundle. Up to 5GB EU Roaming & 500MB China Roaming, 200 intl. mins, unlimited UK calls & texts, eSIM & 5G enabled. £9.90 for 30 days.",,,,,,,,,,,,,,,,,Unlimited UK calls and texts | 200 International minutes free | Unlimited Lyca to Lyca calls & texts | EU Roaming(Data Cap up to 5GB) | EU Roaming | China Roaming (Data Cap up to 500MB) | eSIM available | 5G at no extra cost,Unlimited UK calls and texts | 200 International minutes free | EU & China Roaming Included | EU & China Roaming Included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lycamobile.co.uk,2025-09-20,,https://www.lycamobile.co.uk/en/bundle/all-in-one-plus-20/,all-in-one-plus-20,All In One Plus 20,,,,,,20.0,100GB Data SIM Plan For Only £20p/m | All In One Plus 20,1,,,,,,,,,PAYG,100,,,,,"All in One Plus 20 PAYG bundle. Up to 12GB EU & India Roaming, 2GB China Roaming, Unlimited intl. mins & UK calls, eSIM & 5G enabled. £20 for 30 days.",,,,,,,,,,,,,,,,,Unlimited UK calls and texts | Unlimited International minutes free | EU & India Roaming(Data Cap up to 12GB) | EU & India Roaming | China Roaming (Data Cap up to 2GB) | eSIM available | 5G at no extra cost,"Unlimited UK calls and texts | Unlimited International minutes free | EU, China & India Data Roaming Included | EU, China & India Data Roaming Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lycamobile.co.uk,2025-09-20,,https://www.lycamobile.co.uk/en/bundle/aloturka-data-add-m/,aloturka-data-add-m,AloTurka Data Add on M,,,,,,15.0,Aloturka Data Add On - 15GB - Turkey Roaming | Lyca Mobile,1,,,,,,,,,PAYG,15,,,,,Get an Aloturka data add-on - 15GB - Turkey roaming. Join the freedom family!,,,,,,,,,,,,,,,,,15GB Turkey roaming data | EU Roaming | 5G at no extra cost,15GB Turkey roaming data | EU Roaming | 5G at no extra cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lycamobile.co.uk,2025-09-20,,https://www.lycamobile.co.uk/en/bundle/aloturka-l/,aloturka-l,AloTurka L,,,,,,25.0,35GB Data SIM Plan For Only £25p/m | Aloturka L,1,,,,,,,,,PAYG,35,,,,,"Get Lyca Mobile's Aloturka L bundle. Get 15 GB Roaming in EU & Turkey, Unlimited UK calls/texts, either 100 Mins to EU or 50 Mins to Turkey. eSIM & 5G enabled.",,,,,,,,,,,,,,,,,Unlimited UK calls and texts | Either 100 Mins to EU or 50 Mins to Turkey | 15 GB Roaming in EU & Turkey | E-SIM available | 5G at no extra cost,Unlimited UK calls and texts | Either 100 Mins to EU or 50 Mins to Turkey | EU and Turkey Roaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lycamobile.co.uk,2025-09-20,,https://www.lycamobile.co.uk/en/bundle/aloturka-m/,aloturka-m,AloTurka M,,,,,,20.0,25GB Data SIM Plan For Only £20p/m | Aloturka M,1,,,,,,,,,PAYG,25,,,,,"Get Lyca Mobile's Aloturka M bundle. Get 10 GB Roaming in EU & Turkey, Unlimited UK calls/texts, either 100 Mins to EU or 50 Mins to Turkey. eSIM & 5G enabled.",,,,,,,,,,,,,,,,,Unlimited UK calls and texts | Either 100 Mins to EU or 50 Mins to Turkey | 10 GB Roaming in EU & Turkey | E- SIM available | 5G at no extra cost,Unlimited UK calls and texts | Either 100 Mins to EU or 50 Mins to Turkey | EU and Turkey Roaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lycamobile.co.uk,2025-09-20,,https://www.lycamobile.co.uk/en/bundle/aloturka-s-eve/,aloturka-s-eve,AloTurka S,,,,,,15.0,15GB Data SIM Plan For Only £15p/m | Aloturka S,1,,,,,,,,,PAYG,15,,,,,"Get Lyca Mobile's Aloturka S bundle. Get 5 GB Roaming in EU & Turkey, Unlimited UK calls/texts, either 100 Mins to EU or 50 Mins to Turkey. eSIM & 5G enabled.",,,,,,,,,,,,,,,,,Unlimited UK calls and texts | Either 100 Mins to EU or 50 Mins to Turkey | 5 GB Roaming in EU & Turkey | E- SIM available | 5G at no extra cost,Unlimited UK calls and texts | Either 100 Mins to EU or 50 Mins to Turkey | EU and Turkey Roaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lycamobile.co.uk,2025-09-20,,https://www.lycamobile.co.uk/en/bundle/bangladesh-plus-m/,bangladesh-plus-m,Bangladesh Plus M,,,,,,20.0,Bangladesh Plus M - SIM Plan For Only £20p/m | Lyca Mobile UK,1,,,,,,,,,PAYG,5,,,,,"Lyca Mobile's Bangladesh Plus M bundle. Get 5GB data, unlimited national mins & SMS, unlimited Lyca to Lyca, EU roaming & 5G for £20 a month. eSIM & 5G ready.",,,,,,,,,,,,,,,,,Unlimited National Mins and SMS | Unlimited Lyca to Lyca Mins and SMS | Unlimited National SMS | Unlimited Lyca to Lyca mins | Unlimited Lyca to Lyca Texts | EU Roaming (Data Cap up to 5GB) | eSIM available | 5G at no extra cost,Unlimited National Mins | 1000 International minutes free | EU Voice and data roaming included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lycamobile.co.uk,2025-09-20,,https://www.lycamobile.co.uk/en/bundle/bangladesh-plus/,bangladesh-plus,Bangladesh Plus S,,,,,,10.0,Bangladesh Plus S - SIM Plan For Only £10p/m | Lyca Mobile UK,1,,,,,,,,,PAYG,1,,,,,"Lyca Mobile's Bangladesh Plus S bundle. Get 1GB data, 500 UK calls & texts, 500 intl. mins, unlimited Lyca to Lyca, EU roaming and 5G for £10 a month.",,,,,,,,,,,,,,,,,500 UK calls and texts | 500 International minutes free | Unlimited Lyca to Lyca calls | Unlimited Lyca to Lyca Texts | EU Roaming (Data Cap up to 1GB) | eSIM available | 5G at no extra cost,500 UK calls and texts | 500 International minutes free | EU Voice and data roaming included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lycamobile.co.uk,2025-09-20,,https://www.lycamobile.co.uk/en/bundle/china-100-gb/,china-100-gb,China 100GB,,,,,,20.0,China 100GB Data SIM Plan For Only £20p/m | Lyca Mobile UK,1,,,,,,,,,PAYG,100,,,,,"Get Lyca Mobile's China 100GB bundle. Get 1314 minutes to call China & 100 mins for calls to the EU/Hong Kong from the UK, 2GB China roaming / 12GB EU roaming.",,,,,,,,,,,,,,,,,1314 minutes for calls to China from the UK | 100 minutes for calls to the EU and Hong Kong from the UK | Unlimited calls and texts within the UK | Roaming in China (data cap: 2GB) | Roaming in the EU (data cap: 12GB) | eSIM available | 5G included at no extra cost,1314 minutes for calls to China from the UK | 100 minutes for calls to the EU and Hong Kong from the UK | Unlimited calls and texts within the UK | Roaming in China (data cap: 2GB) | Roaming in the EU (data cap: 12GB) | eSIM available | 5G included at no extra cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
