source,date,apiURL,url,sku,name,brand,stock,advance,paymentAmount,phoneContractDuration,sim_price,simContractname,simContractDuration,phoneContractPrice,isPhoneContractAvailableWOsim,phoneContractSimPackage,handsetOnlyCostCash,handsetOnlyContract,previousPrice,onSale,saleText,plan_type,sim_data,simOfferData,sim1YearIncrease,sim2YearIncrease,sim3YearIncrease,simDesc,colour,size,UPC,EAN,cat,subcat1,subcat2,subcat3,subcat4,subcat5,warranty,image1,image2,image3,image4,image5,desc,shortDesc,reviewCount,reviewRating,videoURL,isSellingFast,isRestockingSoon,isPromotion,isOutletPrice,lowestPriceText,lowestPriceValue,attributeType1,attributeTitle1,attributeValue1,attributeType2,attributeTitle2,attributeValue2,attributeType3,attributeTitle3,attributeValue3,attributeType4,attributeTitle4,attributeValue4,attributeType5,attributeTitle5,attributeValue5,attributeType6,attributeTitle6,attributeValue6,attributeType7,attributeTitle7,attributeValue7,attributeType8,attributeTitle8,attributeValue8,attributeType9,attributeTitle9,attributeValue9,attributeType10,attributeTitle10,attributeValue10,attributeType11,attributeTitle11,attributeValue11,attributeType12,attributeTitle12,attributeValue12,attributeType13,attributeTitle13,attributeValue13,attributeType14,attributeTitle14,attributeValue14,attributeType15,attributeTitle15,attributeValue15,attributeType16,attributeTitle16,attributeValue16,attributeType17,attributeTitle17,attributeValue17,attributeType18,attributeTitle18,attributeValue18,attributeType19,attributeTitle19,attributeValue19,attributeType20,attributeTitle20,attributeValue20
smarty,2025-09-11,https://smarty.co.uk/api/v3/plans?voucher_code=,https://smarty.co.uk/plans/fg-member,SM_EVERYONE_UNLIMITED_MEMBER,,,,,,,0,Unlimited,1,,N,,,,,,,classic,0,,,,,"Unlimited Data, Unlimited Text, Unlimited Voice",,,,,plans,fg-member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smarty,2025-09-11,https://smarty.co.uk/api/v3/plans?voucher_code=,https://smarty.co.uk/plans/2gb-data-only,SM_2GB_DATAONLY,,,,,,,5,2GB,1,,N,,,,,,,data-only,2,,,,,2GB Data,,,,,plans,2gb-data-only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smarty,2025-09-11,https://smarty.co.uk/api/v3/plans?voucher_code=,https://smarty.co.uk/plans/500mb-data,SM_MINI,,,,,,,5,500MB,1,,N,,,,,,,classic,0.5,,,,,"500MB Data, Unlimited Text, Unlimited Voice",,,,,plans,500mb-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smarty,2025-09-11,https://smarty.co.uk/api/v3/plans?voucher_code=,https://smarty.co.uk/plans/2gb-data-ndd,SM_2GB_NDD,,,,,,,5,2GB,1,,N,,,,,,,classic,2,,,,,"2GB Data, Unlimited Text, Unlimited Voice",,,,,plans,2gb-data-ndd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smarty,2025-09-11,https://smarty.co.uk/api/v3/plans?voucher_code=,https://smarty.co.uk/plans/5gb-data,SM_5GB,,,,,,,6,5GB,1,,N,,,,,,,classic,5,,,,,"5GB Data, Unlimited Text, Unlimited Voice",,,,,plans,5gb-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smarty,2025-09-11,https://smarty.co.uk/api/v3/plans?voucher_code=,https://smarty.co.uk/plans/1gb-data,SM_EXTRASMALL,,,,,,,6,1GB,1,,N,,,,,,,data-discount,1,,,,,"1GB Data, Unlimited Text, Unlimited Voice",,,,,plans,1gb-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smarty,2025-09-11,https://smarty.co.uk/api/v3/plans?voucher_code=,https://smarty.co.uk/plans/4gb-data,SM_4GB_NDD,,,,,,,6,4GB,1,,N,,,,,,,classic,4,,,,,"4GB Data, Unlimited Text, Unlimited Voice",,,,,plans,4gb-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smarty,2025-09-11,https://smarty.co.uk/api/v3/plans?voucher_code=,https://smarty.co.uk/plans/8gb-data,SM_8GB_NDD,,,,,,,7,8GB,1,,N,,,,,Y,Triple Data,classic,24,8GB data SIM plan for only £7 p/m - (Unlimited calls & texts),,,,"8GB Data, Unlimited Text, Unlimited Voice",,,,,plans,8gb-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smarty,2025-09-11,https://smarty.co.uk/api/v3/plans?voucher_code=,https://smarty.co.uk/plans/2gb-data,SM_SMALL,,,,,,,7,2GB,1,,N,,,,,,,data-discount,2,,,,,"2GB Data, Unlimited Text, Unlimited Voice",,,,,plans,2gb-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smarty,2025-09-11,https://smarty.co.uk/api/v3/plans?voucher_code=,https://smarty.co.uk/plans/16gb-data,SM_16GB,,,,,,,8,16GB,1,,N,,,,,,,classic,16,,,,,"16GB Data, Unlimited Text, Unlimited Voice",,,,,plans,16gb-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
