Section Name,Item Name,List Price,Description
Bestsellers 🔥,63665642,Tender Sandwich Box,42,1 sandwich + 1 tender + cajun fries + soft drink
Bestsellers 🔥,63666121,Deluxe Chicken Sandwich Meal Classic,37,Sandwich + cajun fries + soft drink
Bestsellers 🔥,63667612,15 Piece Tenders Classic,99,15 piece tenders + family cajun fries + large coleslaw + 3 biscuits + 3 sauces + 1l soft drink
Bestsellers 🔥,63666242,5 Piece Tenders Classic,39,5 piece tenders + cajun fries/coleslaw + 1 sauce + 1 biscuit + soft drink
Special discounts,63665554,Hunger Buster,50,Cajun chicken sandwich with cajun fries & pepsi + regular coleslow+ chocolate buiscuits
Special discounts,63666748,3 Pieces Chicken Classic,36,3 pieces chicken + cajun fries/coleslaw + 1 biscuit + soft drink
Sandwiches & Wraps,63667731,The Sandwich Classic,25,"100% fresh chicken fillet, crunchy pickles & creamy mayo in a soft, buttery brioche bun"
Sandwiches & Wraps,63667735,The Sandwich Spicy,25,"100% fresh chicken fillet, crunchy pickles & spicy mayo in a soft, buttery brioche bun"
Sandwiches & Wraps,63667740,Deluxe Chicken Sandwich Classic,27,"100% fresh chicken fillet, crunchy pickles, cheddar cheese, lettuce & creamy mayo in a soft, buttery brioche bun"
Sandwiches & Wraps,63667744,Deluxe Chicken Sandwich Spicy,27,"100% fresh chicken fillet, crunchy pickles, cheddar cheese, lettuce & spicy mayo in a soft, buttery brioche bun"
Sandwiches & Wraps,63667746,Chicken Slaw Sandwich,27,"100% fresh chicken fillet, topped with slaw and a special seasoning in a soft, buttery brioche bun"
Sandwiches & Wraps,63667752,Chicken Wrap,19,"2pcs chicken tenders garnished with sauce, fresh lettuce, and pickles, wrapped in tortilla."
Sandwiches & Wraps,63667759,Chicken Wrap Spicy,19,"2pcs chicken tenders garnished with sauce, fresh lettuce, and pickles, wrapped in tortilla."
Sandwich & Wrap Meals,63666064,The Sandwich Meal Classic,35,Sandwich + cajun fries + soft drink
Sandwich & Wrap Meals,63666098,The Sandwich Meal Spicy,35,Sandwich + cajun fries + soft drink
Sandwich & Wrap Meals,63666121,Deluxe Chicken Sandwich Meal Classic,37,Sandwich + cajun fries + soft drink
Sandwich & Wrap Meals,63666148,Deluxe Chicken Sandwich Meal Spicy,37,Sandwich + cajun fries + soft drink
Sandwich & Wrap Meals,63666172,Chicken Slaw Sandwich Meal,37,Sandwich + cajun fries + soft drink
Sandwich & Wrap Meals,63666200,Chicken Wrap Mild Meal,29,"2pcs chicken tenders garnished with sauce, fresh lettuce, and pickles, wrapped in tortilla, and serve with cajun fries and choice of drink"
Sandwich & Wrap Meals,63666220,Chicken Wrap Spicy Meal,29,"2pcs chicken tenders garnished with sauce, fresh lettuce, and pickles, wrapped in tortilla, and serve with cajun fries and choice of drink"
Popeyes Boxes,1222335,Mega Box,158,4 sandwiches + 4 pieces chicken + 4 tenders + family cajun fries + large coleslaw + 1 sauce + 1l soft drink
Popeyes Boxes,63665577,Wrap Box Chicken / Tender,35,"2pcs chicken tenders garnished with sauce, fresh lettuce, and pickles, wrapped in tortilla, and serve with 1 pc tender, cajun fries, and choice of drink"
Popeyes Boxes,63665609,Wrap Super Box,41,"2pcs chicken tenders garnished with sauce, fresh lettuce, and pickles, wrapped in tortilla, and serve with 1 pc chicken, 1 pc tender, cajun fries, and choice of drink"
Popeyes Boxes,63665642,Tender Sandwich Box,42,1 sandwich + 1 tender + cajun fries + soft drink
Popeyes Boxes,63665681,Sandwich Box,43,1 sandwich + 1 piece chicken + cajun fries + soft drink
Popeyes Boxes,63665715,Sandwich Super Box,47,Sandwiches + piece chicken + tender + cajun fries + soft drink
Offers,63665554,Hunger Buster,50,Cajun chicken sandwich with cajun fries & pepsi + regular coleslow+ chocolate buiscuits
Shawarma,64866496,Shawarma Classic,17,"100% fresh saudi chicken, special garlic sauce made fresh and cajun fries in a tortilla wrap"
Shawarma,64866497,Shawarma Deluxe,18,"100% fresh saudi chicken, special sauce made fresh and cajun fries in a tortilla wrap"
Shawarma,64866498,Shawarma Classic Meal,27,"100% fresh saudi chicken, special garlic sauce made fresh and cajun fries in a tortilla wrap with cajun fries drinks"
Shawarma,64866499,Shawarma Deluxe Meal,28,"100% fresh saudi chicken, special sauce made fresh and cajun fries in a tortilla wrap with cajun fries and drinks"
Signature Chicken,63666582,4 Pieces Chicken Classic,40,4 pieces chicken + cajun fries/coleslaw + 1 biscuit + soft drink
Signature Chicken,63666627,4 Pieces Chicken Spicy,40,4 pieces chicken + cajun fries/coleslaw + 1 biscuit + soft drink
Signature Chicken,63666703,4 Pieces Chicken Mix,40,4 pieces chicken + cajun fries/coleslaw + 1 biscuit + soft drink
Signature Chicken,63666748,3 Pieces Chicken Classic,36,3 pieces chicken + cajun fries/coleslaw + 1 biscuit + soft drink
Signature Chicken,63666803,3 Pieces Chicken Spicy,36,3 pieces chicken + cajun fries/coleslaw + 1 biscuit + soft drink
Signature Chicken,63666871,3 Pieces Chicken Mix,36,3 pieces chicken + cajun fries/coleslaw + 1 biscuit + soft drink
Signature Chicken,63666914,2 Pieces Chicken Classic,23,2 pieces chicken + cajun fries + biscuit
Signature Chicken,63666926,2 Pieces Chicken Spicy,23,2 pieces chicken + cajun fries + biscuit
Signature Chicken,63666947,2 Pieces Chicken Mix,23,2 pieces chicken + cajun fries + biscuit
Handmade Tenders,63666242,5 Piece Tenders Classic,39,5 piece tenders + cajun fries/coleslaw + 1 sauce + 1 biscuit + soft drink
Handmade Tenders,63666273,5 Piece Tenders Spicy,39,5 piece tenders + cajun fries/coleslaw + 1 sauce + 1 biscuit + soft drink
Handmade Tenders,63666304,5 Piece Tenders Mix,39,5 piece tenders + cajun fries/coleslaw + 1 sauce + 1 biscuit + soft drink
Handmade Tenders,63666343,Tenders 4 Pcs Mild Cmb,35,Tenders 4 pc mild cmb
Handmade Tenders,63666384,Tenders 4 Pcs. Spicy Cmb,35,Tenders 4 pcs. spicy cmb
Handmade Tenders,63666414,Tenders 4 Pcs. Mix Cmb,35,Tenders 4 pcs. mix cmb
Handmade Tenders,63666449,3 Piece Tenders Classic,25,3 piece tenders + cajun fries + 1 sauce + 1 biscuit
Handmade Tenders,63666485,3 Piece Tenders Spicy,25,3 piece tenders + cajun fries + 1 sauce + 1 biscuit
Handmade Tenders,63666536,3 Piece Tenders Mix,25,3 piece tenders + cajun fries + 1 sauce + 1 biscuit
Wings,63665372,12 Pcs Wings,52,"Pick 12 pcs wings up to 2 flavors - classic, honey bbq, garlic"
Wings,63665383,5 Pcs Glazed Wings Meal,30,"Pick 5pcs wings from honey bbq, garlic + fries + drink"
Wings,63665396,5 Pcs Wings Meal,30,5 pcs wings + cajun fries + soft drink + 1 sauce
Wings,63665429,3 Pcs Glazed Wings,13,"Pick from honey bbq, garlic"
Wings,63665447,3 Pcs Glazed Wings Meal,24,"Pick 3 pcs wings from honey bbq, garlic fries + drink"
Wings,63665468,3 Pcs Wings + Sauce,14,3pcs wings + sauce
Wings,63665484,3 Pcs Wings Meal,24,3 pcs wings + cajun fries + soft drink + 1 sauce
Mega Wraps Offer,1222330,2 Mega Wraps,26,2 mega wraps
Family Meals,63666976,21 Pieces Chicken Classic,171,21 pieces chicken + family cajun fries + large coleslaw + 7 biscuits + 2.25l soft drink
Family Meals,63667021,21 Pieces Chicken Spicy,171,21 pieces chicken + family cajun fries + large coleslaw + 7 biscuits + 2.25l soft drink
Family Meals,63667079,21 Pieces Chicken Mix,171,21 pieces chicken + family cajun fries + large coleslaw + 7 biscuits + 2.25l soft drink
Family Meals,63667161,15 Pieces Chicken Classic,136,15 pieces chicken + family cajun fries + large coleslaw + 5 biscuits + 2.25l soft drink
Family Meals,63667247,15 Pieces Chicken Spicy,136,15 pieces chicken + family cajun fries + large coleslaw + 5 biscuits + 2.25l soft drink
Family Meals,63667349,15 Pieces Chicken Mix,136,15 pieces chicken + family cajun fries + large coleslaw + 5 biscuits + 2.25l soft drink
Family Meals,63667434,9 Pieces Chicken Classic,94,9 pieces chicken + family cajun fries + large coleslaw + 3 biscuits + 1l soft drink
Family Meals,63667496,9 Pieces Chicken Spicy,94,9 pieces chicken + family cajun fries + large coleslaw + 3 biscuits + 1l soft drink
Family Meals,63667558,9 Pieces Chicken Mix,94,9 pieces chicken + family cajun fries + large coleslaw + 3 biscuits + 1l soft drink
Family Meals,63667612,15 Piece Tenders Classic,99,15 piece tenders + family cajun fries + large coleslaw + 3 biscuits + 3 sauces + 1l soft drink
